time;evacuated_count
6,840;1
8,240;2
8,820;3
9,360;4
9,440;5
9,820;6
10,100;7
10,160;8
10,340;9
10,660;10
10,740;11
11,220;12
11,960;13
12,300;14
12,680;15
12,980;16
13,080;17
13,780;18
13,800;19
13,820;20
13,840;21
14,080;22
14,100;23
14,440;24
14,540;25
14,720;26
15,120;27
15,560;28
15,620;29
15,700;30
15,980;31
16,380;32
16,740;33
16,800;34
16,860;35
17,040;36
17,260;37
17,620;38
18,400;39
18,400;40
18,620;41
18,660;42
18,780;43
18,860;44
18,980;45
19,240;46
19,260;47
19,420;48
19,700;49
19,980;50
20,020;51
20,060;52
20,240;53
20,480;54
20,800;55
20,820;56
20,820;57
20,920;58
20,960;59
21,040;60
21,180;61
21,320;62
21,540;63
21,760;64
21,780;65
22,020;66
22,180;67
22,480;68
22,800;69
23,180;70
23,300;71
23,640;72
24,100;73
24,920;74
25,020;75
25,180;76
25,480;77
25,740;78
25,820;79
26,200;80
26,320;81
26,420;82
26,460;83
26,700;84
26,920;85
26,940;86
26,980;87
27,220;88
27,800;89
27,980;90
27,980;91
28,340;92
28,720;93
28,900;94
29,080;95
29,220;96
29,420;97
29,480;98
29,640;99
29,660;100
29,820;101
30,020;102
30,100;103
30,260;104
30,380;105
30,440;106
30,440;107
30,720;108
31,000;109
31,420;110
31,580;111
31,620;112
31,980;113
32,360;114
32,620;115
32,660;116
32,960;117
33,040;118
33,140;119
33,720;120
34,000;121
34,320;122
34,700;123
34,820;124
35,140;125
35,240;126
35,340;127
35,500;128
35,880;129
35,900;130
36,300;131
36,420;132
36,520;133
36,540;134
36,600;135
36,980;136
37,140;137
37,200;138
37,320;139
37,480;140
37,640;141
37,700;142
37,700;143
37,940;144
38,020;145
38,240;146
38,360;147
38,440;148
38,620;149
38,820;150
38,880;151
38,920;152
38,980;153
39,200;154
39,400;155
39,440;156
39,840;157
39,880;158
40,280;159
40,280;160
40,400;161
40,540;162
40,560;163
40,960;164
40,960;165
41,220;166
41,940;167
42,480;168
42,520;169
42,740;170
43,480;171
43,600;172
43,680;173
44,080;174
44,440;175
44,800;176
44,980;177
45,240;178
45,300;179
45,480;180
45,820;181
46,000;182
46,060;183
46,320;184
46,420;185
46,440;186
46,660;187
46,700;188
47,160;189
47,160;190
47,220;191
47,400;192
47,480;193
47,560;194
47,760;195
47,780;196
48,060;197
48,140;198
48,140;199
48,300;200
48,440;201
48,500;202
48,660;203
48,720;204
48,860;205
48,880;206
49,000;207
49,160;208
49,540;209
49,640;210
49,700;211
49,720;212
49,760;213
50,100;214
50,320;215
50,320;216
50,520;217
50,620;218
50,840;219
50,940;220
51,160;221
51,440;222
51,460;223
51,500;224
52,080;225
52,560;226
52,660;227
52,680;228
52,960;229
53,180;230
53,280;231
53,580;232
53,760;233
53,880;234
54,080;235
54,220;236
54,260;237
54,320;238
54,620;239
54,620;240
54,820;241
55,000;242
55,060;243
55,220;244
55,440;245
55,500;246
55,700;247
55,740;248
55,840;249
56,080;250
56,340;251
56,600;252
56,600;253
56,740;254
56,820;255
56,880;256
56,940;257
57,300;258
57,400;259
57,540;260
57,740;261
57,860;262
58,020;263
58,040;264
58,140;265
58,280;266
58,380;267
58,560;268
58,620;269
58,720;270
58,820;271
59,160;272
59,220;273
59,500;274
59,520;275
59,640;276
59,700;277
60,060;278
60,220;279
60,520;280
60,560;281
60,680;282
60,860;283
60,920;284
60,940;285
61,120;286
61,340;287
61,400;288
61,440;289
61,800;290
61,820;291
61,860;292
61,860;293
62,180;294
62,220;295
62,280;296
62,460;297
62,860;298
63,160;299
63,580;300
63,700;301
63,980;302
64,100;303
64,560;304
65,200;305
65,600;306
65,740;307
65,860;308
65,880;309
66,120;310
66,260;311
66,420;312
66,520;313
66,600;314
66,720;315
66,840;316
66,920;317
67,260;318
67,360;319
67,460;320
67,540;321
67,580;322
67,620;323
67,880;324
67,980;325
68,100;326
68,360;327
68,480;328
68,820;329
69,120;330
69,440;331
69,880;332
70,340;333
70,780;334
70,780;335
70,940;336
71,260;337
71,400;338
71,720;339
72,140;340
72,520;341
73,000;342
73,260;343
73,380;344
73,600;345
73,860;346
73,880;347
73,900;348
74,280;349
74,360;350
74,820;351
75,020;352
75,040;353
75,200;354
75,400;355
75,560;356
75,740;357
75,820;358
75,860;359
75,960;360
76,160;361
76,320;362
76,340;363
76,420;364
76,800;365
76,960;366
77,320;367
77,440;368
77,500;369
77,660;370
77,700;371
78,040;372
78,060;373
78,200;374
78,320;375
78,420;376
78,660;377
78,740;378
78,800;379
78,820;380
79,060;381
79,180;382
79,400;383
79,740;384
79,940;385
80,020;386
80,540;387
80,580;388
81,040;389
81,280;390
81,280;391
81,480;392
81,580;393
81,600;394
82,080;395
82,100;396
82,220;397
82,360;398
82,460;399
82,680;400
82,800;401
82,900;402
82,940;403
83,000;404
83,040;405
83,320;406
83,480;407
83,640;408
84,200;409
84,200;410
84,260;411
84,340;412
84,400;413
84,500;414
84,720;415
84,920;416
85,240;417
85,280;418
85,400;419
85,740;420
85,820;421
85,940;422
85,940;423
86,120;424
86,360;425
86,520;426
86,780;427
86,820;428
86,900;429
86,920;430
87,140;431
87,340;432
87,520;433
87,580;434
87,640;435
87,700;436
87,760;437
88,100;438
88,100;439
88,160;440
88,640;441
88,760;442
88,940;443
89,400;444
89,500;445
89,620;446
89,840;447
90,140;448
90,460;449
90,560;450
91,080;451
91,080;452
91,180;453
91,420;454
91,440;455
92,060;456
92,720;457
92,720;458
93,520;459
93,560;460
93,560;461
93,700;462
94,060;463
94,420;464
94,500;465
94,560;466
94,780;467
94,880;468
94,980;469
95,180;470
95,420;471
95,500;472
95,760;473
95,960;474
95,980;475
96,260;476
96,440;477
96,700;478
97,460;479
97,760;480
98,000;481
98,460;482
98,680;483
98,860;484
98,920;485
99,280;486
99,540;487
99,900;488
100,380;489
101,320;490
101,480;491
101,660;492
102,380;493
103,100;494
104,340;495
104,780;496
104,880;497
105,060;498
105,160;499
105,320;500
105,480;501
105,540;502
105,860;503
106,020;504
106,320;505
106,880;506
106,920;507
107,280;508
107,840;509
108,420;510
108,800;511
109,360;512
109,520;513
109,840;514
109,840;515
110,140;516
110,280;517
110,560;518
110,860;519
111,220;520
111,300;521
111,540;522
111,720;523
112,060;524
112,440;525
113,060;526
113,580;527
114,060;528
115,240;529
115,520;530
115,740;531
115,880;532
116,380;533
116,780;534
118,780;535
119,080;536
119,480;537
119,500;538
119,820;539
120,240;540
120,300;541
120,480;542
120,680;543
120,740;544
121,300;545
121,880;546
122,020;547
122,660;548
123,100;549
123,140;550
123,220;551
123,760;552
124,160;553
124,380;554
124,640;555
126,240;556
126,640;557
126,840;558
126,940;559
127,500;560
127,700;561
127,800;562
128,540;563
128,740;564
128,780;565
129,120;566
130,160;567
130,420;568
131,660;569
132,140;570
132,940;571
132,980;572
133,420;573
133,440;574
134,040;575
135,220;576
135,420;577
135,740;578
136,160;579
136,480;580
136,540;581
136,740;582
136,800;583
137,160;584
137,740;585
138,240;586
138,320;587
138,980;588
139,120;589
139,520;590
141,280;591
141,760;592
142,160;593
142,400;594
142,680;595
143,240;596
144,580;597
145,100;598
145,800;599
145,860;600
145,880;601
146,060;602
146,540;603
