agentId;time;posX;posZ;speed;localDensity
3;0,5200;5,4545;1,4995;0,3309;0,0000
2;0,5200;6,3958;-0,3025;0,7647;0,0000
1;0,5200;1,4440;6,2293;0,9962;0,0000
5;1,0400;6,1308;1,8755;0,6519;0,0000
3;1,0400;4,9390;1,4817;0,9919;0,0000
2;1,0400;5,7309;-0,2439;1,2836;0,0000
1;1,0400;1,3380;5,3686;1,6677;0,0000
9;1,5600;1,6752;6,8805;0,7545;0,0000
7;1,5600;6,1890;0,4796;0,6161;0,0000
5;1,5600;5,4846;1,8381;1,2446;0,0000
4;1,5600;-0,9361;6,5371;0,8314;0,0000
3;1,5600;4,2738;1,4587;1,2800;0,0000
2;1,5600;5,0213;-0,1826;1,3697;0,0000
1;1,5600;1,2388;4,4502;1,7765;0,0000
11;2,0800;-0,4868;6,6517;0,3875;0,0000
10;2,0800;5,4280;-0,1395;1,0140;0,0000
9;2,0800;1,5511;6,1101;1,5006;0,0000
8;2,0800;5,9755;0,9270;1,0934;0,0000
7;2,0800;5,6381;0,5297;1,0638;0,0000
6;2,0800;0,9330;6,2892;1,3117;0,0000
5;2,0800;4,7644;1,7965;1,3873;0,0000
4;2,0800;-0,9057;5,9503;1,1300;0,0000
3;2,0800;3,5838;1,4348;1,3276;0,0000
2;2,0800;4,3043;-0,1215;1,3839;0,0000
1;2,0800;1,1440;3,5225;1,7934;0,0000
14;2,6000;-1,2495;6,7490;0,7973;0,0000
13;2,6000;6,4716;0,1838;0,7473;0,0000
12;2,6000;6,1568;2,0908;1,0317;0,0000
11;2,6000;-0,4666;6,2077;0,8548;0,0000
10;2,6000;4,5572;-0,1593;1,6750;0,0000
9;2,6000;1,4405;5,2655;1,6380;0,0000
8;2,6000;5,1606;1,0704;1,5912;0,0000
7;2,6000;5,0132;0,4522;1,2109;0,0000
6;2,6000;0,7801;5,3864;1,7610;0,0000
5;2,6000;4,0321;1,7541;1,4107;0,0000
4;2,6000;-0,8740;5,3584;1,1397;0,0000
3;2,6000;2,8899;1,4109;1,3352;0,0000
2;2,6000;3,5862;-0,0607;1,3860;0,0000
1;2,6000;1,0510;2,5936;1,7953;0,0000
19;3,1200;6,1780;-0,3207;0,0703;0,0000
18;3,1200;0,3961;6,0822;0,1487;0,0000
17;3,1200;5,5496;0,8609;0,4962;0,0000
15;3,1200;6,3605;1,2557;0,7756;0,0000
14;3,1200;-1,1852;5,9867;1,4712;0,0000
13;3,1200;5,7590;0,2134;1,3716;0,0000
12;3,1200;5,3376;2,0319;1,5794;0,0000
11;3,1200;-0,4460;5,6922;0,9922;0,0000
10;3,1200;3,6363;-0,1157;1,7729;0,0000
9;3,1200;1,3697;4,4176;1,6363;0,0000
8;3,1200;4,2386;1,1447;1,7788;0,0000
7;3,1200;4,4735;0,4100;1,0410;0,0000
6;3,1200;0,6686;4,4572;1,7997;0,0000
5;3,1200;3,2980;1,7116;1,4142;0,0000
4;3,1200;-0,8375;4,7718;1,1303;0,0000
3;3,1200;2,1956;1,3869;1,3360;0,0000
2;3,1200;2,8662;0,0002;1,3895;0,0000
1;3,1200;0,9586;1,6650;1,7945;0,0000
19;3,6400;5,8671;-0,3008;0,5990;0,0000
18;3,6400;0,3859;5,6905;0,7534;0,0000
17;3,6400;5,0246;0,9284;1,0179;0,0000
16;3,6400;0,9434;6,7755;1,5285;0,0000
15;3,6400;5,7307;1,2452;1,2114;0,0000
14;3,6400;-1,1266;5,1522;1,6087;0,0000
13;3,6400;4,9738;0,2089;1,5100;0,0000
12;3,6400;4,4921;1,9711;1,6301;0,0000
11;3,6400;-0,4147;5,1615;1,0223;0,0000
10;3,6400;2,7321;-0,0447;1,7441;0,0000
9;3,6400;1,3011;3,5746;1,6266;0,0000
8;3,6400;3,2805;1,1602;1,8429;0,0000
7;3,6400;3,9588;0,4114;0,9899;0,0000
6;3,6400;0,5796;3,5181;1,8141;0,0000
5;3,6400;2,5635;1,6693;1,4147;0,0000
4;3,6400;-0,7997;4,1869;1,1273;0,0000
3;3,6400;1,5020;1,3630;1,3347;0,0000
2;3,6400;2,1265;0,0644;1,4279;0,0000
1;3,6400;0,8659;0,7370;1,7935;0,0000
23;4,1600;0,4245;6,5494;0,3736;0,0000
20;4,1600;5,9305;1,5184;0,8750;0,0000
19;4,1600;5,3771;-0,2568;0,9462;0,0000
18;4,1600;0,3709;5,1299;1,0785;0,0000
17;4,1600;4,4237;0,9664;1,1579;0,0000
16;4,1600;0,8696;5,8367;1,8110;0,0000
15;4,1600;5,0884;1,2408;1,2350;0,0000
14;4,1600;-1,0815;4,3029;1,6357;0,0000
13;4,1600;4,1746;0,2079;1,5370;0,0000
12;4,1600;3,6425;1,9100;1,6381;0,0000
11;4,1600;-0,3711;4,6332;1,0193;0,0000
10;4,1600;1,8833;0,0233;1,6376;0,0000
9;4,1600;1,2276;2,7355;1,6198;0,0000
8;4,1600;2,3203;1,1516;1,8466;0,0000
7;4,1600;3,4421;0,4310;0,9943;0,0000
6;4,1600;0,5037;2,5743;1,8208;0,0000
5;4,1600;1,8271;1,6289;1,4184;0,0000
4;4,1600;-0,7608;3,6005;1,1300;0,0000
3;4,1600;0,8090;1,3397;1,3334;0,0000
2;4,1600;1,3119;0,1439;1,5740;0,0000
1;4,1600;0,7699;-0,1911;1,7945;0,0000
26;4,6600;2,0192;6,0152;0,4693;0,0000
25;4,6600;5,4393;0,1410;0,6770;0,0000
24;4,6600;6,1328;0,2437;0,7625;0,0000
23;4,6600;0,4009;6,0942;0,9117;0,0000
22;4,6600;5,9895;2,1978;0,8346;0,0000
21;4,6600;0,9723;6,6842;0,7970;0,0000
20;4,6600;5,2759;1,4958;1,3098;0,0000
19;4,6600;4,8544;-0,2267;1,0470;0,0000
18;4,6600;0,3436;4,5514;1,1582;0,0000
17;4,6600;3,8179;0,9672;1,2115;0,0000
16;4,6600;0,8282;4,9453;1,7846;0,0000
15;4,6600;4,4862;1,2441;1,2045;0,0000
14;4,6600;-1,0375;3,5037;1,6007;0,0000
13;4,6600;3,4395;0,2179;1,4703;0,0000
12;4,6600;2,8251;1,8512;1,6389;0,0000
11;4,6600;-0,3441;4,1271;1,0136;0,0000
10;4,6600;1,0909;0,0837;1,5896;0,0000
9;4,6600;1,1492;1,9627;1,5535;0,0000
8;4,6600;1,4095;1,1254;1,8223;0,0000
7;4,6600;2,8968;0,4715;1,0936;0,0000
6;4,6600;0,4436;1,6774;1,7978;0,0000
5;4,6600;1,1098;1,5752;1,4386;0,0000
4;4,6600;-0,7069;3,0073;1,1913;0,0000
3;4,6600;0,1374;1,3021;1,3454;0,0000
2;4,6600;0,5048;0,2393;1,6255;0,0000
1;4,6600;0,6638;-1,0947;1,8196;0,0000
31;5,1800;0,1879;6,9341;0,0000;0,0000
27;5,1800;6,4383;1,3900;0,6693;0,0000
26;5,1800;1,5705;5,8292;0,9341;0,0000
25;5,1800;4,7280;0,2045;1,3734;0,0000
24;5,1800;5,5269;0,2760;1,1670;0,0000
23;5,1800;0,3776;5,5212;1,1029;0,0000
22;5,1800;5,3949;2,1501;1,1470;0,0000
21;5,1800;0,9403;6,1424;1,0438;0,0000
20;5,1800;4,5799;1,4729;1,3393;0,0000
19;5,1800;4,2886;-0,2068;1,0888;0,0000
18;5,1800;0,2373;3,9040;1,2616;0,0000
17;5,1800;3,1845;0,9565;1,2182;0,0000
16;5,1800;0,8479;4,0679;1,6877;0,0000
15;5,1800;3,8574;1,2466;1,2092;0,0000
14;5,1800;-1,0271;2,7396;1,4695;0,0000
13;5,1800;2,7552;0,1980;1,3166;0,0000
12;5,1800;1,9754;1,7900;1,6382;0,0000
11;5,1800;-0,3363;3,5934;1,0266;0,0000
10;5,1800;0,2548;0,1463;1,6123;0,0000
9;5,1800;1,1537;1,4505;0,9852;0,0000
8;5,1800;0,6065;0,9250;1,5916;0,0000
7;5,1800;2,2364;0,5715;1,2845;0,0000
6;5,1800;-0,0811;0,9746;1,6866;0,0000
5;5,1800;0,3863;1,4010;1,4311;0,0000
4;5,1800;-0,5838;2,3048;1,3716;0,0000
3;5,1800;-0,6789;1,1828;1,5864;0,0000
2;5,1800;-0,3268;0,3291;1,6084;0,0000
1;5,1800;0,5706;-2,0217;1,7917;0,0000
33;5,7000;-1,5243;6,9204;0,3249;0,0398
