metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_04
total_agents;606
rset_100s;150,69
rset_95s;134,61
rset_90s;122,42
rset_50s;65,39
mean_speed_ms;1,0347
std_speed_ms;0,4456
max_speed_ms;2,2958
mean_exit_density_pm2;0,2193
peak_exit_density_pm2;0,557
mean_global_density_pm2;0,6021
specific_flow_mean_pms;0,27
specific_flow_peak_pms;0,7259
throughput_ps;4,0215
throughput_Exit_West_ps;1,8448
throughput_Exit_South_ps;2,1767
collisions_agent_agent;1165
collisions_agent_wall;1648
mean_headway_m;0,6484
min_headway_m;0,3263
std_headway_m;0,2494
