time;grid_x;grid_z;density
2,010;-1;5;2,0000
2,010;3;1;2,0000
2,010;4;-1;1,0000
2,010;0;6;1,0000
2,010;4;1;1,0000
2,010;5;1;1,0000
2,010;1;6;1,0000
2,010;5;0;1,0000
2,010;1;5;1,0000
2,010;6;1;1,0000
4,020;-1;3;1,0000
4,020;1;0;1,0000
4,020;1;1;1,0000
4,020;-1;2;1,0000
4,020;2;-1;1,0000
4,020;0;4;1,0000
4,020;2;1;2,0000
4,020;1;4;1,0000
4,020;2;0;1,0000
4,020;0;2;1,0000
4,020;3;1;2,0000
4,020;0;5;2,0000
4,020;4;0;1,0000
4,020;-2;4;1,0000
4,020;5;1;1,0000
4,020;5;0;1,0000
4,020;4;1;1,0000
4,020;1;7;2,0000
4,020;5;-1;1,0000
4,020;6;1;1,0000
6,030;-1;1;2,0000
6,030;-2;0;2,0000
6,030;-1;0;2,0000
6,030;0;2;2,0000
6,030;0;1;3,0000
6,030;1;2;1,0000
6,030;0;0;3,0000
6,030;0;3;1,0000
6,030;-1;2;1,0000
6,030;2;1;1,0000
6,030;2;0;1,0000
6,030;1;1;1,0000
6,030;1;4;1,0000
6,030;2;-1;1,0000
6,030;1;5;1,0000
6,030;3;0;1,0000
6,030;3;1;1,0000
6,030;-1;5;1,0000
6,030;4;0;1,0000
6,030;-2;6;1,0000
6,030;5;0;2,0000
6,030;1;6;1,0000
6,030;5;1;1,0000
6,030;0;7;1,0000
6,030;6;-1;1,0000
6,030;-1;6;1,0000
6,030;6;1;1,0000
8,040;-2;0;4,0000
8,040;-5;0;1,0000
8,040;-4;1;1,0000
8,040;-3;-1;1,0000
8,040;-2;-1;1,0000
8,040;-1;1;1,0000
8,040;-4;0;1,0000
8,040;-3;2;1,0000
8,040;1;0;3,0000
8,040;-3;0;1,0000
8,040;-1;-2;1,0000
8,040;-2;1;2,0000
8,040;0;1;2,0000
8,040;0;0;2,0000
8,040;-1;0;1,0000
8,040;0;2;1,0000
8,040;0;3;2,0000
8,040;1;1;1,0000
8,040;-1;2;1,0000
8,040;-2;3;1,0000
8,040;3;0;2,0000
8,040;3;1;1,0000
8,040;0;4;1,0000
8,040;3;-1;1,0000
8,040;-1;5;1,0000
8,040;4;1;1,0000
8,040;4;0;1,0000
8,040;1;5;1,0000
8,040;5;1;1,0000
8,040;1;6;1,0000
8,040;5;0;1,0000
8,040;6;-1;1,0000
8,040;0;5;1,0000
8,040;5;2;1,0000
8,040;1;7;2,0000
8,040;6;0;1,0000
10,050;-2;-2;1,0000
10,050;-4;-1;1,0000
10,050;-3;-1;2,0000
10,050;-1;-2;1,0000
10,050;0;-3;1,0000
10,050;-1;-4;1,0000
10,050;-5;0;2,0000
10,050;-1;-1;1,0000
10,050;-4;0;1,0000
10,050;-2;0;1,0000
10,050;0;-2;1,0000
10,050;-4;1;1,0000
10,050;-1;0;3,0000
10,050;-3;0;1,0000
10,050;0;0;4,0000
10,050;-1;1;1,0000
10,050;-2;1;1,0000
10,050;1;1;3,0000
10,050;0;1;2,0000
10,050;0;-1;1,0000
10,050;-1;3;1,0000
10,050;1;3;1,0000
10,050;2;1;1,0000
10,050;1;4;1,0000
10,050;2;0;1,0000
10,050;3;-1;1,0000
10,050;0;3;1,0000
10,050;2;2;1,0000
10,050;0;4;1,0000
10,050;4;1;1,0000
10,050;0;6;1,0000
10,050;4;2;1,0000
10,050;4;0;1,0000
10,050;0;5;1,0000
10,050;5;0;2,0000
10,050;1;5;1,0000
10,050;5;1;1,0000
10,050;-2;7;1,0000
10,050;5;-1;1,0000
10,050;0;7;1,0000
10,050;6;-1;1,0000
12,060;-2;-4;1,0000
12,060;-4;-1;2,0000
12,060;-3;-1;3,0000
12,060;-1;-4;2,0000
12,060;-4;1;1,0000
12,060;0;-4;1,0000
12,060;-2;-1;4,0000
12,060;0;-2;2,0000
12,060;-4;0;1,0000
12,060;-2;0;2,0000
12,060;-1;1;2,0000
12,060;-2;1;2,0000
12,060;-1;-1;1,0000
12,060;0;0;2,0000
12,060;0;1;3,0000
12,060;1;1;2,0000
12,060;-1;0;1,0000
12,060;0;2;2,0000
12,060;2;1;1,0000
12,060;0;4;1,0000
12,060;1;0;1,0000
12,060;3;0;1,0000
12,060;1;3;1,0000
12,060;2;0;1,0000
12,060;3;1;1,0000
