time;agentId;headwayDistance;headwayVelocity
0,5200;3;0,8279;0,0000
0,5200;4;1,3652;0,0000
0,7800;3;1,0815;1,6366
0,7800;4;1,2376;0,0000
0,7800;5;0,7965;0,0000
1,0400;3;1,2612;1,7357
1,0400;4;1,0172;1,6934
1,0400;5;1,1910;0,1771
1,0400;6;0,7996;0,0000
1,0400;7;1,1910;1,7357
1,3000;3;1,3172;1,6220
1,3000;4;1,0713;1,7556
1,3000;5;0,7937;0,0413
1,3000;6;1,0713;0,7775
1,3000;7;0,9963;0,0413
1,3000;8;0,7937;1,6220
1,5600;3;1,0926;0,0512
1,5600;4;1,1601;1,5868
1,5600;5;1,0345;1,3255
1,5600;6;1,1601;0,8598
1,5600;7;1,0345;1,7674
1,5600;8;1,2035;1,7674
1,5600;10;1,0926;1,4217
1,8200;3;1,1644;1,6864
1,8200;4;1,2457;1,5116
1,8200;5;1,0442;1,4972
1,8200;6;1,2457;0,8835
1,8200;7;0,8985;0,0000
1,8200;8;0,5882;0,0000
1,8200;10;1,2619;0,0000
1,8200;12;0,5882;0,3936
2,0800;1;0,8313;0,5180
2,0800;3;1,0823;1,6065
2,0800;4;1,3194;1,4445
2,0800;5;1,0597;1,7508
2,0800;6;1,3194;0,9048
2,0800;7;1,0597;1,6065
2,0800;8;0,4815;0,0000
2,0800;9;0,7993;0,5180
2,0800;10;1,1830;0,0000
2,0800;11;0,7993;0,5993
2,0800;12;0,8602;0,3032
2,0800;13;0,4815;0,3032
2,3400;1;0,8219;1,3181
2,3400;2;0,9725;0,0000
2,3400;3;1,0212;1,5568
2,3400;4;1,2024;1,3181
2,3400;5;1,0212;1,4105
2,3400;6;1,3837;0,9212
2,3400;7;1,0651;1,5568
2,3400;8;0,9162;0,0000
2,3400;9;0,9093;0,8647
2,3400;10;1,1307;1,0147
2,3400;11;0,9093;0,9888
2,3400;12;0,9669;1,1710
2,3400;14;0,8219;1,0709
2,5900;1;1,1829;0,9497
2,5900;2;1,0971;1,0193
2,5900;3;0,9912;1,5146
2,5900;4;1,0976;1,3178
2,5900;5;0,9912;1,4050
2,5900;6;1,4400;0,9429
2,5900;7;1,0587;1,5146
2,5900;8;1,0385;1,4955
2,5900;9;0,7364;0,0000
2,5900;10;1,0971;1,0765
2,5900;11;0,9385;1,3178
2,5900;12;1,0385;1,1914
2,5900;14;0,9385;0,9497
2,5900;15;1,2273;1,1914
2,8500;1;1,3210;1,0745
2,8500;2;1,0882;1,1261
2,8500;3;0,9876;1,4664
2,8500;4;1,0262;1,2650
2,8500;5;0,9876;1,4039
2,8500;6;1,4950;0,9893
2,8500;7;1,0466;1,4664
2,8500;8;0,7643;0,8263
2,8500;9;0,9462;1,0745
2,8500;10;1,0882;1,0873
2,8500;11;0,9462;1,4957
2,8500;12;1,1177;1,2581
2,8500;14;0,9667;1,0745
2,8500;15;0,8298;0,8263
2,8500;17;0,7643;1,2581
3,1100;1;0,8160;0,4224
3,1100;2;1,1013;1,1696
3,1100;3;1,0010;1,4432
3,1100;4;0,9884;1,2672
3,1100;5;1,0010;1,4026
3,1100;6;1,5476;1,0267
3,1100;7;1,0394;1,4432
3,1100;8;1,1486;0,3033
3,1100;9;0,8668;1,1051
3,1100;10;1,1013;1,0795
3,1100;11;0,6805;0,4224
3,1100;12;1,1897;1,2494
3,1100;14;0,9884;1,0267
3,1100;15;0,7518;0,0000
3,1100;17;0,8156;1,1128
3,1100;18;0,6805;1,1051
3,3700;1;0,7854;0,8273
3,3700;2;0,7956;0,0323
3,3700;3;1,0191;1,4255
3,3700;4;0,9807;1,2505
3,3700;5;1,0191;1,3987
3,3700;6;1,5986;1,0623
3,3700;7;1,0450;1,4255
3,3700;8;1,2788;1,5288
3,3700;9;0,7405;1,3063
3,3700;10;1,1126;1,0812
3,3700;11;0,7405;1,4031
3,3700;12;1,2788;1,1709
3,3700;14;0,9807;1,0623
3,3700;15;0,9419;0,6312
3,3700;16;1,3967;1,3063
3,3700;17;0,6708;0,0323
3,3700;18;0,7854;1,0141
3,3700;20;0,6708;0,6312
3,3700;21;0,8170;1,0141
