time;agentIdA;agentIdB;type
1,2800;9;-1;Wall
1,3000;9;-1;Wall
1,3200;9;-1;Wall
1,3400;9;-1;Wall
1,3600;9;-1;Wall
1,3800;9;-1;Wall
2,1200;14;-1;Wall
2,1400;14;-1;Wall
2,1600;14;-1;Wall
2,1800;14;-1;Wall
2,2000;14;-1;Wall
6,8400;19;9;Agent
7,4800;22;14;Agent
7,5000;14;22;Agent
7,5000;22;14;Agent
7,5200;22;14;Agent
10,1400;19;16;Agent
10,1600;16;19;Agent
10,1600;19;16;Agent
10,1800;16;19;Agent
10,1800;19;16;Agent
10,2000;19;16;Agent
10,3000;38;39;Agent
10,3200;38;39;Agent
10,3200;39;38;Agent
10,3400;38;39;Agent
10,3600;38;39;Agent
10,4000;34;33;Agent
10,4200;34;33;Agent
10,4400;34;33;Agent
10,7600;62;-1;Wall
10,7800;62;-1;Wall
10,8000;62;-1;Wall
10,8200;62;-1;Wall
10,8400;62;-1;Wall
10,8600;62;-1;Wall
10,8800;62;-1;Wall
12,1600;44;38;Agent
12,1800;38;44;Agent
12,1800;44;38;Agent
12,2000;38;44;Agent
12,2000;44;38;Agent
12,2200;38;44;Agent
12,4000;19;-1;Wall
12,4200;19;-1;Wall
12,4400;19;-1;Wall
12,4800;31;45;Agent
12,4800;45;31;Agent
12,5000;31;45;Agent
12,5200;31;45;Agent
13,0000;49;57;Agent
13,0000;57;49;Agent
13,0200;49;57;Agent
13,0200;57;49;Agent
13,1800;52;58;Agent
13,2000;52;58;Agent
13,2200;52;58;Agent
13,9400;35;-1;Wall
13,9600;35;-1;Wall
13,9800;35;-1;Wall
14,0000;35;-1;Wall
15,1400;59;56;Agent
15,1600;59;56;Agent
15,1600;62;66;Agent
15,1800;62;66;Agent
15,2000;62;66;Agent
15,2800;60;71;Agent
15,3000;60;71;Agent
15,3200;60;71;Agent
15,3400;60;71;Agent
15,4600;60;70;Agent
15,4600;70;60;Agent
15,4800;60;70;Agent
15,4800;70;60;Agent
15,5000;60;70;Agent
15,8600;89;92;Agent
15,8600;92;89;Agent
15,8800;89;92;Agent
15,9800;19;-1;Wall
16,0000;19;-1;Wall
16,0200;19;-1;Wall
16,0400;19;-1;Wall
16,3400;66;64;Agent
16,3600;64;66;Agent
16,3600;66;64;Agent
16,3800;55;59;Agent
16,3800;64;66;Agent
16,3800;66;64;Agent
16,4800;19;35;Agent
16,5000;19;35;Agent
16,5200;19;35;Agent
16,5400;19;35;Agent
16,6400;93;-1;Wall
16,6600;93;-1;Wall
16,6800;93;-1;Wall
16,7000;93;-1;Wall
16,7200;93;-1;Wall
16,7400;93;-1;Wall
16,7600;93;-1;Wall
16,7800;93;-1;Wall
17,7600;67;60;Agent
17,7800;67;60;Agent
17,8000;60;67;Agent
17,8000;67;60;Agent
17,8200;67;60;Agent
17,8400;67;60;Agent
17,9600;50;-1;Wall
17,9800;41;-1;Wall
17,9800;50;-1;Wall
18,0000;41;-1;Wall
18,0000;50;-1;Wall
18,0200;41;-1;Wall
18,1200;74;85;Agent
18,1200;85;74;Agent
18,1400;74;85;Agent
18,1600;74;85;Agent
18,6400;41;-1;Wall
18,6600;41;-1;Wall
18,6600;50;-1;Wall
18,6800;41;-1;Wall
18,6800;50;-1;Wall
18,7000;50;-1;Wall
18,7200;50;-1;Wall
18,7400;50;-1;Wall
18,7800;78;79;Agent
18,8000;78;79;Agent
18,8200;78;79;Agent
19,1200;50;-1;Wall
19,1400;50;-1;Wall
19,1600;50;-1;Wall
19,1800;50;-1;Wall
19,2000;50;-1;Wall
19,3600;50;-1;Wall
19,3800;50;-1;Wall
19,4000;50;-1;Wall
19,4200;50;-1;Wall
19,4400;50;-1;Wall
19,4600;50;68;Agent
19,4600;50;-1;Wall
19,4600;68;50;Agent
19,4800;50;68;Agent
19,4800;50;-1;Wall
19,4800;68;50;Agent
19,5000;50;68;Agent
19,5000;50;-1;Wall
19,5200;50;68;Agent
19,5200;50;-1;Wall
19,5400;50;-1;Wall
19,5600;50;-1;Wall
19,5800;50;-1;Wall
19,6000;50;-1;Wall
19,6200;50;-1;Wall
