time;evacuated_count
7,540;1
8,260;2
8,320;3
8,740;4
8,880;5
9,120;6
9,180;7
9,680;8
10,280;9
10,580;10
11,000;11
11,440;12
11,460;13
11,880;14
12,360;15
12,400;16
12,840;17
13,340;18
13,540;19
13,680;20
13,960;21
14,040;22
14,080;23
14,220;24
14,320;25
14,420;26
14,820;27
14,860;28
14,900;29
15,120;30
15,480;31
15,620;32
15,960;33
16,080;34
16,320;35
16,480;36
16,860;37
16,940;38
17,140;39
17,200;40
17,340;41
17,540;42
17,700;43
17,920;44
18,300;45
18,380;46
18,500;47
18,780;48
18,860;49
18,940;50
19,460;51
19,540;52
19,820;53
20,080;54
20,120;55
20,180;56
20,280;57
20,500;58
20,500;59
20,800;60
21,140;61
21,320;62
21,500;63
21,640;64
21,660;65
22,020;66
22,220;67
22,420;68
22,760;69
23,160;70
23,320;71
23,360;72
23,500;73
23,540;74
23,760;75
23,760;76
23,980;77
24,340;78
24,460;79
24,460;80
24,600;81
24,840;82
25,240;83
25,280;84
25,320;85
25,400;86
25,600;87
26,540;88
26,700;89
26,900;90
27,040;91
27,300;92
27,500;93
27,580;94
28,060;95
28,120;96
28,340;97
28,460;98
28,880;99
29,020;100
29,260;101
29,600;102
29,620;103
29,660;104
29,920;105
30,380;106
30,420;107
30,800;108
30,800;109
31,140;110
31,660;111
32,080;112
32,680;113
32,880;114
32,940;115
33,360;116
33,520;117
33,740;118
33,860;119
34,620;120
34,740;121
34,760;122
35,180;123
35,200;124
35,500;125
35,640;126
35,820;127
35,920;128
35,960;129
36,280;130
36,340;131
36,420;132
36,660;133
36,740;134
36,960;135
37,020;136
37,120;137
37,480;138
37,520;139
37,680;140
37,780;141
38,040;142
38,040;143
38,060;144
38,080;145
38,380;146
38,480;147
38,560;148
38,580;149
38,700;150
38,800;151
38,840;152
39,120;153
39,220;154
39,280;155
39,620;156
39,660;157
39,920;158
40,020;159
40,100;160
40,300;161
40,440;162
40,700;163
40,780;164
40,880;165
40,900;166
41,200;167
41,320;168
41,340;169
41,380;170
41,640;171
41,720;172
41,720;173
41,920;174
42,120;175
42,300;176
42,360;177
42,640;178
42,660;179
42,800;180
43,260;181
43,260;182
43,960;183
44,060;184
44,140;185
44,700;186
44,900;187
45,380;188
45,400;189
45,860;190
45,960;191
46,060;192
46,320;193
46,860;194
46,880;195
46,920;196
47,440;197
47,480;198
47,760;199
47,940;200
48,140;201
48,180;202
48,460;203
49,060;204
49,180;205
50,060;206
50,160;207
50,240;208
50,420;209
50,480;210
50,580;211
50,620;212
50,960;213
50,960;214
51,020;215
51,240;216
51,460;217
51,560;218
51,600;219
51,860;220
51,960;221
51,980;222
52,000;223
52,040;224
52,360;225
52,620;226
52,680;227
52,820;228
52,880;229
52,880;230
52,960;231
53,320;232
53,480;233
53,600;234
53,980;235
54,040;236
54,320;237
54,380;238
54,420;239
54,760;240
54,860;241
55,100;242
55,280;243
55,540;244
55,800;245
55,820;246
56,000;247
56,040;248
56,080;249
56,140;250
56,340;251
56,520;252
56,680;253
56,880;254
57,080;255
57,200;256
57,320;257
57,580;258
57,940;259
58,260;260
58,620;261
58,680;262
59,160;263
59,300;264
59,620;265
59,680;266
60,460;267
60,880;268
61,260;269
61,680;270
61,880;271
62,020;272
62,160;273
62,440;274
62,440;275
62,820;276
