time;density;speed
2,080;0,5570;1,1666
2,600;0,6366;1,0917
2,600;0,5570;1,2915
3,120;0,5570;0,9452
3,120;0,6366;1,0168
3,120;0,6366;1,1003
3,120;0,7162;1,1286
3,120;0,5570;1,4278
3,640;0,6366;0,8468
3,640;0,7958;1,1217
3,640;0,7162;0,9272
3,640;0,6366;1,3010
3,640;0,6366;1,3631
3,640;0,5570;1,4637
4,160;0,7162;1,0424
4,160;0,6366;1,3508
4,160;0,7162;1,0424
4,160;0,5570;1,3502
4,160;0,6366;1,4436
4,660;0,5570;0,9576
4,660;0,5570;1,1555
4,660;0,6366;0,8379
4,660;0,7162;1,2150
4,660;0,6366;1,3584
4,660;0,6366;1,0858
4,660;0,6366;1,2133
4,660;0,5570;1,4144
4,660;0,6366;1,3618
4,660;0,6366;1,4268
4,660;0,5570;1,4047
5,180;0,5570;0,9458
5,180;0,6366;1,0586
5,180;0,5570;1,2046
5,180;0,7162;0,9726
5,180;0,7162;1,2534
5,180;0,5570;0,9827
5,180;0,8754;1,2648
5,180;0,6366;1,1624
5,180;0,6366;1,2570
5,180;0,6366;1,2255
5,180;0,5570;1,3164
5,180;0,6366;1,3061
5,180;0,7958;1,3035
5,180;0,7162;1,2719
5,180;0,7162;1,3025
5,180;0,9549;1,3154
5,180;0,6366;1,3085
5,180;0,7162;1,3594
5,700;0,5570;0,7516
5,700;0,6366;0,8027
5,700;0,7162;1,0868
5,700;0,6366;1,1994
5,700;0,5570;1,2197
5,700;0,7162;1,1207
5,700;0,7162;1,2663
5,700;0,5570;1,0644
5,700;0,5570;1,1839
5,700;0,9549;1,3044
5,700;0,7162;1,1353
5,700;0,7958;1,3055
5,700;0,7958;1,3210
5,700;0,7162;1,3070
5,700;0,8754;1,3098
5,700;0,7958;1,2882
5,700;0,7958;1,3498
5,700;0,9549;1,3254
5,700;0,8754;1,2982
5,700;0,7958;1,4061
6,200;0,5570;0,9034
6,200;0,5570;0,9034
6,200;0,6366;0,9561
6,200;0,7162;0,9484
6,200;0,7162;1,2070
6,200;0,5570;1,1943
6,200;0,6366;1,2077
6,200;0,7162;1,2478
6,200;0,7162;1,2302
6,200;0,7162;1,2005
6,200;0,5570;1,1861
6,200;0,6366;1,3144
6,200;0,5570;1,2391
6,200;0,8754;1,3173
6,200;0,7162;1,1483
6,200;0,5570;1,2201
6,200;0,5570;1,1871
6,200;0,8754;1,3081
6,200;0,8754;1,3148
6,200;0,9549;1,2860
6,200;0,9549;1,3185
6,200;0,8754;1,3261
6,200;0,8754;1,3560
6,200;0,7958;1,3669
6,200;1,0345;1,3201
6,200;0,5570;1,4126
6,200;0,5570;1,4075
6,720;0,5570;0,8420
6,720;0,7162;0,9150
6,720;0,5570;0,8420
6,720;0,5570;0,9753
6,720;0,6366;1,0430
6,720;0,8754;1,0430
6,720;0,7162;1,2410
6,720;0,5570;1,0906
6,720;0,6366;1,2085
6,720;0,9549;1,1764
6,720;0,8754;1,3155
6,720;0,6366;1,2085
6,720;0,7162;1,1865
6,720;0,5570;1,2155
6,720;0,7958;1,3017
6,720;0,6366;1,2549
6,720;0,9549;1,3376
6,720;0,8754;1,1489
6,720;0,7958;1,2234
6,720;0,7162;1,1651
6,720;1,1141;1,3427
6,720;1,0345;1,3149
6,720;0,8754;1,2451
6,720;0,7958;1,3528
6,720;0,7958;1,3334
6,720;0,7162;1,4060
6,720;0,7162;1,4237
6,720;1,0345;1,2870
6,720;0,5570;1,5084
7,220;0,5570;0,8040
7,220;0,6366;0,9803
7,220;0,7958;1,0268
7,220;0,5570;0,9811
7,220;0,7958;0,9420
7,220;0,7958;0,9290
7,220;0,5570;1,2863
7,220;0,6366;1,1369
7,220;0,8754;1,1181
7,220;0,7162;1,2513
7,220;0,5570;1,1076
7,220;0,7162;1,1805
7,220;0,5570;1,2483
7,220;0,9549;1,1093
7,220;1,0345;1,2583
7,220;0,7162;1,1832
7,220;0,7958;1,1344
7,220;0,7162;1,2200
7,220;0,8754;1,2204
7,220;0,7162;1,2590
7,220;0,7958;1,3578
7,220;1,1141;1,1248
7,220;0,7162;1,1312
7,220;0,7958;1,0855
7,220;0,7958;1,2158
7,220;0,8754;1,2652
7,220;0,8754;1,1359
7,220;0,5570;1,4714
7,220;0,6366;1,4278
7,220;0,8754;1,1922
7,720;0,6366;1,0080
7,720;0,5570;1,0433
7,720;0,5570;0,9980
7,720;0,6366;1,0476
7,720;0,6366;1,1659
7,720;0,7958;1,2144
7,720;0,7162;1,2659
7,720;0,6366;1,0155
7,720;0,5570;1,2801
7,720;0,7958;1,0766
7,720;0,7958;1,0766
7,720;0,5570;1,3014
7,720;0,7162;1,1712
7,720;0,8754;1,1379
7,720;1,0345;1,1798
7,720;0,5570;1,1982
7,720;0,7958;1,0692
7,720;0,8754;1,1924
7,720;1,1937;1,0797
7,720;1,0345;1,1424
7,720;0,7958;1,0692
7,720;0,7162;1,0864
7,720;1,0345;1,2026
7,720;0,7958;1,1954
7,720;0,8754;1,1229
7,720;0,6366;1,4621
7,720;1,1937;1,0629
7,720;1,0345;1,1028
7,720;1,1141;1,0726
7,720;0,8754;1,0876
7,720;0,6366;1,3265
7,720;0,9549;1,0485
7,720;0,7162;1,1052
8,220;0,8754;1,0505
8,220;0,6366;1,0259
8,220;0,6366;0,9577
8,220;0,5570;0,8553
8,220;0,5570;1,1663
8,220;0,6366;1,2154
8,220;0,8754;1,2423
8,220;0,7162;1,3055
8,220;0,6366;1,1123
8,220;0,7958;1,2251
8,220;0,8754;1,1617
8,220;0,8754;1,1617
8,220;0,9549;1,2017
8,220;0,9549;1,1800
8,220;0,9549;1,1318
8,220;1,1141;1,1994
8,220;0,6366;1,1831
8,220;1,1141;1,1597
8,220;1,0345;1,2016
8,220;1,2732;1,1110
8,220;1,0345;1,1377
8,220;0,7958;1,1330
8,220;0,7162;1,1250
8,220;1,1937;1,2376
8,220;0,7162;1,2222
8,220;1,1141;1,1720
8,220;0,5570;1,4603
8,220;1,2732;1,0983
8,220;1,1141;1,1703
8,220;1,2732;1,1668
8,220;0,7958;1,1380
8,220;0,6366;1,3044
8,220;0,8754;1,0690
8,220;0,6366;1,1089
8,740;0,5570;0,8668
8,740;0,5570;0,8668
8,740;1,0345;1,0827
8,740;0,6366;1,1443
8,740;0,7958;1,0157
8,740;0,7162;0,9352
8,740;0,6366;1,2855
8,740;0,7958;1,1186
8,740;0,7162;1,2909
8,740;0,8754;1,3040
8,740;0,8754;1,1404
8,740;0,6366;1,1866
8,740;0,9549;1,1862
8,740;0,9549;1,0998
8,740;0,7958;1,2599
8,740;1,1141;1,1711
8,740;1,1937;1,1521
8,740;0,7162;1,1739
8,740;1,1937;1,1491
8,740;1,3528;1,1435
8,740;0,9549;1,0846
8,740;1,2732;1,1498
8,740;1,2732;1,1593
8,740;1,1937;1,1377
8,740;0,9549;1,1408
8,740;1,1141;1,0502
8,740;0,7162;1,1213
8,740;1,3528;1,1817
8,740;0,5570;1,2783
8,740;1,1937;1,1160
8,740;1,5120;1,0930
8,740;1,2732;1,1495
8,740;1,5120;1,1839
8,740;0,7958;1,1519
8,740;0,6366;1,0689
8,740;0,5570;1,1024
9,240;0,5570;0,9223
9,240;0,5570;1,0890
9,240;0,5570;0,9223
9,240;0,9549;1,1720
9,240;0,6366;1,1607
9,240;0,7958;1,1118
9,240;0,7958;1,0055
9,240;0,7958;1,2439
9,240;1,1141;1,1278
9,240;0,7958;1,2035
9,240;1,0345;1,2558
9,240;1,1937;1,1136
9,240;0,7162;1,2530
9,240;1,1141;1,1479
9,240;0,8754;1,2344
9,240;0,7162;1,2306
9,240;1,4324;1,1636
9,240;1,4324;1,1784
9,240;1,1141;1,1482
9,240;1,5120;1,1773
9,240;1,5120;1,0854
9,240;1,5120;1,0145
9,240;1,3528;1,1283
9,240;1,2732;1,1584
9,240;0,7958;1,2246
9,240;1,1141;1,1267
9,240;1,6711;1,0661
9,240;0,7958;1,0517
9,240;1,3528;1,1283
9,240;1,2732;1,0993
9,240;1,3528;1,0362
9,240;1,4324;1,1588
9,240;1,5120;1,1540
9,240;0,8754;1,1222
9,240;0,6366;0,9905
9,740;0,5570;1,0037
9,740;0,7162;0,8992
9,740;0,5570;1,0037
9,740;0,5570;1,1412
9,740;0,7162;1,0118
9,740;1,0345;1,2125
9,740;0,6366;1,1693
9,740;0,7958;1,1552
9,740;0,7958;1,1066
9,740;1,1141;1,0827
9,740;1,1937;1,0602
9,740;1,0345;1,0525
9,740;1,2732;1,1172
9,740;1,3528;1,0647
9,740;1,0345;1,1795
9,740;1,5120;1,0611
9,740;0,9549;1,2376
9,740;0,8754;1,2483
9,740;1,4324;1,0825
9,740;1,4324;1,1034
9,740;1,1937;1,0905
9,740;1,5120;1,1127
9,740;1,3528;1,0898
9,740;1,6711;1,0772
9,740;1,5915;1,1006
9,740;1,3528;1,0885
9,740;0,9549;1,1821
9,740;1,5915;1,0390
9,740;1,1141;1,1493
9,740;1,3528;1,0836
9,740;1,2732;1,1342
9,740;1,1937;1,1330
9,740;1,5120;1,1192
9,740;1,4324;1,0403
9,740;0,7162;1,1309
9,740;0,5570;1,1429
10,260;0,6366;0,9133
10,260;0,5570;0,8998
10,260;0,5570;1,2135
10,260;0,8754;1,0078
10,260;0,6366;1,0917
10,260;0,7162;1,0337
10,260;0,7958;1,0920
10,260;1,0345;1,2472
10,260;0,5570;1,2896
10,260;0,8754;1,2188
10,260;0,7162;1,1269
10,260;0,8754;0,9915
10,260;0,7162;1,1760
10,260;0,6366;1,2121
10,260;1,2732;1,0504
10,260;1,4324;1,0566
10,260;1,1937;1,0873
10,260;1,2732;1,1005
10,260;1,3528;1,0847
10,260;1,3528;1,1175
10,260;1,5915;1,0730
10,260;1,1141;1,1874
10,260;0,8754;1,2830
10,260;1,2732;1,0956
10,260;1,4324;1,0566
10,260;1,1141;1,0788
10,260;1,6711;1,1101
10,260;1,5120;1,1729
10,260;1,7507;1,0882
10,260;1,5120;1,0782
10,260;1,3528;1,0519
10,260;0,9549;1,2018
10,260;1,5915;1,0757
10,260;1,0345;1,1792
10,260;1,5120;1,0998
10,260;1,1937;1,1149
10,260;1,0345;1,2167
10,260;1,6711;1,1053
10,260;1,2732;0,9906
10,260;0,7162;1,2339
10,260;0,5570;1,2070
10,760;0,5570;1,0405
10,760;0,7958;1,0866
10,760;0,5570;1,0405
10,760;0,7162;0,9646
10,760;0,6366;1,3069
10,760;0,7958;1,1653
10,760;0,6366;1,2431
10,760;0,7162;1,1717
10,760;0,7958;1,1845
10,760;0,5570;1,2898
10,760;1,0345;1,0969
10,760;0,7958;1,1836
10,760;1,1937;1,0367
10,760;0,7958;1,1719
10,760;1,1141;1,0954
10,760;0,7162;1,1497
10,760;0,8754;1,1614
10,760;1,5120;1,0646
10,760;1,5120;1,0662
10,760;1,1937;1,0783
10,760;1,4324;1,0270
10,760;1,4324;1,0398
10,760;1,1937;1,0803
10,760;1,5915;1,0398
10,760;1,0345;1,0777
10,760;0,8754;1,1217
10,760;1,3528;1,1159
10,760;1,5915;1,0671
10,760;1,1141;1,0873
10,760;1,6711;1,0695
10,760;1,3528;1,1530
10,760;1,5915;1,0585
10,760;1,6711;1,0510
10,760;1,4324;1,0577
10,760;0,7958;1,2136
10,760;1,3528;1,0581
10,760;0,8754;1,1536
10,760;1,4324;1,0613
10,760;0,9549;1,1344
10,760;0,7162;1,2138
10,760;1,5915;1,0616
10,760;1,1937;1,0641
10,760;0,7162;1,2178
11,260;0,5570;0,8859
11,260;0,8754;1,1983
11,260;0,7162;1,0528
11,260;0,7958;0,9776
11,260;0,7162;1,2155
11,260;0,7958;1,1838
11,260;0,7162;1,2193
11,260;0,7162;1,1983
11,260;0,8754;1,1721
11,260;0,6366;1,2055
11,260;1,5120;1,0792
11,260;1,1937;1,1017
11,260;1,1141;1,0607
11,260;0,8754;1,1462
11,260;1,3528;1,0927
11,260;0,9549;1,1351
11,260;0,9549;1,0888
11,260;1,3528;1,0660
11,260;1,6711;1,0447
11,260;1,3528;1,0949
11,260;1,7507;1,0465
11,260;1,4324;1,0693
11,260;1,5120;1,0538
11,260;1,5120;1,0387
11,260;1,1937;1,0978
11,260;1,0345;1,0978
11,260;1,1937;1,0682
11,260;1,7507;1,0705
11,260;1,0345;1,1013
11,260;1,6711;1,0786
11,260;0,9549;1,1326
11,260;1,5915;1,0364
11,260;1,5915;1,0544
11,260;1,5120;1,0882
11,260;0,7958;1,1384
11,260;1,1937;1,0379
11,260;1,0345;1,1339
11,260;1,2732;1,0297
11,260;0,7162;1,0676
11,260;0,6366;1,1383
11,260;1,5915;1,0989
11,260;0,8754;1,0480
11,260;0,6366;1,1383
11,780;0,5570;0,8673
11,780;0,5570;1,1001
11,780;0,5570;1,1509
11,780;0,8754;1,2229
11,780;0,7162;1,1622
11,780;0,5570;1,1533
11,780;0,7162;1,1524
11,780;0,8754;1,1703
11,780;0,8754;1,1728
11,780;0,7958;1,1978
11,780;0,7162;1,1914
11,780;0,8754;1,1304
11,780;0,7162;1,1481
11,780;1,5915;1,0934
11,780;1,4324;1,0733
11,780;1,3528;1,1225
11,780;1,0345;1,1659
11,780;1,5915;1,1037
11,780;0,8754;1,1351
11,780;1,0345;1,1159
11,780;1,3528;1,1025
11,780;1,6711;1,1216
11,780;1,2732;1,0974
11,780;1,5915;1,0863
11,780;1,4324;1,1056
11,780;1,5120;1,0663
11,780;1,4324;1,0381
11,780;1,4324;1,0855
11,780;1,0345;1,1431
11,780;0,8754;1,0986
11,780;1,7507;1,1059
11,780;1,1937;1,1140
11,780;1,5915;1,0575
11,780;0,6366;1,0678
11,780;1,5120;1,0630
11,780;1,2732;1,0579
11,780;1,7507;1,1010
11,780;0,5570;1,1519
11,780;1,0345;1,0425
11,780;0,9549;1,1121
11,780;1,1141;1,0844
11,780;0,5570;1,0029
11,780;1,6711;1,1138
11,780;0,8754;1,1078
12,280;0,7162;1,0954
12,280;0,6366;0,9511
12,280;0,5570;0,9832
12,280;0,6366;1,2188
12,280;1,0345;1,1797
12,280;0,5570;1,2161
12,280;0,7162;1,2208
12,280;0,5570;1,2246
12,280;0,6366;1,1435
12,280;0,7958;1,2121
12,280;1,2732;1,2291
12,280;0,9549;1,1743
12,280;0,9549;1,2357
12,280;0,7958;1,2559
12,280;1,0345;1,1646
12,280;0,8754;1,2255
12,280;1,8303;1,1512
12,280;1,5120;1,1434
12,280;1,4324;1,1172
12,280;1,2732;1,1352
12,280;1,7507;1,1229
12,280;1,1141;1,1546
12,280;1,1937;1,1776
12,280;1,2732;1,1470
12,280;1,5915;1,1018
12,280;1,0345;1,1391
12,280;1,6711;1,1372
12,280;1,4324;1,1689
12,280;1,4324;1,1175
12,280;1,1141;1,0900
12,280;1,7507;1,1770
12,280;1,2732;1,1451
12,280;0,6366;1,1704
12,280;1,6711;1,1746
12,280;1,1141;1,1387
12,280;1,5915;1,1249
12,280;1,2732;1,0867
12,280;1,1937;1,0709
12,280;1,8303;1,1484
12,280;0,7958;1,1290
12,280;0,7162;1,1676
12,280;0,9549;1,0977
12,280;0,5570;1,1342
12,280;1,4324;1,1777
12,280;0,7162;1,1884
12,780;0,5570;1,0183
12,780;0,7162;1,2460
12,780;0,7958;1,0490
12,780;0,7162;1,0606
12,780;0,7162;1,2439
12,780;1,2732;1,1783
12,780;0,8754;1,2500
12,780;0,7162;1,2280
12,780;0,6366;1,2405
12,780;1,1141;1,2007
12,780;0,7958;1,2357
12,780;1,3528;1,1612
12,780;1,1141;1,1464
12,780;1,1937;1,2253
12,780;0,9549;1,2385
12,780;1,4324;1,1421
12,780;1,1937;1,1978
12,780;1,8303;1,0546
12,780;1,6711;1,1246
12,780;1,3528;1,0521
12,780;1,5915;1,1242
12,780;1,6711;1,0218
12,780;1,1141;1,1123
12,780;1,5120;1,1472
12,780;1,1141;1,1101
12,780;1,2732;0,9476
12,780;0,5570;1,2519
12,780;1,6711;1,0839
12,780;1,3528;1,0028
12,780;1,3528;0,9726
12,780;0,6366;1,0258
12,780;1,5915;1,1242
12,780;1,2732;1,1049
12,780;1,5915;1,0573
12,780;0,6366;1,1050
12,780;1,4324;0,9846
12,780;1,1141;0,9473
12,780;0,9549;0,8515
12,780;1,6711;0,9953
12,780;0,6366;0,9070
12,780;0,9549;1,0052
12,780;0,9549;0,9785
12,780;1,4324;1,0708
12,780;0,7958;1,1071
13,300;0,5570;0,8269
13,300;0,5570;1,0881
13,300;0,5570;1,1190
13,300;0,7162;0,9788
13,300;0,7162;1,2751
13,300;0,7958;1,2165
13,300;0,5570;1,1687
13,300;0,7162;1,2497
13,300;0,7958;1,1577
13,300;0,6366;1,1908
13,300;0,6366;1,1734
13,300;1,4324;1,0684
13,300;1,1141;1,1079
13,300;0,9549;1,1495
13,300;0,5570;1,1327
13,300;1,2732;1,0535
13,300;0,7162;1,2049
13,300;1,3528;1,0400
13,300;1,4324;1,0418
13,300;1,2732;1,0993
13,300;1,0345;1,0957
13,300;1,5120;1,0439
13,300;1,5120;1,0906
13,300;1,6711;1,0335
13,300;1,5120;1,0584
13,300;1,6711;1,0197
13,300;1,5120;1,0458
13,300;1,7507;0,9972
13,300;1,1937;1,0878
13,300;1,7507;1,0500
13,300;0,7958;1,1047
13,300;0,7162;1,1054
13,300;0,5570;1,2225
13,300;1,4324;1,0487
13,300;1,3528;1,0068
13,300;1,4324;1,0167
13,300;1,5120;1,0458
13,300;1,3528;1,0945
13,300;1,4324;1,0958
13,300;1,4324;1,0249
13,300;1,0345;0,9374
13,300;0,7958;0,9060
13,300;1,2732;0,9945
13,300;0,5570;0,9350
13,300;0,8754;1,0184
13,300;1,1937;1,0766
13,300;1,2732;1,0770
13,300;0,7958;1,0811
13,800;0,7162;1,0262
13,800;0,5570;0,9029
13,800;0,7162;0,9727
13,800;0,5570;1,1059
13,800;0,6366;1,1892
13,800;0,7958;1,1818
13,800;0,7162;1,2819
13,800;0,8754;1,1985
13,800;0,5570;1,2634
13,800;0,7162;1,3189
13,800;0,6366;1,1616
13,800;1,0345;1,1131
13,800;0,6366;1,1847
13,800;0,9549;1,0152
13,800;1,5120;1,0404
13,800;1,4324;1,0774
13,800;1,1937;1,0110
13,800;1,1141;1,0546
13,800;1,5120;1,0279
13,800;0,8754;1,0772
13,800;1,4324;1,0207
13,800;1,5915;1,0410
13,800;1,3528;1,0241
