time;agentId;headwayDistance;headwayVelocity
1,0200;7;1,7330;0,0000
1,0200;6;1,9923;0,1137
1,0200;5;0,7040;0,3187
1,0200;4;0,9891;0,7108
1,0200;3;0,7040;0,0000
1,0200;2;0,8370;0,3187
1,0200;1;0,9891;0,1137
2,0400;12;0,9714;0,6563
2,0400;11;1,1470;0,0000
2,0400;10;0,8549;0,6563
2,0400;9;1,1470;0,0000
2,0400;8;0,8549;0,0889
2,0400;7;1,5272;1,3562
2,0400;6;1,7884;0,8648
2,0400;5;0,7160;1,4081
2,0400;4;1,3854;1,2726
2,0400;3;0,7160;1,3562
2,0400;2;0,8497;1,4081
2,0400;1;1,3854;0,8648
3,0600;19;0,8404;0,5206
3,0600;17;1,0924;1,1362
3,0600;15;0,8072;0,7729
3,0600;14;0,7627;0,0000
3,0600;13;0,6712;0,7729
3,0600;12;0,6712;0,4311
3,0600;11;0,9921;1,2325
3,0600;10;0,8660;1,5362
3,0600;9;0,9921;1,1619
3,0600;8;0,8660;1,1362
3,0600;7;1,3248;1,5362
3,0600;6;1,6407;0,9214
3,0600;5;0,6928;1,4684
3,0600;4;1,1326;1,2325
3,0600;3;0,6928;1,5232
3,0600;2;0,8291;1,4684
3,0600;1;1,7494;0,9214
4,0800;24;0,8014;0,0546
4,0800;22;0,8014;0,0000
4,0800;21;0,6704;0,8124
4,0800;20;0,9076;0,0546
4,0800;19;0,8688;0,0546
4,0800;18;0,6634;0,0000
4,0800;17;0,9995;1,2141
4,0800;16;0,6704;0,4608
4,0800;15;0,7541;1,2141
4,0800;14;1,1128;0,0000
4,0800;13;0,7313;0,9342
4,0800;12;0,7313;0,8756
4,0800;11;0,8006;0,9235
4,0800;10;0,7541;1,5999
4,0800;9;0,8186;0,9235
4,0800;8;0,8677;1,5160
4,0800;7;1,0997;1,5710
4,0800;6;1,5815;0,9235
4,0800;5;0,6897;1,4770
4,0800;4;0,8006;1,3289
4,0800;3;0,6897;1,5160
4,0800;2;0,8170;1,4770
4,0800;1;1,3714;1,5125
5,1000;30;0,6071;0,0000
5,1000;28;0,6071;0,0000
5,1000;27;0,7556;0,0000
5,1000;26;0,7004;1,0865
5,1000;25;0,5761;0,0000
5,1000;24;0,7462;0,9221
5,1000;23;0,8557;1,0865
5,1000;22;0,5784;0,9467
5,1000;21;0,8683;1,0541
5,1000;20;1,2048;1,5361
5,1000;19;0,6715;1,5361
5,1000;18;0,7004;0,6215
5,1000;17;0,8093;1,2283
5,1000;16;0,8683;1,2708
5,1000;15;0,7260;1,2283
5,1000;14;1,2837;1,0865
5,1000;13;0,7462;0,9656
5,1000;12;0,5784;1,5361
5,1000;11;0,5736;0,9723
5,1000;10;0,7260;1,6180
5,1000;9;0,6586;0,9723
5,1000;8;0,6028;1,4993
5,1000;7;0,7292;0,9723
5,1000;6;1,4323;1,5139
5,1000;5;0,6028;1,5660
5,1000;4;0,5736;1,3100
5,1000;3;0,5941;1,1995
5,1000;2;0,9552;1,4353
5,1000;1;0,5941;1,4353
6,1000;36;0,4796;0,0000
6,1000;35;1,5571;1,0835
6,1000;34;0,6911;0,4322
6,1000;33;0,8120;1,0387
6,1000;32;0,4796;0,0000
6,1000;31;0,6911;0,0000
6,1000;30;0,7072;1,0835
6,1000;29;0,7453;1,1876
6,1000;28;0,7072;1,2443
6,1000;27;0,7134;0,0000
6,1000;26;0,6610;1,0735
6,1000;25;1,1011;1,0936
6,1000;24;0,6257;0,9685
6,1000;23;0,7911;1,0735
6,1000;22;0,6575;1,3954
6,1000;21;1,0022;1,1031
6,1000;20;1,1011;1,3032
6,1000;19;0,6575;1,3892
6,1000;18;0,6610;1,2916
6,1000;17;0,6658;1,2254
6,1000;16;1,0022;1,2474
6,1000;15;0,5412;0,8653
6,1000;14;1,4155;1,0735
6,1000;13;0,6257;1,1601
6,1000;12;0,6866;1,3892
6,1000;11;0,5814;0,8653
6,1000;10;0,6658;1,3750
6,1000;9;0,6261;0,8653
6,1000;8;0,6090;1,4885
6,1000;7;0,5384;1,5077
6,1000;6;0,7673;1,5249
6,1000;5;0,5384;1,4885
6,1000;4;0,5412;1,6331
6,1000;3;0,7673;1,2698
6,1000;2;1,0879;1,5249
6,1000;1;1,3353;1,2254
7,1200;39;0,7548;0,6307
7,1200;38;0,9335;1,2739
7,1200;37;0,6670;0,7581
7,1200;36;0,7265;0,7581
7,1200;35;0,9335;0,6903
7,1200;34;0,7972;0,7886
7,1200;33;0,6390;1,0973
7,1200;32;0,6670;0,6307
7,1200;31;0,7972;1,0546
7,1200;30;0,6531;1,4207
