time;density;specific_flow
0,520;0,0000;0,0000
1,040;0,0000;0,0000
1,560;0,0000;0,0000
2,080;0,0000;0,0000
2,600;0,0000;0,0000
3,120;0,0000;0,0000
3,640;0,0000;0,0000
4,160;0,0000;0,0000
4,660;0,0000;0,0000
5,180;0,0000;0,0000
5,700;0,0000;0,0000
6,200;0,0000;0,0000
6,720;0,0398;0,0000
7,220;0,0796;0,0000
7,720;0,1592;0,2014
8,220;0,2387;0,3011
8,740;0,1989;0,2491
9,240;0,0796;0,0991
9,740;0,0796;0,0000
10,260;0,1989;0,2445
10,760;0,1592;0,1920
11,260;0,1989;0,2435
11,780;0,1592;0,1977
12,280;0,1989;0,2464
12,780;0,1989;0,2423
13,300;0,3183;0,4126
13,800;0,2785;0,4042
14,320;0,3183;0,4691
14,820;0,2785;0,4270
15,320;0,2387;0,2504
15,840;0,2785;0,3448
16,340;0,3183;0,3515
16,840;0,3581;0,4204
17,340;0,2387;0,3029
17,840;0,2785;0,3698
18,340;0,1989;0,2731
18,860;0,2387;0,3433
19,360;0,2785;0,4387
19,860;0,3183;0,5113
20,360;0,2785;0,3842
20,860;0,2785;0,3174
21,360;0,2785;0,3164
21,860;0,1989;0,0000
22,360;0,2387;0,3187
22,880;0,3183;0,4340
23,380;0,3581;0,4775
23,880;0,2387;0,3008
24,380;0,3183;0,3895
24,880;0,1989;0,2239
25,380;0,1194;0,1337
25,880;0,1194;0,1800
26,380;0,2785;0,3825
26,900;0,3183;0,3547
27,400;0,3183;0,3092
27,900;0,3183;0,3172
28,400;0,2785;0,2502
28,900;0,3581;0,4076
29,400;0,3183;0,3495
29,900;0,3183;0,0378
30,400;0,3581;0,0163
30,920;0,1989;0,0000
31,420;0,2387;0,0251
31,920;0,3581;0,2479
32,440;0,3581;0,3152
32,940;0,3183;0,2925
33,440;0,3183;0,2561
33,940;0,2785;0,2254
34,440;0,3979;0,3185
34,940;0,3979;0,3623
35,440;0,5173;0,3564
35,940;0,5570;0,3414
36,440;0,5173;0,4054
36,940;0,5968;0,5248
37,440;0,4775;0,4588
37,940;0,5968;0,6056
38,440;0,5173;0,4591
38,940;0,3581;0,3301
39,440;0,3581;0,4870
39,940;0,4377;0,5644
40,440;0,4377;0,4692
40,940;0,3979;0,4331
41,440;0,3979;0,4084
41,960;0,2785;0,2602
42,460;0,2387;0,1548
42,960;0,2387;0,1913
43,460;0,1989;0,1645
43,960;0,2387;0,2361
44,460;0,1989;0,1859
44,960;0,2387;0,2467
45,460;0,1989;0,2045
45,960;0,2785;0,3079
46,460;0,2387;0,2316
46,960;0,2387;0,2263
47,460;0,3183;0,2920
47,960;0,2785;0,0000
48,460;0,2785;0,0000
48,960;0,3581;0,4415
49,460;0,4775;0,6161
49,960;0,5968;0,7743
50,460;0,5968;0,8119
50,960;0,6366;0,8657
51,480;0,5570;0,7211
