metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_calibrated
total_agents;606
rset_100s;153,600
rset_95s;133,920
rset_90s;121,200
rset_50s;66,240
mean_speed_ms;0,9853
std_speed_ms;0,4580
max_speed_ms;2,0958
mean_exit_density_pm2;0,2430
peak_exit_density_pm2;0,6366
mean_global_density_pm2;0,5161
specific_flow_mean_pms;0,2725
specific_flow_peak_pms;0,9059
throughput_ps;3,9453
throughput_Exit_West_ps;1,8880
throughput_Exit_South_ps;2,0573
collisions_agent_agent;1948
collisions_agent_wall;3561
mean_headway_m;0,6475
min_headway_m;0,3386
std_headway_m;0,2222
