agentId;time;posX;posZ;speed
36;0,1200;-0,3352;-0,4055;0,0920
33;0,1200;0,0607;-0,1256;0,0710
36;0,2400;-0,3129;-0,4112;0,2679
34;0,2400;0,4964;-0,1509;0,0536
33;0,2400;0,0565;-0,1312;0,1152
36;0,3600;-0,2704;-0,4352;0,5024
34;0,3600;0,4919;-0,1560;0,0505
33;0,3600;0,0601;-0,1513;0,2175
31;0,3600;-0,3897;0,0959;0,1485
36;0,4800;-0,2177;-0,4915;0,7496
34;0,4800;0,4898;-0,1705;0,1801
33;0,4800;0,0605;-0,1856;0,2833
31;0,4800;-0,3965;0,0714;0,2830
36;0,6000;-0,1731;-0,5780;0,8713
34;0,6000;0,4877;-0,2032;0,3953
33;0,6000;0,0557;-0,2265;0,3998
31;0,6000;-0,3951;0,0296;0,4230
36;0,7200;-0,1384;-0,6873;1,0192
34;0,7200;0,4744;-0,2584;0,5723
33;0,7200;0,0388;-0,2760;0,4798
31;0,7200;-0,3837;-0,0296;0,5799
36;0,8400;-0,1169;-0,8202;1,1862
34;0,8400;0,4405;-0,3252;0,6502
33;0,8400;0,0010;-0,3432;0,7988
31;0,8400;-0,3629;-0,1032;0,6522
29;0,8400;0,3107;0,0793;0,3868
36;0,9600;-0,1102;-0,9781;1,3679
34;0,9600;0,3855;-0,3898;0,7091
33;0,9600;-0,0333;-0,4420;0,9784
31;0,9600;-0,3387;-0,1849;0,6695
29;0,9600;0,3120;0,0258;0,4964
34;1,0800;0,3194;-0,4539;0,7869
33;1,0800;-0,0468;-0,5639;1,0668
31;1,0800;-0,3240;-0,2603;0,5919
29;1,0800;0,3038;-0,0404;0,6533
26;1,0800;-0,0657;0,0409;0,5294
34;1,1800;0,2683;-0,5152;0,7965
33;1,1800;-0,0423;-0,6722;1,0552
31;1,1800;-0,3212;-0,3185;0,6050
29;1,1800;0,2862;-0,1048;0,7169
26;1,1800;-0,0552;-0,0040;0,4268
34;1,3000;0,2127;-0,6040;0,9822
33;1,3000;-0,0450;-0,8048;1,1461
31;1,3000;-0,3272;-0,3900;0,6333
29;1,3000;0,2606;-0,1852;0,7785
26;1,3000;-0,0460;-0,0559;0,4476
34;1,4200;0,1693;-0,7174;1,0758
33;1,4200;-0,0700;-0,9340;1,0113
31;1,4200;-0,3323;-0,4752;0,7237
29;1,4200;0,2413;-0,2795;0,8254
26;1,4200;-0,0466;-0,1088;0,4564
34;1,5200;0,1447;-0,8376;1,2932
33;1,5200;-0,0986;-1,0211;0,8891
31;1,5200;-0,3276;-0,5479;0,6843
29;1,5200;0,2304;-0,3631;0,8775
26;1,5200;-0,0568;-0,1567;0,4963
34;1,6400;0,1207;-0,9902;1,1798
31;1,6400;-0,3062;-0,6322;0,7107
29;1,6400;0,2245;-0,4597;0,7849
26;1,6400;-0,0758;-0,2130;0,5348
22;1,6400;0,2110;0,0681;0,6068
31;1,7400;-0,2769;-0,6988;0,7006
29;1,7400;0,2228;-0,5466;0,8736
26;1,7400;-0,0894;-0,2653;0,5306
22;1,7400;0,2025;0,0129;0,5161
