time;evacuated_count
1,040;1
1,600;2
1,720;3
2,240;4
2,260;5
2,560;6
2,960;7
3,100;8
3,520;9
3,720;10
4,000;11
4,200;12
4,600;13
5,240;14
5,460;15
5,600;16
6,000;17
6,420;18
6,480;19
6,860;20
7,400;21
7,760;22
7,860;23
8,440;24
8,640;25
9,000;26
9,480;27
9,660;28
9,960;29
10,320;30
10,560;31
11,220;32
11,280;33
11,680;34
12,080;35
12,600;36
12,860;37
13,280;38
13,600;39
13,960;40
14,280;41
14,700;42
14,920;43
15,400;44
15,760;45
16,160;46
16,780;47
17,440;48
17,560;49
17,980;50
18,200;51
18,820;52
18,820;53
19,280;54
19,660;55
19,960;56
20,360;57
20,600;58
21,080;59
21,300;60
21,640;61
22,180;62
22,240;63
22,860;64
23,380;65
24,000;66
24,160;67
24,760;68
24,840;69
25,500;70
25,520;71
26,120;72
26,560;73
27,160;74
27,220;75
27,900;76
28,480;77
28,820;78
29,340;79
29,880;80
30,040;81
30,780;82
30,820;83
31,560;84
31,900;85
32,600;86
33,440;87
33,460;88
33,860;89
34,700;90
35,160;91
35,660;92
36,280;93
