time;density;speed
0,510;1,2732;0,1797
0,510;0,9549;0,1512
0,510;2,1486;0,2167
0,510;1,7507;0,2215
0,510;2,1486;0,2370
0,510;2,1486;0,2112
0,510;2,2282;0,2119
0,510;2,4669;0,2074
0,510;1,5915;0,2173
0,510;2,4669;0,2280
0,510;2,4669;0,2039
0,510;1,2732;0,2008
0,510;2,5465;0,2117
0,510;1,9099;0,2387
0,510;2,1486;0,2125
0,510;2,5465;0,2264
0,510;2,3077;0,2244
0,510;2,5465;0,2031
0,510;2,1486;0,2342
0,510;1,8303;0,2140
0,510;2,4669;0,2039
0,510;1,3528;0,2030
0,510;2,5465;0,2117
0,510;2,4669;0,2341
0,510;2,1486;0,2063
0,510;1,9894;0,2440
0,510;2,2282;0,2313
0,510;1,1937;0,1747
0,510;2,5465;0,2000
0,510;2,4669;0,2224
0,510;1,5915;0,2005
0,510;1,6711;0,1901
0,510;2,3077;0,2296
0,510;1,9894;0,2182
0,510;1,9099;0,1792
0,510;2,3873;0,2199
0,510;2,1486;0,1866
1,020;2,4669;0,4587
1,020;2,2282;0,4828
1,020;1,5120;0,5013
1,020;1,3528;0,5180
1,020;1,4324;0,4926
1,020;1,3528;0,5128
1,020;1,4324;0,5546
1,020;2,0690;0,5589
1,020;2,3873;0,5054
1,020;2,2282;0,5119
1,020;2,5465;0,5493
1,020;2,6261;0,5364
1,020;1,9894;0,5247
1,020;2,6261;0,5117
1,020;2,7852;0,5370
1,020;1,5915;0,4739
1,020;2,7056;0,5096
1,020;2,0690;0,5090
1,020;2,3873;0,5447
1,020;2,7852;0,5045
1,020;2,5465;0,5173
1,020;3,0239;0,5237
1,020;2,4669;0,5102
1,020;2,0690;0,5090
1,020;2,8648;0,5290
1,020;1,4324;0,4370
1,020;2,7056;0,5011
1,020;2,6261;0,5176
1,020;2,6261;0,5143
1,020;1,0345;0,4317
1,020;2,0690;0,4897
1,020;2,5465;0,4958
1,020;1,5120;0,5078
1,020;2,8648;0,4836
1,020;2,6261;0,4874
1,020;1,8303;0,4593
1,020;1,7507;0,4887
1,020;2,3873;0,5005
1,020;2,0690;0,4556
1,020;2,3873;0,4851
1,020;2,5465;0,4845
1,020;2,5465;0,4654
1,530;1,5120;0,5385
1,530;1,3528;0,5056
1,530;2,6261;0,5299
1,530;1,9894;0,5287
1,530;1,2732;0,4971
1,530;2,7852;0,5387
1,530;2,7852;0,5445
1,530;1,9099;0,5553
1,530;1,5915;0,5339
1,530;1,9099;0,5471
1,530;1,9894;0,5714
1,530;2,3873;0,5923
1,530;2,0690;0,6075
1,530;1,9894;0,6146
1,530;2,7852;0,5855
1,530;2,6261;0,5740
1,530;2,4669;0,5947
1,530;2,7852;0,5836
1,530;3,0239;0,5834
1,530;2,0690;0,5815
1,530;3,0239;0,5747
1,530;2,5465;0,5660
1,530;1,1141;0,5105
1,530;2,9444;0,5788
1,530;3,0239;0,5861
1,530;2,7852;0,5627
1,530;3,1035;0,5722
1,530;2,8648;0,5647
1,530;2,7056;0,5560
1,530;3,1831;0,5801
1,530;1,6711;0,5293
1,530;3,2627;0,5736
1,530;3,1035;0,5854
1,530;3,1035;0,5824
1,530;1,4324;0,4957
1,530;2,3873;0,5550
1,530;2,9444;0,5657
1,530;1,9099;0,5471
1,530;3,3423;0,5724
1,530;3,0239;0,5861
1,530;1,9894;0,5251
1,530;2,3873;0,5264
1,530;2,8648;0,5660
1,530;2,4669;0,5228
1,530;2,8648;0,5478
1,530;3,1035;0,5729
1,530;3,0239;0,5467
2,040;2,8648;0,5269
2,040;1,6711;0,4825
2,040;1,8303;0,4899
2,040;1,2732;0,4757
2,040;3,1035;0,5174
2,040;1,3528;0,5156
2,040;2,9444;0,5159
2,040;1,8303;0,5276
2,040;1,6711;0,5136
2,040;3,1831;0,5355
2,040;2,7056;0,5120
2,040;1,9099;0,4991
2,040;3,5810;0,5631
2,040;3,3423;0,5380
2,040;2,1486;0,5526
2,040;1,7507;0,5105
2,040;2,2282;0,5382
2,040;2,3077;0,5755
2,040;2,5465;0,5839
2,040;2,7852;0,5807
2,040;2,4669;0,5872
2,040;2,6261;0,5701
2,040;2,5465;0,5851
2,040;3,1831;0,5707
2,040;2,9444;0,5515
2,040;3,1035;0,5684
2,040;3,0239;0,5732
2,040;1,9099;0,5187
2,040;3,1035;0,5785
2,040;3,2627;0,5585
2,040;2,9444;0,5692
2,040;3,2627;0,5615
2,040;3,5014;0,5545
2,040;3,0239;0,5692
2,040;3,4218;0,5735
2,040;2,2282;0,5049
2,040;3,4218;0,5545
2,040;3,3423;0,5494
2,040;3,3423;0,5686
2,040;2,1486;0,5072
2,040;3,4218;0,5475
2,040;3,4218;0,5495
2,040;2,3077;0,5162
2,040;3,5014;0,5659
2,040;3,5014;0,5513
2,040;2,8648;0,5427
2,040;2,7852;0,5404
2,040;3,2627;0,5418
2,040;3,1035;0,5348
2,040;3,3423;0,5686
2,040;3,5810;0,5617
2,040;3,5014;0,5613
2,550;1,6711;0,4220
2,550;2,9444;0,3830
2,550;3,1831;0,3982
2,550;2,4669;0,4094
2,550;2,7852;0,3784
2,550;2,3873;0,3797
2,550;1,5915;0,4794
2,550;3,2627;0,3977
2,550;1,7507;0,4332
2,550;2,3077;0,4212
2,550;1,5915;0,4433
2,550;1,7507;0,4471
2,550;3,4218;0,4013
2,550;1,9099;0,3878
2,550;3,5810;0,4128
2,550;2,1486;0,4046
2,550;2,0690;0,3761
2,550;3,5810;0,4187
2,550;3,2627;0,4092
2,550;1,9894;0,4352
2,550;3,9789;0,4181
2,550;3,9789;0,4306
2,550;2,4669;0,4407
2,550;2,3077;0,3847
2,550;2,6261;0,4099
2,550;2,4669;0,4509
2,550;2,7852;0,4365
2,550;2,7852;0,4332
2,550;3,1035;0,4426
2,550;3,1831;0,4333
2,550;3,3423;0,4467
2,550;2,4669;0,4413
2,550;2,9444;0,4449
2,550;2,3077;0,4739
2,550;3,5014;0,4288
2,550;3,4218;0,4299
2,550;3,0239;0,4350
2,550;3,4218;0,4317
2,550;3,5810;0,4393
2,550;3,5014;0,4365
2,550;3,8197;0,4346
2,550;2,7056;0,4223
2,550;3,7401;0,4319
2,550;3,8197;0,4349
2,550;3,8197;0,4346
2,550;2,5465;0,4280
2,550;3,6606;0,4485
2,550;3,8993;0,4394
2,550;2,8648;0,4083
2,550;3,8993;0,4374
2,550;3,9789;0,4285
2,550;3,4218;0,4388
2,550;3,2627;0,4055
2,550;3,8993;0,4366
2,550;3,7401;0,4388
2,550;3,8197;0,4346
2,550;4,0585;0,4333
2,550;3,8993;0,4374
3,060;3,1035;0,3475
3,060;2,3873;0,3444
3,060;1,5915;0,4218
3,060;3,5014;0,3470
3,060;3,1831;0,3596
3,060;1,8303;0,4037
3,060;1,8303;0,3192
3,060;3,7401;0,3624
3,060;3,8197;0,3451
3,060;2,8648;0,3655
3,060;3,2627;0,3443
3,060;2,7056;0,3580
3,060;2,1486;0,3885
3,060;4,2972;0,3564
3,060;1,9894;0,3500
3,060;1,8303;0,3644
3,060;2,5465;0,3426
3,060;1,9099;0,3542
3,060;2,3873;0,3534
3,060;4,3768;0,3560
3,060;2,4669;0,3605
3,060;4,0585;0,3740
3,060;2,8648;0,3722
3,060;2,6261;0,3600
3,060;3,8993;0,3577
3,060;3,6606;0,3826
3,060;2,3873;0,3412
3,060;4,3768;0,3571
3,060;4,6155;0,3616
3,060;2,8648;0,3894
3,060;2,8648;0,3538
3,060;3,1831;0,3751
3,060;2,9444;0,3633
3,060;2,8648;0,3424
3,060;3,5014;0,3832
3,060;3,1831;0,3329
3,060;3,5014;0,3558
3,060;3,1035;0,3446
3,060;2,9444;0,3689
3,060;3,6606;0,3735
3,060;3,5014;0,3346
3,060;2,6261;0,3629
3,060;3,5810;0,3451
3,060;3,6606;0,3416
3,060;3,7401;0,3736
3,060;4,0585;0,3629
3,060;3,1035;0,3639
3,060;4,1380;0,3707
3,060;3,9789;0,3481
3,060;3,9789;0,3661
3,060;2,8648;0,3423
3,060;3,8993;0,3485
3,060;4,2972;0,3721
3,060;3,4218;0,3665
3,060;4,2176;0,3627
3,060;4,4563;0,3662
3,060;3,5810;0,3536
3,060;3,8197;0,3700
3,060;4,4563;0,3735
3,060;4,0585;0,3794
3,060;4,0585;0,3691
3,060;4,3768;0,3571
3,060;4,1380;0,3701
3,570;2,3873;0,2842
3,570;1,9894;0,2787
3,570;3,8197;0,2798
3,570;2,6261;0,3127
3,570;1,8303;0,2874
3,570;3,7401;0,2708
3,570;3,5810;0,2933
3,570;2,3077;0,2838
3,570;2,2282;0,2829
3,570;3,8197;0,2851
3,570;3,8993;0,2633
3,570;3,3423;0,2937
3,570;3,5014;0,2776
3,570;3,1035;0,2739
3,570;2,4669;0,3228
3,570;4,4563;0,2853
3,570;2,3873;0,3098
3,570;2,1486;0,3008
3,570;2,8648;0,3037
3,570;2,3077;0,3052
3,570;2,8648;0,3162
3,570;4,3768;0,2856
3,570;2,6261;0,2872
3,570;4,0585;0,2976
3,570;3,1035;0,2928
3,570;2,9444;0,2887
3,570;4,0585;0,2941
3,570;3,8993;0,3072
3,570;2,7852;0,3037
3,570;4,5359;0,2903
3,570;4,6951;0,2970
3,570;3,1831;0,3067
3,570;3,1035;0,2798
3,570;3,3423;0,3094
3,570;3,0239;0,2941
3,570;2,9444;0,2885
3,570;3,4218;0,3022
3,570;3,5014;0,3057
3,570;3,1035;0,2904
3,570;3,0239;0,3134
3,570;3,6606;0,2917
3,570;3,1831;0,2874
3,570;3,6606;0,2929
3,570;3,5810;0,2971
3,570;3,9789;0,2942
3,570;4,2176;0,2933
3,570;3,4218;0,3109
3,570;4,1380;0,2867
