time;agentId;headwayDistance;headwayVelocity
0,2600;38;0,4624;0,0455
0,2600;37;0,7841;0,0160
0,2600;36;0,4572;0,1641
0,2600;35;0,6388;0,0075
0,2600;34;0,4069;0,0630
0,2600;33;0,4090;0,0630
0,2600;32;0,4034;0,0620
0,2600;31;0,3579;0,1020
0,2600;30;0,5204;0,1975
0,2600;29;0,2492;0,0098
0,2600;28;0,4034;0,0075
0,2600;27;0,4349;0,0830
0,2600;26;0,3280;0,0098
0,2600;25;0,3745;0,0026
0,2600;23;0,4233;0,1067
0,2600;22;0,2492;0,0630
0,2600;21;0,2870;0,0026
0,2600;20;0,3838;0,0038
0,2600;19;0,2870;0,0316
0,2600;18;0,4851;0,2408
0,2600;17;0,4122;0,0620
0,2600;16;0,3698;0,0566
0,2600;15;0,3838;0,1536
0,2600;14;0,3137;0,0427
0,2600;13;0,4233;0,2408
0,2600;11;0,3144;0,0026
0,2600;10;0,3137;0,0102
0,2600;9;0,4624;0,0988
0,2600;8;0,4112;0,0417
0,2600;7;0,3770;0,1000
0,2600;6;0,4393;0,0862
0,2600;5;0,4696;0,0372
0,2600;4;0,4275;0,1229
0,2600;3;0,4457;0,0862
0,2600;2;0,4360;0,0417
0,2600;1;0,3770;0,1229
0,2600;0;0,4112;0,1253
0,5200;38;0,4707;0,1311
0,5200;37;0,7954;0,0351
0,5200;36;0,4140;0,3085
0,5200;35;0,6552;0,0979
0,5200;34;0,3984;0,2121
0,5200;33;0,4140;0,7707
0,5200;32;0,3680;0,1390
0,5200;31;0,3626;0,2256
0,5200;30;0,5361;0,2268
0,5200;29;0,2605;0,1177
0,5200;28;0,3680;0,0979
0,5200;27;0,4143;0,2355
0,5200;26;0,3487;0,1177
0,5200;25;0,3752;0,1520
0,5200;23;0,4370;0,1390
0,5200;22;0,2605;0,2121
0,5200;21;0,2984;0,1520
0,5200;20;0,3717;0,1385
0,5200;19;0,2969;0,1697
0,5200;18;0,5024;0,2035
0,5200;17;0,4167;0,3997
0,5200;16;0,3816;0,2493
0,5200;15;0,3717;0,2414
0,5200;14;0,2921;0,1119
0,5200;13;0,4258;0,1073
0,5200;11;0,2969;0,1520
0,5200;10;0,2921;0,1346
0,5200;9;0,4707;0,1754
0,5200;8;0,4167;0,1073
0,5200;7;0,3697;0,2128
0,5200;6;0,4497;0,1697
0,5200;5;0,5132;0,2395
0,5200;4;0,4524;0,2737
0,5200;3;0,4750;0,1697
0,5200;2;0,3940;0,1430
0,5200;1;0,3697;0,2737
0,5200;0;0,3940;0,2395
0,7800;40;0,4197;0,3201
0,7800;39;0,4884;0,3714
0,7800;38;0,4783;0,3714
0,7800;37;0,4197;0,8929
0,7800;36;0,4732;0,6404
0,7800;35;0,5991;0,2929
0,7800;34;0,4212;0,3336
0,7800;33;0,4384;0,6354
0,7800;32;0,3273;0,3074
0,7800;31;0,3749;0,4669
0,7800;30;0,4732;0,8929
0,7800;29;0,2953;0,1624
0,7800;28;0,3273;0,2199
0,7800;27;0,4472;0,3060
0,7800;26;0,3663;0,1624
0,7800;25;0,4309;0,2978
0,7800;23;0,4277;0,3074
0,7800;22;0,2953;0,3336
0,7800;21;0,3162;0,2978
0,7800;20;0,3194;0,2990
0,7800;19;0,3080;0,2888
0,7800;18;0,5031;0,2929
0,7800;17;0,4040;0,3435
0,7800;16;0,3521;0,5059
0,7800;15;0,3194;0,2185
0,7800;14;0,3101;0,1720
0,7800;13;0,4040;0,4641
0,7800;12;0,3521;0,3060
0,7800;11;0,3080;0,2978
0,7800;10;0,3101;0,3581
0,7800;9;0,4783;0,4088
0,7800;8;0,4557;0,4641
0,7800;7;0,3937;0,4533
0,7800;6;0,4399;0,2888
0,7800;5;0,5215;0,4375
0,7800;4;0,4440;0,1720
0,7800;3;0,5197;0,1720
0,7800;2;0,3820;0,3161
0,7800;1;0,3937;0,3484
0,7800;0;0,3820;0,4375
1,0400;43;0,7279;0,5141
1,0400;42;0,3406;0,4271
1,0400;41;0,3470;0,4385
1,0400;40;0,3487;1,0077
1,0400;39;0,5130;0,6441
1,0400;38;0,3837;0,6441
1,0400;37;0,3487;0,7796
1,0400;36;0,5675;1,0904
1,0400;35;0,5213;0,4942
1,0400;34;0,3934;1,0904
1,0400;33;0,3934;0,7545
1,0400;32;0,3305;0,4988
1,0400;31;0,3940;0,5229
1,0400;30;0,4160;0,7796
1,0400;29;0,3638;0,1976
1,0400;28;0,3305;0,4959
1,0400;27;0,5808;0,2888
1,0400;26;0,3849;0,5457
1,0400;25;0,4346;0,5211
1,0400;23;0,4540;0,4959
1,0400;22;0,3638;0,5457
1,0400;21;0,3227;0,5211
1,0400;20;0,3229;0,4804
1,0400;19;0,3227;0,5863
1,0400;18;0,4214;0,4942
1,0400;17;0,3465;0,4988
1,0400;16;0,3204;0,5141
1,0400;15;0,3229;0,3826
1,0400;14;0,3358;0,3975
1,0400;13;0,3910;0,4872
1,0400;12;0,3204;0,2888
1,0400;11;0,3582;0,5211
1,0400;10;0,3358;0,4516
1,0400;9;0,3837;0,4356
1,0400;8;0,4868;0,3648
1,0400;7;0,3808;0,4271
1,0400;6;0,4384;0,3387
1,0400;5;0,4917;0,5966
1,0400;4;0,3470;0,5736
1,0400;3;0,4601;0,4385
1,0400;2;0,4086;0,6329
1,0400;1;0,3406;0,7991
1,0400;0;0,4087;0,5966
1,3000;45;0,3089;0,4482
1,3000;44;0,3822;0,5625
1,3000;43;0,6880;0,3656
1,3000;42;0,2668;0,3787
1,3000;41;0,3286;0,4812
1,3000;40;0,3376;0,3634
1,3000;39;0,5086;0,5761
1,3000;38;0,3148;0,5761
1,3000;37;0,3682;0,4852
1,3000;35;0,4588;0,6186
1,3000;34;0,3271;1,1518
1,3000;33;0,3271;0,8966
1,3000;32;0,3799;0,6862
1,3000;31;0,4395;0,4249
1,3000;30;0,3376;0,4852
1,3000;29;0,3314;0,4249
1,3000;28;0,3505;0,4169
1,3000;27;0,5953;0,5777
1,3000;26;0,3314;0,7664
1,3000;25;0,3751;0,5470
1,3000;24;0,6541;0,3656
1,3000;23;0,4789;0,3634
1,3000;22;0,3395;0,5158
1,3000;21;0,3276;0,5614
1,3000;20;0,3516;0,6862
1,3000;19;0,3276;0,5470
1,3000;18;0,4746;0,3634
1,3000;17;0,3505;0,6862
1,3000;16;0,3019;0,3656
1,3000;15;0,3741;0,4672
1,3000;14;0,3385;0,5236
1,3000;13;0,3536;0,4169
1,3000;12;0,3019;0,3313
1,3000;11;0,4166;0,5614
1,3000;10;0,3385;0,5158
1,3000;9;0,3148;0,4937
1,3000;8;0,4509;0,4169
1,3000;7;0,3566;0,3787
1,3000;6;0,4166;0,4787
1,3000;5;0,5053;0,6182
1,3000;4;0,3286;0,7731
1,3000;3;0,3822;0,4787
1,3000;2;0,3960;0,4482
1,3000;1;0,2668;0,4088
1,3000;0;0,3089;0,6797
1,5600;47;0,4055;0,5335
1,5600;46;0,2946;0,4307
1,5600;45;0,2999;0,5813
1,5600;44;0,3758;0,7032
1,5600;43;0,6154;0,3477
1,5600;42;0,2674;0,6312
1,5600;41;0,3059;0,3754
1,5600;40;0,3052;0,3041
1,5600;39;0,2946;0,5782
1,5600;38;0,3770;0,5335
1,5600;37;0,3523;0,1380
1,5600;35;0,4851;0,4379
1,5600;34;0,3007;1,0386
1,5600;33;0,3007;1,3272
1,5600;32;0,3723;0,5286
1,5600;31;0,4617;0,5858
1,5600;30;0,3052;0,1380
1,5600;29;0,3676;0,4800
1,5600;28;0,3074;0,4983
1,5600;27;0,5843;0,7003
1,5600;26;0,3676;0,7667
1,5600;25;0,3136;0,6894
1,5600;24;0,5763;0,3477
1,5600;23;0,4761;0,5286
1,5600;22;0,3402;0,4409
1,5600;21;0,3136;0,7003
1,5600;20;0,3074;0,5286
1,5600;19;0,3291;0,5742
1,5600;18;0,4482;0,4610
1,5600;17;0,2936;0,4610
1,5600;16;0,2698;0,3477
1,5600;15;0,3382;0,4983
1,5600;14;0,3374;0,5742
1,5600;13;0,2936;0,2854
1,5600;12;0,2698;0,6252
1,5600;11;0,4319;0,2598
1,5600;10;0,3291;0,5354
1,5600;9;0,3770;0,4212
1,5600;8;0,3811;0,2854
