time;density;specific_flow
0,120;1,2732;0,1171
0,240;1,2732;0,3411
0,360;1,2732;0,6397
0,480;1,2732;0,9544
0,600;2,5465;1,6185
0,720;2,5465;1,9087
0,840;2,5465;2,5273
0,960;3,8197;3,8904
1,080;2,5465;2,3601
1,180;3,8197;3,1278
1,300;3,8197;3,5163
1,420;5,0930;4,6297
1,520;5,0930;4,7671
1,640;5,0930;4,0874
1,740;3,8197;2,6799
1,860;3,8197;3,1898
1,960;3,8197;3,2961
2,080;3,8197;3,6009
2,200;5,0930;4,9493
2,320;6,3662;5,0431
2,440;6,3662;4,8691
2,560;7,6394;5,0969
2,660;6,3662;3,5988
2,780;7,6394;4,3418
2,900;7,6394;4,1894
3,000;6,3662;3,2376
3,120;7,6394;3,0929
3,240;8,9127;3,4666
3,360;8,9127;4,3336
3,460;8,9127;4,5939
3,580;7,6394;3,1804
3,700;7,6394;3,6243
3,800;6,3662;2,6849
3,920;6,3662;2,7170
4,040;5,0930;1,7793
4,160;5,0930;2,0849
4,280;5,0930;1,4115
4,380;5,0930;1,9191
4,500;5,0930;2,7996
4,620;5,0930;2,1190
4,740;5,0930;2,1964
4,860;5,0930;4,4662
4,980;6,3662;3,3221
5,100;7,6394;3,6675
5,200;7,6394;6,6824
5,320;7,6394;3,5441
5,440;7,6394;3,9828
5,560;6,3662;2,8526
5,680;5,0930;1,6637
5,800;6,3662;2,7248
5,920;6,3662;3,9230
6,020;6,3662;3,1076
6,140;6,3662;3,3514
6,260;7,6394;3,2074
6,380;7,6394;3,9597
6,500;7,6394;3,0192
6,620;7,6394;3,3567
6,740;7,6394;2,9698
6,840;7,6394;4,5795
6,960;7,6394;3,0862
7,080;7,6394;5,5314
7,200;7,6394;3,8525
7,320;7,6394;4,1952
7,440;6,3662;2,8945
7,560;7,6394;3,4229
7,680;7,6394;3,4963
7,800;6,3662;2,3828
7,920;5,0930;1,2466
8,020;5,0930;1,6051
8,140;5,0930;2,3408
8,260;6,3662;3,4876
8,380;7,6394;3,7170
8,500;6,3662;2,4488
8,620;7,6394;3,4647
8,740;6,3662;2,9985
8,840;7,6394;3,0499
8,960;7,6394;3,4531
9,080;6,3662;2,5364
9,200;6,3662;2,8311
9,320;6,3662;3,2147
9,440;6,3662;3,4275
9,560;5,0930;2,3880
9,660;7,6394;3,2980
9,780;6,3662;3,0645
9,900;6,3662;3,3498
10,020;6,3662;2,9353
10,140;6,3662;3,5018
10,260;6,3662;3,1133
10,360;5,0930;2,1997
10,480;5,0930;2,3526
10,600;3,8197;1,5683
10,720;3,8197;1,6762
10,840;5,0930;2,5146
10,960;5,0930;2,7202
11,080;5,0930;2,9258
11,180;5,0930;3,4980
11,300;2,5465;1,3873
11,420;3,8197;2,1515
11,540;3,8197;2,2681
11,660;5,0930;2,9921
11,780;6,3662;3,1617
11,900;7,6394;3,6985
12,000;7,6394;3,5796
12,120;7,6394;2,5976
12,240;7,6394;2,9728
12,360;7,6394;3,1753
12,480;7,6394;3,1972
12,600;7,6394;2,9269
12,720;6,3662;2,3277
12,820;6,3662;3,1504
12,940;5,0930;2,0625
13,060;6,3662;2,8026
13,180;7,6394;3,2462
13,300;7,6394;3,0599
13,420;8,9127;3,4299
13,540;10,1859;4,3768
13,640;8,9127;2,7685
13,760;8,9127;3,2628
13,880;8,9127;2,9085
14,000;7,6394;1,5606
14,120;8,9127;2,2462
14,240;10,1859;3,2991
14,340;8,9127;2,7464
14,460;8,9127;3,2557
14,580;8,9127;4,0773
14,700;10,1859;4,8448
