metric;value
model_type;Ghost
scenario_id;NarrowDoor
run_id;LC_001
total_agents;93
rset_100s;36,270
rset_95s;33,460
rset_90s;30,820
rset_50s;16,160
mean_speed_ms;0,2475
std_speed_ms;0,1756
max_speed_ms;2,5671
mean_exit_density_pm2;5,7629
peak_exit_density_pm2;10,1859
mean_global_density_pm2;2,5076
specific_flow_mean_pms;2,6089
specific_flow_peak_pms;9,0141
throughput_ps;2,5641
throughput_ExitZone_ps;2,5641
collisions_agent_agent;0
collisions_agent_wall;0
mean_headway_m;0,3391
min_headway_m;0,1515
std_headway_m;0,0713
