time;agentId;exitId
1,0400;36;ExitZone
1,5900;33;ExitZone
1,7200;34;ExitZone
2,2300;31;ExitZone
2,2500;29;ExitZone
2,5600;26;ExitZone
2,9600;32;ExitZone
3,0900;21;ExitZone
3,5200;28;ExitZone
3,7200;22;ExitZone
3,9900;35;ExitZone
4,2000;25;ExitZone
4,5900;20;ExitZone
5,2300;14;ExitZone
5,4600;19;ExitZone
5,6000;15;ExitZone
6,0000;17;ExitZone
6,4200;10;ExitZone
6,4700;23;ExitZone
6,8600;7;ExitZone
7,3900;8;ExitZone
7,7600;13;ExitZone
7,8600;11;ExitZone
8,4300;1;ExitZone
8,6300;4;ExitZone
8,9900;2;ExitZone
9,4700;41;ExitZone
9,6500;37;ExitZone
9,9500;27;ExitZone
10,3100;18;ExitZone
10,5600;3;ExitZone
11,2200;6;ExitZone
11,2700;0;ExitZone
11,6800;42;ExitZone
12,0700;5;ExitZone
12,5900;24;ExitZone
12,8500;45;ExitZone
13,2800;9;ExitZone
13,6000;48;ExitZone
13,9500;50;ExitZone
14,2800;16;ExitZone
14,6900;56;ExitZone
14,9200;44;ExitZone
15,3900;30;ExitZone
15,7500;61;ExitZone
16,1600;62;ExitZone
16,7800;59;ExitZone
17,4400;66;ExitZone
17,5500;38;ExitZone
17,9700;57;ExitZone
18,2000;69;ExitZone
18,8200;12;ExitZone
18,8200;47;ExitZone
19,2700;60;ExitZone
19,6500;51;ExitZone
19,9500;40;ExitZone
20,3600;75;ExitZone
20,6000;39;ExitZone
21,0700;54;ExitZone
21,2900;63;ExitZone
21,6400;43;ExitZone
22,1700;52;ExitZone
22,2400;46;ExitZone
22,8600;65;ExitZone
23,3800;83;ExitZone
24,0000;49;ExitZone
24,1500;53;ExitZone
24,7600;58;ExitZone
24,8300;55;ExitZone
25,4900;68;ExitZone
25,5100;71;ExitZone
26,1200;77;ExitZone
26,5500;64;ExitZone
27,1600;78;ExitZone
27,2200;76;ExitZone
27,9000;79;ExitZone
28,4800;67;ExitZone
28,8100;85;ExitZone
29,3400;84;ExitZone
29,8800;70;ExitZone
30,0400;73;ExitZone
30,7800;74;ExitZone
30,8200;72;ExitZone
31,5500;82;ExitZone
31,8900;81;ExitZone
32,6000;88;ExitZone
33,4400;91;ExitZone
33,4600;86;ExitZone
33,8600;89;ExitZone
34,6900;87;ExitZone
35,1600;92;ExitZone
35,6500;90;ExitZone
36,2700;80;ExitZone
