agentId;time;posX;posZ;speed
26;0,1200;-0,1120;0,3304;0,4773
29;0,1200;0,3193;0,1505;0,7074
31;0,1200;-0,3804;0,1121;0,0637
33;0,1200;0,0665;-0,1305;0,0471
34;0,1200;0,5048;-0,1540;0,0624
36;0,1200;-0,3405;-0,4165;0,0789
26;0,2400;-0,1121;0,3213;0,0764
29;0,2400;0,3212;0,1406;0,0839
31;0,2400;-0,3831;0,0795;0,2725
33;0,2400;0,0646;-0,1582;0,2316
34;0,2400;0,5008;-0,1800;0,2189
36;0,2400;-0,3270;-0,4521;0,3173
26;0,3600;-0,1118;0,3007;0,1711
29;0,3600;0,3295;0,1232;0,1607
31;0,3600;-0,3913;0,0184;0,5137
33;0,3600;0,0547;-0,2161;0,4893
34;0,3600;0,4943;-0,2212;0,3478
36;0,3600;-0,2985;-0,5153;0,5777
26;0,4800;-0,1116;0,2735;0,2268
29;0,4800;0,3445;0,1009;0,2240
31;0,4800;-0,3983;-0,0499;0,5722
33;0,4800;0,0424;-0,3031;0,7323
34;0,4800;0,4842;-0,2789;0,4881
36;0,4800;-0,2573;-0,6085;0,8498
26;0,6000;-0,1125;0,2473;0,2182
29;0,6000;0,3652;0,0700;0,3097
31;0,6000;-0,4060;-0,1134;0,5331
33;0,6000;0,0363;-0,4102;0,8941
34;0,6000;0,4729;-0,3431;0,5437
36;0,6000;-0,1926;-0,7243;1,1056
26;0,7200;-0,1163;0,2217;0,2164
20;0,7200;-0,4737;0,3917;0,2343
29;0,7200;0,3799;0,0448;0,2436
31;0,7200;-0,4138;-0,1970;0,6997
33;0,7200;0,0504;-0,4744;0,5477
34;0,7200;0,4608;-0,4029;0,5081
36;0,7200;-0,1145;-0,8660;1,3480
26;0,8400;-0,1232;0,1913;0,2591
20;0,8400;-0,4677;0,3505;0,3470
29;0,8400;0,3949;0,0091;0,3225
31;0,8400;-0,4140;-0,2843;0,7276
33;0,8400;0,0553;-0,5517;0,6452
34;0,8400;0,4505;-0,4612;0,4936
36;0,8400;-0,0611;-1,0417;1,5304
26;0,9600;-0,1335;0,1427;0,4145
20;0,9600;-0,4693;0,3024;0,4016
29;0,9600;0,4136;-0,0421;0,4541
31;0,9600;-0,3901;-0,3771;0,7981
32;0,9600;-0,7133;-0,4399;0,5568
33;0,9600;0,0588;-0,6566;0,8751
34;0,9600;0,4468;-0,5097;0,4052
22;0,9600;0,2297;0,3774;0,0646
26;1,0800;-0,1413;0,0761;0,5588
20;1,0800;-0,4785;0,2469;0,4685
29;1,0800;0,4312;-0,0870;0,4018
31;1,0800;-0,3371;-0,4902;1,0407
32;1,0800;-0,6749;-0,5272;0,7950
33;1,0800;0,0631;-0,7872;1,0893
34;1,0800;0,4459;-0,5470;0,3107
22;1,0800;0,2391;0,3120;0,5504
26;1,1800;-0,1377;0,0023;0,7391
28;1,1800;-0,7489;-0,1341;0,4261
20;1,1800;-0,4858;0,1940;0,5346
29;1,1800;0,4445;-0,1288;0,4390
31;1,1800;-0,2874;-0,5945;1,1558
32;1,1800;-0,6308;-0,6055;0,8990
33;1,1800;0,0666;-0,9176;1,3041
34;1,1800;0,4452;-0,5648;0,1779
22;1,1800;0,2449;0,2590;0,5330
26;1,3000;-0,1236;-0,0985;0,8475
28;1,3000;-0,6992;-0,2057;0,7262
20;1,3000;-0,4950;0,1297;0,5407
29;1,3000;0,4546;-0,1794;0,4299
31;1,3000;-0,2232;-0,7251;1,2131
32;1,3000;-0,5607;-0,7071;1,0281
33;1,3000;0,0630;-1,0917;1,4508
34;1,3000;0,4399;-0,5885;0,2022
22;1,3000;0,2458;0,1947;0,5357
21;1,4200;0,7470;0,0549;0,3130
26;1,4200;-0,1183;-0,1875;0,7431
28;1,4200;-0,6467;-0,2796;0,7550
20;1,4200;-0,4998;0,0770;0,4413
29;1,4200;0,4554;-0,2243;0,3741
31;1,4200;-0,1596;-0,8740;1,3494
32;1,4200;-0,4823;-0,8022;1,0273
34;1,4200;0,4211;-0,6253;0,3450
22;1,4200;0,2457;0,1377;0,4755
21;1,5200;0,7425;0,0248;0,3043
26;1,5200;-0,1120;-0,2693;0,8207
28;1,5200;-0,5948;-0,3465;0,8473
20;1,5200;-0,5000;0,0376;0,3940
29;1,5200;0,4505;-0,2598;0,3580
31;1,5200;-0,0917;-1,0126;1,5432
32;1,5200;-0,4439;-0,8633;0,7220
34;1,5200;0,3860;-0,6731;0,5930
22;1,5200;0,2477;0,0907;0,4707
15;1,5200;-0,0745;0,3792;0,2813
21;1,6400;0,7359;-0,0092;0,2889
26;1,6400;-0,0966;-0,3883;1,0001
28;1,6400;-0,5251;-0,4315;0,9159
20;1,6400;-0,4946;-0,0159;0,4477
29;1,6400;0,4398;-0,2958;0,3134
32;1,6400;-0,3725;-0,9244;0,7831
34;1,6400;0,3241;-0,7526;0,8396
22;1,6400;0,2507;0,0242;0,5545
14;1,6400;0,5803;0,3568;0,2566
15;1,6400;-0,0812;0,3233;0,4685
21;1,7400;0,7297;-0,0354;0,2691
26;1,7400;-0,0683;-0,4934;1,0889
28;1,7400;-0,4758;-0,5015;0,8563
20;1,7400;-0,4875;-0,0598;0,4450
29;1,7400;0,4245;-0,3386;0,4546
32;1,7400;-0,3016;-0,9307;0,7113
34;1,7400;0,2639;-0,8355;1,0244
22;1,7400;0,2505;-0,0345;0,5872
14;1,7400;0,5832;0,3116;0,4535
15;1,7400;-0,0878;0,2731;0,5068
21;1,8600;0,7218;-0,0697;0,2936
26;1,8600;-0,0149;-0,6249;1,1824
28;1,8600;-0,4247;-0,5894;0,8478
20;1,8600;-0,4714;-0,1127;0,4605
29;1,8600;0,4027;-0,3989;0,5342
32;1,8600;-0,2299;-0,9681;0,6740
34;1,8600;0,1909;-0,9567;1,1791
22;1,8600;0,2427;-0,1052;0,5927
14;1,8600;0,5845;0,2652;0,3867
15;1,8600;-0,0962;0,1996;0,6168
21;1,9600;0,7136;-0,1007;0,3205
26;1,9600;-0,0022;-0,6794;0,5592
28;1,9600;-0,3886;-0,6446;0,6590
20;1,9600;-0,4529;-0,1618;0,5256
29;1,9600;0,3869;-0,4386;0,4269
32;1,9600;-0,2007;-1,0161;0,5616
34;1,9600;0,1567;-1,0814;1,2933
22;1,9600;0,2248;-0,1470;0,4543
14;1,9600;0,5846;0,2325;0,3273
15;1,9600;-0,1055;0,1325;0,6766
21;2,0800;0,7012;-0,1389;0,3340
26;2,0800;0,0094;-0,7263;0,4026
28;2,0800;-0,3567;-0,6954;0,4995
20;2,0800;-0,4308;-0,2252;0,5586
29;2,0800;0,3741;-0,4766;0,3341
32;2,0800;-0,1734;-1,0648;0,4651
22;2,0800;0,2051;-0,1866;0,3684
14;2,0800;0,5835;0,1944;0,3175
15;2,0800;-0,1113;0,0662;0,5545
21;2,2000;0,6870;-0,1738;0,3144
26;2,2000;0,0278;-0,7782;0,4591
28;2,2000;-0,3384;-0,7422;0,4187
20;2,2000;-0,4161;-0,2809;0,4807
29;2,2000;0,3604;-0,5167;0,3530
35;2,2000;-0,7257;-0,6575;0,4350
22;2,2000;0,1866;-0,2256;0,3596
14;2,2000;0,5812;0,1712;0,1940
15;2,2000;-0,1147;0,0025;0,5322
21;2,3200;0,6684;-0,2097;0,3373
26;2,3200;0,0517;-0,8596;0,7071
28;2,3200;-0,3113;-0,8095;0,6050
20;2,3200;-0,4063;-0,3289;0,4080
29;2,3200;0,3441;-0,5669;0,4405
35;2,3200;-0,6835;-0,6765;0,3862
22;2,3200;0,1722;-0,2600;0,3111
14;2,3200;0,5786;0,1608;0,0897
15;2,3200;-0,1227;-0,0529;0,4664
21;2,4400;0,6373;-0,2374;0,3467
26;2,4400;0,0752;-0,9710;0,9486
28;2,4400;-0,2836;-0,8914;0,7201
20;2,4400;-0,4001;-0,3700;0,3461
29;2,4400;0,3219;-0,6284;0,5450
35;2,4400;-0,6368;-0,6968;0,4244
22;2,4400;0,1587;-0,2957;0,3181
17;2,4400;-0,7321;0,0781;0,2740
14;2,4400;0,5709;0,1430;0,1612
15;2,4400;-0,1349;-0,1033;0,4319
21;2,5600;0,5944;-0,2634;0,4181
28;2,5600;-0,2404;-0,9460;0,5803
20;2,5600;-0,3907;-0,4153;0,3860
29;2,5600;0,3018;-0,6819;0,4757
35;2,5600;-0,5857;-0,7154;0,4531
22;2,5600;0,1446;-0,3356;0,3526
17;2,5600;-0,6989;0,0437;0,3986
7;2,5600;0,0403;0,3652;0,3186
14;2,5600;0,5594;0,1189;0,2229
15;2,5600;-0,1486;-0,1571;0,4625
21;2,6600;0,5518;-0,2851;0,4786
25;2,6600;0,7158;-0,6383;0,4350
28;2,6600;-0,1983;-0,9852;0,5759
20;2,6600;-0,3652;-0,4356;0,3261
29;2,6600;0,2834;-0,7308;0,5226
35;2,6600;-0,5499;-0,7428;0,4511
22;2,6600;0,1318;-0,3776;0,4392
17;2,6600;-0,6736;0,0114;0,4108
7;2,6600;0,0256;0,3212;0,4643
8;2,6600;-0,5261;0,3949;0,3014
14;2,6600;0,5474;0,0949;0,2686
15;2,6600;-0,1500;-0,1884;0,3134
21;2,7800;0,4903;-0,3194;0,5865
25;2,7800;0,6555;-0,6768;0,5959
28;2,7800;-0,1621;-1,0631;0,7158
20;2,7800;-0,3307;-0,4613;0,3586
29;2,7800;0,2489;-0,8156;0,7627
35;2,7800;-0,5120;-0,7715;0,3954
22;2,7800;0,1221;-0,4210;0,3704
17;2,7800;-0,6454;-0,0279;0,4027
7;2,7800;0,0099;0,2696;0,4493
8;2,7800;-0,4935;0,3644;0,3718
14;2,7800;0,5312;0,0661;0,2748
15;2,7800;-0,1363;-0,1956;0,1287
21;2,9000;0,4419;-0,3500;0,4771
25;2,9000;0,5973;-0,7139;0,5750
20;2,9000;-0,2957;-0,4848;0,3509
29;2,9000;0,2164;-0,9251;0,9519
35;2,9000;-0,4716;-0,7987;0,4057
22;2,9000;0,1155;-0,4559;0,2961
17;2,9000;-0,6188;-0,0710;0,4220
7;2,9000;0,0000;0,2304;0,3365
8;2,9000;-0,4570;0,3343;0,3941
14;2,9000;0,5172;0,0420;0,2324
15;2,9000;-0,1201;-0,2058;0,1597
21;3,0000;0,4344;-0,3617;0,1392
25;3,0000;0,5565;-0,7450;0,5139
20;3,0000;-0,2755;-0,4987;0,2460
29;3,0000;0,1917;-1,0386;1,1622
35;3,0000;-0,4244;-0,8291;0,5614
22;3,0000;0,1010;-0,4999;0,4630
17;3,0000;-0,5971;-0,1118;0,4626
7;3,0000;-0,0063;0,2031;0,2809
8;3,0000;-0,4315;0,3094;0,3571
14;3,0000;0,5029;0,0153;0,3030
15;3,0000;-0,1113;-0,2112;0,1036
21;3,1200;0,4122;-0,3820;0,2506
25;3,1200;0,5022;-0,7863;0,5681
20;3,1200;-0,2634;-0,5187;0,1942
35;3,1200;-0,3568;-0,8857;0,7354
22;3,1200;0,0800;-0,5652;0,5720
17;3,1200;-0,5678;-0,1731;0,5657
7;3,1200;-0,0130;0,1755;0,2366
8;3,1200;-0,4151;0,2868;0,2318
10;3,1200;0,6360;0,3801;0,1942
14;3,1200;0,4867;-0,0205;0,3274
15;3,1200;-0,1081;-0,2114;0,0263
21;3,2400;0,3875;-0,4081;0,2990
25;3,2400;0,4211;-0,8402;0,8115
20;3,2400;-0,2665;-0,5483;0,2484
35;3,2400;-0,2812;-0,9162;0,6793
22;3,2400;0,0574;-0,6551;0,7720
17;3,2400;-0,5422;-0,2355;0,5626
7;3,2400;-0,0171;0,1514;0,2037
8;3,2400;-0,4171;0,2677;0,1603
10;3,2400;0,6296;0,3490;0,2645
14;3,2400;0,4688;-0,0602;0,3633
15;3,2400;-0,1073;-0,2165;0,0438
21;3,3600;0,3626;-0,4367;0,3167
25;3,3600;0,3599;-0,9021;0,7247
20;3,3600;-0,2708;-0,5746;0,2222
35;3,3600;-0,2281;-0,9582;0,5640
30;3,3600;-0,7087;-0,6707;0,4566
22;3,3600;0,0399;-0,7189;0,5518
17;3,3600;-0,5255;-0,2781;0,3810
7;3,3600;-0,0192;0,1328;0,1558
8;3,3600;-0,4213;0,2423;0,2143
10;3,3600;0,6282;0,3003;0,4062
14;3,3600;0,4554;-0,0925;0,2905
15;3,3600;-0,1079;-0,2274;0,0907
21;3,4600;0,3422;-0,4681;0,3746
25;3,4600;0,3656;-0,8993;0,0623
20;3,4600;-0,2753;-0,5858;0,1207
35;3,4600;-0,1776;-1,0050;0,6883
30;3,4600;-0,6699;-0,6837;0,4098
22;3,4600;0,0413;-0,7103;0,0877
17;3,4600;-0,5176;-0,2994;0,2270
7;3,4600;-0,0177;0,1238;0,0911
8;3,4600;-0,4245;0,2153;0,2724
10;3,4600;0,6300;0,2531;0,4723
14;3,4600;0,4423;-0,1266;0,3662
15;3,4600;-0,1071;-0,2448;0,1743
21;3,5800;0,3221;-0,5131;0,4103
25;3,5800;0,3640;-0,8987;0,0140
20;3,5800;-0,2840;-0,5976;0,1215
35;3,5800;-0,1467;-1,0926;0,7739
30;3,5800;-0,6228;-0,7007;0,4171
19;3,5800;0,7495;-0,3571;0,2928
22;3,5800;0,0318;-0,7228;0,1309
17;3,5800;-0,5110;-0,3190;0,1729
7;3,5800;-0,0146;0,1016;0,1868
8;3,5800;-0,4274;0,1882;0,2273
10;3,5800;0,6287;0,1947;0,4865
14;3,5800;0,4247;-0,1671;0,3677
15;3,5800;-0,1026;-0,2759;0,2620
21;3,7000;0,3086;-0,5364;0,2244
25;3,7000;0,3654;-0,9006;0,0198
20;3,7000;-0,2846;-0,6007;0,0265
30;3,7000;-0,6111;-0,7251;0,2254
19;3,7000;0,7168;-0,3822;0,3431
22;3,7000;0,0170;-0,7578;0,3170
17;3,7000;-0,5096;-0,3296;0,0885
7;3,7000;-0,0121;0,0738;0,2328
8;3,7000;-0,4324;0,1559;0,2719
10;3,7000;0,6268;0,1430;0,4311
14;3,7000;0,4014;-0,2071;0,3855
15;3,7000;-0,0951;-0,3135;0,3189
21;3,8000;0,3018;-0,5380;0,0696
25;3,8000;0,3667;-0,9002;0,0138
20;3,8000;-0,2808;-0,6048;0,0563
30;3,8000;-0,5991;-0,7495;0,2721
19;3,8000;0,6996;-0,3990;0,2406
22;3,8000;0,0009;-0,8087;0,5336
17;3,8000;-0,5084;-0,3334;0,0406
7;3,8000;-0,0104;0,0511;0,2281
8;3,8000;-0,4358;0,1294;0,2675
10;3,8000;0,6270;0,1049;0,3814
14;3,8000;0,3941;-0,2068;0,0732
15;3,8000;-0,0860;-0,3393;0,2735
21;3,9200;0,2988;-0,5366;0,0275
25;3,9200;0,3654;-0,8990;0,0150
20;3,9200;-0,2697;-0,6223;0,1722
30;3,9200;-0,5765;-0,7908;0,3924
19;3,9200;0,6865;-0,4110;0,1483
22;3,9200;-0,0125;-0,8987;0,7588
17;3,9200;-0,5060;-0,3399;0,0574
7;3,9200;-0,0089;0,0359;0,1270
8;3,9200;-0,4382;0,0952;0,2856
10;3,9200;0,6282;0,0625;0,3534
14;3,9200;0,3907;-0,2047;0,0336
15;3,9200;-0,0699;-0,3585;0,2089
21;4,0400;0,2959;-0,5371;0,0250
25;4,0400;0,3545;-0,8998;0,0915
20;4,0400;-0,2545;-0,6483;0,2510
30;4,0400;-0,5540;-0,8296;0,3733
19;4,0400;0,6746;-0,4209;0,1287
22;4,0400;-0,0152;-1,0206;1,0157
17;4,0400;-0,5036;-0,3468;0,0611
7;4,0400;-0,0062;0,0214;0,1226
8;4,0400;-0,4371;0,0682;0,2248
10;4,0400;0,6230;0,0529;0,0910
14;4,0400;0,3847;-0,2059;0,0511
15;4,0400;-0,0536;-0,3856;0,2640
41;4,0400;0,2388;0,3992;0,3640
21;4,1600;0,2928;-0,5357;0,0281
25;4,1600;0,3238;-0,9013;0,2564
20;4,1600;-0,2369;-0,6735;0,2562
30;4,1600;-0,5279;-0,8675;0,3838
19;4,1600;0,6611;-0,4314;0,1424
17;4,1600;-0,4999;-0,3565;0,0867
1;4,1600;-0,1719;0,3928;0,2680
7;4,1600;-0,0038;0,0111;0,0883
8;4,1600;-0,4351;0,0398;0,2375
10;4,1600;0,6177;0,0558;0,0503
14;4,1600;0,3806;-0,2043;0,0364
15;4,1600;-0,0386;-0,4076;0,2218
41;4,1600;0,2447;0,3545;0,3752
21;4,2800;0,2900;-0,5360;0,0237
25;4,2800;0,2790;-0,9086;0,3780
20;4,2800;-0,2092;-0,7108;0,3871
30;4,2800;-0,5006;-0,9038;0,3790
19;4,2800;0,6480;-0,4409;0,1350
17;4,2800;-0,4961;-0,3650;0,0771
1;4,2800;-0,1713;0,3797;0,1093
7;4,2800;0,0003;-0,0073;0,1570
8;4,2800;-0,4330;0,0322;0,0658
10;4,2800;0,6150;0,0584;0,0315
14;4,2800;0,3772;-0,2028;0,0311
15;4,2800;-0,0312;-0,4294;0,1914
41;4,2800;0,2496;0,3170;0,3152
21;4,3800;0,2892;-0,5369;0,0119
25;4,3800;0,2343;-0,9303;0,4971
20;4,3800;-0,1791;-0,7507;0,4995
30;4,3800;-0,4862;-0,9162;0,1890
19;4,3800;0,6388;-0,4471;0,1106
17;4,3800;-0,4909;-0,3757;0,1195
1;4,3800;-0,1722;0,3677;0,1201
7;4,3800;0,0036;-0,0300;0,2296
8;4,3800;-0,4323;0,0308;0,0159
10;4,3800;0,6127;0,0585;0,0231
14;4,3800;0,3742;-0,2023;0,0303
15;4,3800;-0,0299;-0,4478;0,1848
41;4,3800;0,2514;0,2954;0,2169
21;4,5000;0,2876;-0,5471;0,0865
25;4,5000;0,1798;-0,9826;0,6293
20;4,5000;-0,1482;-0,8188;0,6237
30;4,5000;-0,4842;-0,9155;0,0174
19;4,5000;0,6305;-0,4525;0,0829
17;4,5000;-0,4829;-0,3922;0,1530
1;4,5000;-0,1738;0,3525;0,1272
7;4,5000;0,0066;-0,0557;0,2158
8;4,5000;-0,4325;0,0258;0,0414
10;4,5000;0,6099;0,0587;0,0233
14;4,5000;0,3715;-0,2016;0,0228
15;4,5000;-0,0365;-0,4755;0,2369
41;4,5000;0,2515;0,2801;0,1281
21;4,6200;0,2859;-0,5582;0,0937
25;4,6200;0,1442;-1,0713;0,7963
20;4,6200;-0,1484;-0,8492;0,2535
30;4,6200;-0,4911;-0,9155;0,0574
19;4,6200;0,6280;-0,4537;0,0233
17;4,6200;-0,4709;-0,4151;0,2152
1;4,6200;-0,1755;0,3351;0,1456
7;4,6200;0,0078;-0,0685;0,1072
8;4,6200;-0,4336;0,0164;0,0791
10;4,6200;0,6070;0,0569;0,0284
14;4,6200;0,3682;-0,2035;0,0321
15;4,6200;-0,0445;-0,5045;0,2511
41;4,6200;0,2509;0,2708;0,0773
21;4,7400;0,2791;-0,5877;0,2521
27;4,7400;0,7433;-0,8093;0,3695
20;4,7400;-0,1374;-0,8968;0,4068
30;4,7400;-0,4889;-0,9151;0,0184
19;4,7400;0,6246;-0,4560;0,0341
17;4,7400;-0,4552;-0,4466;0,2926
1;4,7400;-0,1761;0,3288;0,0526
7;4,7400;0,0054;-0,0798;0,0958
8;4,7400;-0,4344;0,0026;0,1150
10;4,7400;0,6049;0,0554;0,0218
14;4,7400;0,3652;-0,2064;0,0351
15;4,7400;-0,0495;-0,5281;0,2010
41;4,7400;0,2492;0,2611;0,0821
