time;agentIdA;agentIdB;type
0,0000;2;89;Agent
0,0000;23;80;Agent
0,0000;47;85;Agent
0,0000;56;92;Agent
0,0000;83;85;Agent
0,1000;2;89;Agent
0,1200;2;89;Agent
0,1400;2;89;Agent
0,1600;2;89;Agent
0,1800;2;89;Agent
0,2000;2;89;Agent
0,2400;83;85;Agent
0,2600;83;85;Agent
0,2800;83;85;Agent
0,3000;83;85;Agent
0,3400;64;79;Agent
0,3600;64;79;Agent
0,3800;64;79;Agent
0,4000;64;79;Agent
0,4200;64;79;Agent
0,4400;64;79;Agent
0,4600;73;93;Agent
0,4800;47;65;Agent
0,4800;73;93;Agent
0,5000;47;65;Agent
0,5000;73;93;Agent
0,5200;47;65;Agent
0,5200;73;93;Agent
0,5400;47;65;Agent
0,5400;73;93;Agent
0,5600;47;65;Agent
0,5800;47;65;Agent
0,6000;47;65;Agent
0,6200;47;65;Agent
0,6400;4;78;Agent
0,6400;47;65;Agent
0,6600;3;50;Agent
0,6600;4;78;Agent
0,6800;2;89;Agent
0,6800;4;78;Agent
0,7000;2;89;Agent
0,7000;4;78;Agent
0,7000;41;-1;Wall
0,7200;4;78;Agent
0,7200;41;-1;Wall
0,7200;41;71;Agent
0,7400;4;78;Agent
0,7400;41;-1;Wall
0,7400;41;71;Agent
0,7400;59;90;Agent
0,7600;4;78;Agent
0,7600;41;-1;Wall
0,7600;41;71;Agent
0,7600;59;90;Agent
0,7800;1;58;Agent
0,7800;4;78;Agent
0,7800;59;90;Agent
0,8000;1;58;Agent
0,8000;4;78;Agent
0,8000;77;92;Agent
0,8200;4;78;Agent
0,8400;4;78;Agent
0,8600;4;78;Agent
0,8800;4;78;Agent
0,8800;51;57;Agent
0,8800;65;86;Agent
0,9000;51;57;Agent
0,9000;65;86;Agent
0,9200;51;57;Agent
0,9200;65;86;Agent
0,9400;4;9;Agent
0,9400;44;69;Agent
0,9400;65;86;Agent
0,9600;4;9;Agent
0,9600;44;69;Agent
0,9600;70;72;Agent
0,9800;4;9;Agent
0,9800;8;84;Agent
0,9800;44;69;Agent
0,9800;70;72;Agent
