time;evacuated_count
0,860;1
1,300;2
1,560;3
1,960;4
2,120;5
2,540;6
2,820;7
3,040;8
3,580;9
4,100;10
4,640;11
4,980;12
5,320;13
5,780;14
6,200;15
6,500;16
7,040;17
7,880;18
8,340;19
8,660;20
9,000;21
9,420;22
9,760;23
10,060;24
10,500;25
10,820;26
11,160;27
11,660;28
11,880;29
12,340;30
12,640;31
12,980;32
13,300;33
13,940;34
14,220;35
14,820;36
15,120;37
15,600;38
16,300;39
16,700;40
17,180;41
17,600;42
18,120;43
18,480;44
19,000;45
19,180;46
19,600;47
19,860;48
20,360;49
20,800;50
20,980;51
21,460;52
21,780;53
22,060;54
22,440;55
23,020;56
23,660;57
24,120;58
24,480;59
24,700;60
25,300;61
25,740;62
25,980;63
26,400;64
26,860;65
27,220;66
27,400;67
27,780;68
28,100;69
28,300;70
28,740;71
28,980;72
29,640;73
29,840;74
30,300;75
30,640;76
31,000;77
31,700;78
31,820;79
32,260;80
32,720;81
33,100;82
33,480;83
34,020;84
34,580;85
35,100;86
35,680;87
36,320;88
36,840;89
37,300;90
37,680;91
38,340;92
38,840;93
