time;density;speed
0,520;4,7746;0,2062
0,520;4,1380;0,2379
0,520;3,8197;0,2578
0,520;2,8648;0,3437
0,520;3,1831;0,3093
0,520;2,2282;0,4419
1,040;4,4563;0,2836
1,040;4,1380;0,2069
1,040;3,8197;0,2844
1,040;2,8648;0,4411
1,040;2,8648;0,3384
1,040;1,9099;0,5839
1,040;2,5465;0,3764
1,040;4,1380;0,1952
1,560;4,4563;0,2020
1,560;4,1380;0,4873
1,560;3,8197;0,4727
1,560;3,8197;0,3245
1,560;3,5014;0,4332
1,560;1,9099;0,8140
1,560;2,2282;0,7029
1,560;2,8648;0,6288
1,560;4,1380;0,3130
1,560;4,1380;0,1719
1,560;4,4563;0,2483
2,080;4,1380;0,1778
2,080;2,8648;0,3908
2,080;3,5014;0,2893
2,080;4,4563;0,2273
2,080;3,5014;0,3486
2,080;2,2282;0,3755
2,080;4,1380;0,2949
2,080;3,8197;0,1590
2,080;4,7746;0,2246
2,600;3,5014;0,2397
2,600;2,8648;0,1633
2,600;2,2282;0,3872
2,600;4,1380;0,2958
2,600;3,5014;0,3046
2,600;2,8648;0,3454
2,600;4,1380;0,3129
2,600;4,4563;0,1694
2,600;4,1380;0,1969
2,600;4,4563;0,1607
2,600;4,4563;0,2906
3,120;3,5014;0,2822
3,120;3,1831;0,2674
3,120;3,8197;0,3090
3,120;2,8648;0,3236
3,120;3,8197;0,3090
3,120;4,1380;0,1971
3,120;4,1380;0,1999
3,120;5,0930;0,1346
3,120;4,7746;0,0690
3,120;5,0930;0,1626
3,120;4,4563;0,2787
3,640;4,1380;0,2202
3,640;2,8648;0,2240
3,640;3,8197;0,1925
3,640;3,5014;0,1596
3,640;4,4563;0,1536
3,640;3,8197;0,1980
3,640;4,7746;0,1531
3,640;5,4113;0,1564
3,640;5,0930;0,1097
3,640;4,4563;0,1433
3,640;5,4113;0,1572
3,640;4,7746;0,2060
4,160;4,7746;0,1442
4,160;3,5014;0,1364
4,160;3,8197;0,1448
4,160;3,1831;0,1471
4,160;4,7746;0,0970
4,160;4,7746;0,1242
4,160;5,4113;0,0803
4,160;6,0479;0,1078
4,160;5,7296;0,1101
4,160;5,4113;0,0712
4,160;5,4113;0,1204
4,160;4,7746;0,1621
4,160;5,4113;0,0852
4,660;4,4563;0,0870
4,660;3,5014;0,1011
4,660;3,1831;0,1057
4,660;4,7746;0,0578
4,660;4,7746;0,0875
4,660;5,4113;0,0551
4,660;6,3662;0,0682
4,660;5,7296;0,0729
4,660;5,7296;0,0422
4,660;5,4113;0,0769
4,660;4,7746;0,0909
4,660;6,0479;0,0554
5,180;2,8648;0,2725
5,180;3,5014;0,1814
5,180;3,1831;0,2279
5,180;4,4563;0,1443
5,180;4,1380;0,1817
5,180;5,4113;0,0554
5,180;6,3662;0,1368
5,180;5,0930;0,0958
5,180;5,0930;0,0525
5,180;5,4113;0,1609
5,180;3,5014;0,2347
5,180;5,0930;0,0458
5,700;3,5014;0,2360
5,700;3,1831;0,2146
5,700;4,4563;0,1997
5,700;5,0930;0,1742
5,700;5,4113;0,0808
5,700;5,7296;0,0735
5,700;6,0479;0,1676
5,700;5,0930;0,1179
5,700;5,0930;0,1188
5,700;5,0930;0,1887
5,700;3,1831;0,2469
5,700;5,4113;0,0997
5,700;5,0930;0,0422
6,200;4,4563;0,1336
6,200;2,8648;0,2706
6,200;3,1831;0,2097
6,200;3,8197;0,2229
6,200;5,0930;0,1933
6,200;5,4113;0,1006
6,200;5,7296;0,0773
6,200;5,7296;0,1778
6,200;5,4113;0,1155
6,200;5,4113;0,1588
6,200;4,7746;0,2039
6,200;5,7296;0,1154
6,200;5,7296;0,0494
6,720;3,8197;0,1212
6,720;2,8648;0,2536
6,720;3,5014;0,2381
6,720;5,4113;0,1219
6,720;5,7296;0,0545
6,720;5,4113;0,1631
6,720;5,7296;0,1077
6,720;5,0930;0,1643
6,720;4,1380;0,2014
6,720;6,0479;0,1394
6,720;5,4113;0,0392
7,220;4,1380;0,0987
7,220;3,5014;0,0847
7,220;2,8648;0,1318
7,220;5,0930;0,0980
7,220;5,7296;0,0465
7,220;5,0930;0,1080
7,220;5,4113;0,0843
7,220;4,7746;0,1134
7,220;3,8197;0,1095
7,220;6,0479;0,0909
7,220;5,7296;0,0589
7,220;5,4113;0,0498
7,720;2,5465;0,1289
7,720;3,8197;0,0707
7,720;3,1831;0,1072
7,720;5,7296;0,0539
7,720;5,7296;0,0225
7,720;5,0930;0,0849
7,720;5,7296;0,0663
7,720;5,0930;0,0841
7,720;3,1831;0,1290
7,720;6,0479;0,0577
7,720;5,4113;0,0202
7,720;5,4113;0,0241
8,220;3,1831;0,2516
8,220;3,5014;0,1635
8,220;3,1831;0,2419
8,220;5,7296;0,1193
8,220;5,4113;0,0505
8,220;4,4563;0,1982
8,220;5,7296;0,1416
8,220;4,7746;0,1509
8,220;4,4563;0,1503
8,220;6,3662;0,1393
8,220;5,4113;0,0897
8,220;5,4113;0,0823
8,220;4,7746;0,0770
8,740;3,1831;0,1749
8,740;5,7296;0,1148
8,740;5,4113;0,0182
8,740;3,8197;0,1597
8,740;5,0930;0,1271
8,740;4,4563;0,1378
8,740;3,8197;0,1572
8,740;5,4113;0,1216
8,740;5,7296;0,0672
8,740;5,7296;0,0533
8,740;5,0930;0,0344
9,240;5,7296;0,1400
9,240;5,7296;0,0666
9,240;2,5465;0,2710
9,240;4,7746;0,1311
9,240;3,8197;0,1880
9,240;3,8197;0,1420
9,240;3,1831;0,1854
9,240;5,4113;0,1483
9,240;5,7296;0,0600
9,240;5,4113;0,0891
9,240;5,0930;0,0477
9,740;5,7296;0,1501
9,740;5,0930;0,1230
9,740;4,7746;0,1561
9,740;5,0930;0,0914
9,740;3,8197;0,2843
9,740;2,2282;0,4270
9,740;4,1380;0,2504
9,740;3,1831;0,3117
9,740;5,7296;0,2084
9,740;5,7296;0,1162
9,740;5,0930;0,1276
9,740;5,4113;0,1054
10,260;5,7296;0,1486
10,260;5,0930;0,1009
10,260;4,7746;0,1391
10,260;5,0930;0,0991
10,260;3,5014;0,1966
10,260;3,8197;0,2039
10,260;3,1831;0,2351
10,260;4,1380;0,2057
10,260;5,4113;0,0950
10,260;5,7296;0,1338
10,260;5,4113;0,0928
10,760;5,7296;0,1820
10,760;4,7746;0,1462
10,760;4,7746;0,1657
10,760;5,7296;0,1156
10,760;2,8648;0,2036
10,760;2,5465;0,2881
10,760;3,1831;0,1990
10,760;3,8197;0,2317
10,760;4,7746;0,1274
10,760;5,4113;0,1419
10,760;5,0930;0,1150
10,760;5,0930;0,0829
10,760;5,0930;0,0766
11,260;5,0930;0,0524
11,260;4,1380;0,1943
11,260;4,1380;0,1498
11,260;4,1380;0,1325
11,260;5,4113;0,1013
11,260;3,1831;0,2098
11,260;2,8648;0,2009
11,260;4,4563;0,1417
11,260;5,0930;0,1687
11,260;5,0930;0,1593
11,260;4,4563;0,0833
11,260;5,0930;0,1085
11,260;4,7746;0,0634
11,780;5,4113;0,0865
11,780;4,1380;0,1786
11,780;4,4563;0,1449
11,780;4,7746;0,1594
11,780;6,0479;0,1040
11,780;2,5465;0,1780
11,780;4,7746;0,1095
11,780;5,4113;0,1612
11,780;5,0930;0,1311
11,780;3,1831;0,1238
11,780;4,7746;0,1091
11,780;5,4113;0,1234
11,780;4,7746;0,0872
12,280;5,0930;0,1008
12,280;2,5465;0,3915
12,280;3,8197;0,2888
12,280;4,1380;0,2725
12,280;5,7296;0,1081
12,280;4,7746;0,2412
12,280;4,1380;0,2390
12,280;5,4113;0,2254
12,280;5,0930;0,2291
12,280;2,8648;0,2540
12,280;5,4113;0,0875
12,280;5,0930;0,1552
12,280;5,0930;0,0984
12,780;5,0930;0,1452
12,780;2,5465;0,2677
12,780;5,0930;0,1445
12,780;4,4563;0,2260
12,780;3,5014;0,1786
12,780;5,0930;0,2150
12,780;5,4113;0,2024
12,780;3,5014;0,2366
12,780;5,0930;0,1399
12,780;5,7296;0,1222
12,780;5,0930;0,1670
12,780;5,0930;0,1334
13,300;4,7746;0,1450
13,300;5,0930;0,1847
13,300;4,1380;0,2714
13,300;3,5014;0,2886
13,300;4,4563;0,2520
13,300;4,7746;0,2352
13,300;3,8197;0,2339
13,300;2,8648;0,3112
13,300;5,0930;0,1064
13,300;5,7296;0,1338
13,300;5,4113;0,1857
13,300;5,4113;0,0883
13,800;4,7746;0,0910
13,800;4,7746;0,1346
13,800;3,8197;0,1801
13,800;2,8648;0,2218
13,800;3,1831;0,1957
13,800;4,7746;0,1722
13,800;3,5014;0,1621
13,800;4,1380;0,0589
13,800;4,7746;0,0800
13,800;5,4113;0,0830
13,800;5,7296;0,1276
13,800;5,4113;0,0968
13,800;4,7746;0,0364
14,320;5,0930;0,1512
14,320;4,1380;0,2013
14,320;3,8197;0,1422
14,320;3,5014;0,2379
14,320;4,7746;0,1819
14,320;3,1831;0,2074
14,320;4,4563;0,0822
14,320;4,7746;0,1597
14,320;5,0930;0,1705
14,320;4,7746;0,1761
14,320;5,0930;0,1324
14,320;4,7746;0,0675
14,820;4,7746;0,2163
14,820;3,8197;0,2723
14,820;4,1380;0,1926
14,820;2,8648;0,3318
14,820;4,4563;0,2553
14,820;3,1831;0,2837
14,820;4,4563;0,1266
14,820;5,0930;0,1563
14,820;5,4113;0,2015
14,820;4,4563;0,2422
14,820;5,0930;0,1277
14,820;4,7746;0,1054
15,320;3,8197;0,1183
15,320;3,5014;0,1131
15,320;3,5014;0,1201
15,320;2,8648;0,1321
15,320;4,4563;0,0743
15,320;5,4113;0,1155
15,320;5,0930;0,1228
15,320;4,1380;0,1393
15,320;5,0930;0,1081
15,320;4,4563;0,0570
15,320;4,4563;0,0908
15,840;3,8197;0,1087
15,840;3,8197;0,1108
15,840;3,5014;0,0781
15,840;3,1831;0,1428
15,840;4,7746;0,0766
15,840;5,0930;0,1013
15,840;4,7746;0,1080
15,840;4,4563;0,1157
15,840;5,0930;0,0873
15,840;4,7746;0,0810
15,840;4,4563;0,0918
16,340;3,8197;0,0982
16,340;3,5014;0,1006
16,340;3,8197;0,0573
16,340;5,0930;0,0496
16,340;4,7746;0,0872
16,340;4,4563;0,1087
16,340;4,1380;0,1006
16,340;5,0930;0,0757
16,340;4,4563;0,0918
16,340;4,1380;0,1149
16,340;3,5014;0,0532
16,840;2,8648;0,1989
16,840;3,1831;0,1308
16,840;3,1831;0,1530
16,840;4,1380;0,1177
16,840;5,0930;0,0719
16,840;5,0930;0,1120
16,840;3,8197;0,1721
16,840;4,7746;0,1085
16,840;4,1380;0,1069
16,840;4,4563;0,0804
16,840;3,8197;0,0531
17,340;3,8197;0,1288
17,340;2,5465;0,1206
17,340;3,8197;0,0469
17,340;5,4113;0,0458
17,340;5,0930;0,1031
17,340;3,5014;0,1347
17,340;4,1380;0,0928
17,340;4,1380;0,1008
17,340;4,7746;0,0947
17,340;4,4563;0,1027
17,340;3,5014;0,0144
17,340;3,8197;0,0896
17,840;3,1831;0,1879
17,840;3,5014;0,0992
17,840;5,4113;0,0976
17,840;5,0930;0,1571
17,840;3,1831;0,2093
17,840;4,1380;0,1605
17,840;3,8197;0,1744
17,840;4,7746;0,1406
17,840;4,7746;0,1547
17,840;3,5014;0,0413
17,840;3,5014;0,0748
18,340;3,1831;0,2337
18,340;3,5014;0,1728
18,340;5,0930;0,1364
18,340;4,7746;0,1888
18,340;3,8197;0,1836
18,340;3,1831;0,2305
18,340;4,4563;0,1887
18,340;4,7746;0,1888
18,340;3,8197;0,1205
18,340;3,8197;0,0995
18,340;4,1380;0,1258
18,860;2,8648;0,3325
18,860;4,4563;0,1951
18,860;3,1831;0,2959
18,860;4,7746;0,1830
18,860;4,4563;0,2608
18,860;3,5014;0,2426
18,860;4,1380;0,2691
18,860;5,0930;0,2282
18,860;3,5014;0,1442
18,860;4,1380;0,1439
18,860;4,4563;0,1780
19,360;4,1380;0,1684
19,360;4,4563;0,1568
19,360;4,4563;0,1676
19,360;3,8197;0,2384
19,360;3,1831;0,2414
19,360;4,1380;0,2353
19,360;4,4563;0,2185
19,360;3,8197;0,1588
19,360;4,1380;0,1466
19,360;4,4563;0,1905
19,360;3,1831;0,1717
19,860;3,8197;0,1429
19,860;3,8197;0,1609
19,860;4,4563;0,1533
19,860;2,8648;0,2103
19,860;3,8197;0,1963
19,860;4,4563;0,1682
19,860;3,8197;0,1467
19,860;4,1380;0,1236
19,860;4,1380;0,1679
19,860;3,1831;0,1341
20,360;3,8197;0,3159
20,360;3,8197;0,3160
20,360;4,4563;0,2708
20,360;2,5465;0,4503
20,360;4,1380;0,3065
20,360;4,1380;0,2108
20,360;3,8197;0,1714
20,360;4,4563;0,2846
20,360;2,5465;0,1372
20,860;2,8648;0,1823
20,860;3,5014;0,0943
20,860;4,1380;0,0879
20,860;3,5014;0,1491
20,860;3,5014;0,0824
20,860;3,8197;0,1427
20,860;3,8197;0,1434
20,860;4,1380;0,1291
20,860;3,5014;0,1564
20,860;2,5465;0,1751
21,360;3,8197;0,2945
21,360;3,8197;0,2403
21,360;3,8197;0,2648
21,360;3,8197;0,3098
21,360;3,8197;0,1817
21,360;2,8648;0,4059
21,360;4,1380;0,3050
21,360;3,8197;0,2584
21,360;3,1831;0,3748
21,360;2,8648;0,2324
21,860;3,1831;0,2245
21,860;3,1831;0,1543
21,860;3,8197;0,1871
21,860;2,8648;0,2282
21,860;2,8648;0,1454
21,860;3,5014;0,2180
21,860;4,1380;0,1795
21,860;2,5465;0,1885
22,360;2,2282;0,3698
22,360;2,8648;0,2849
22,360;3,1831;0,2470
22,360;2,2282;0,1737
22,360;3,5014;0,1424
22,360;3,1831;0,3067
22,360;3,5014;0,1650
22,360;3,5014;0,2928
22,360;3,5014;0,2928
22,880;2,8648;0,1801
22,880;2,8648;0,1710
22,880;3,1831;0,1766
22,880;2,5465;0,0726
22,880;3,5014;0,1581
22,880;3,5014;0,1783
22,880;3,5014;0,1367
22,880;3,5014;0,1705
22,880;3,8197;0,1757
23,380;3,1831;0,2565
