time;agentId;headwayDistance;headwayVelocity
0,2600;26;0,3627;0,0000
0,2600;29;0,3570;0,0000
0,2600;31;0,3677;0,0764
0,2600;33;0,3992;0,0839
0,2600;34;0,3690;0,0839
0,2600;36;0,4858;0,2316
0,5200;26;0,3817;0,0000
0,5200;29;0,3908;0,0000
0,5200;31;0,4428;0,2268
0,5200;33;0,4141;0,8498
0,5200;34;0,4121;0,2240
0,5200;36;0,4141;0,7323
0,7800;26;0,3867;0,2343
0,7800;20;0,3867;0,2164
0,7800;29;0,4212;0,0000
0,7800;31;0,4064;0,0000
0,7800;33;0,4087;0,5081
0,7800;34;0,4087;0,5477
0,7800;36;0,4612;0,5477
1,0400;26;0,3744;0,4016
1,0400;20;0,3744;0,4145
1,0400;29;0,4001;0,0000
1,0400;31;0,3359;0,5568
1,0400;32;0,3359;0,7981
1,0400;33;0,4374;0,4052
1,0400;34;0,4374;0,8751
1,0400;22;0,3957;0,0000
1,3000;26;0,4359;0,5407
1,3000;28;0,3927;0,5407
1,3000;20;0,3927;0,7262
1,3000;29;0,4004;0,0000
1,3000;31;0,3380;1,0281
1,3000;32;0,3380;1,2131
1,3000;33;0,4650;1,2131
1,3000;34;0,4093;0,4299
1,3000;22;0,4284;0,4299
1,5600;21;0,4072;0,3580
1,5600;26;0,4673;0,8473
1,5600;28;0,4028;0,3940
1,5600;20;0,4028;0,8473
1,5600;29;0,3938;0,4707
1,5600;31;0,4069;0,7220
1,5600;32;0,4069;1,5432
1,5600;34;0,4336;0,3580
1,5600;22;0,3938;0,3580
1,5600;14;0,4076;0,0000
1,5600;15;0,4367;0,4707
1,8200;21;0,3657;0,4535
1,8200;26;0,4081;0,8563
1,8200;28;0,3827;0,0000
1,8200;20;0,4528;0,0000
1,8200;29;0,3389;0,5872
1,8200;32;0,4307;1,0889
1,8200;34;0,4131;1,0889
1,8200;22;0,3389;0,4546
1,8200;14;0,3657;0,2691
1,8200;15;0,4591;0,5872
2,0800;21;0,3534;0,3175
2,0800;26;0,3674;0,4995
2,0800;28;0,3674;0,4026
2,0800;20;0,4325;0,5545
2,0800;29;0,3357;0,3684
2,0800;32;0,3847;0,4026
2,0800;22;0,3357;0,3341
2,0800;14;0,3534;0,3340
2,0800;15;0,4050;0,3684
2,3400;21;0,3694;0,0000
2,3400;26;0,3671;0,6050
2,3400;28;0,3671;0,7071
2,3400;20;0,3927;0,4664
2,3400;29;0,3548;0,3111
2,3400;35;0,3950;0,6050
2,3400;22;0,3548;0,4405
2,3400;14;0,3580;0,0000
2,3400;15;0,3585;0,3111
2,6000;21;0,3820;0,2229
2,6000;25;0,3839;0,4181
2,6000;28;0,4191;0,4531
2,6000;20;0,3357;0,4625
2,6000;29;0,3813;0,3526
2,6000;35;0,3586;0,3860
2,6000;22;0,3408;0,4625
2,6000;17;0,3852;0,0000
2,6000;7;0,4894;0,0000
2,6000;14;0,3617;0,0000
2,6000;15;0,3357;0,3860
2,8600;21;0,3467;0,3704
2,8600;25;0,3959;0,5865
2,8600;20;0,3294;0,1287
2,8600;29;0,4311;0,5959
2,8600;35;0,3596;0,3586
2,8600;22;0,3421;0,1287
2,8600;17;0,3850;0,0000
2,8600;7;0,4629;0,1287
2,8600;8;0,4053;0,0000
2,8600;14;0,3894;0,0000
2,8600;15;0,3294;0,3586
3,1200;21;0,3691;0,3274
3,1200;25;0,4142;0,2506
3,1200;20;0,3443;0,0263
3,1200;35;0,3787;0,1942
3,1200;22;0,3465;0,1942
3,1200;17;0,3905;0,0000
3,1200;7;0,3984;0,0263
3,1200;8;0,3992;0,0000
3,1200;10;0,3787;0,0000
3,1200;14;0,3691;0,2506
3,1200;15;0,3443;0,1942
3,3800;21;0,3567;0,2905
3,3800;25;0,3702;0,5518
3,3800;20;0,3410;0,5518
3,3800;35;0,3604;0,5518
3,3800;30;0,4172;0,0000
3,3800;22;0,3410;0,2222
3,3800;17;0,3883;0,2222
3,3800;7;0,3713;0,0907
3,3800;8;0,4144;0,0000
3,3800;10;0,3975;0,0000
3,3800;14;0,3567;0,3167
3,3800;15;0,3713;0,1558
3,6400;21;0,3543;0,1309
3,6400;25;0,3685;0,4103
3,6400;20;0,3390;0,1309
3,6400;30;0,3486;0,1215
3,6400;19;0,3633;0,3677
3,6400;22;0,3390;0,1215
3,6400;17;0,3530;0,1215
3,6400;7;0,3918;0,2620
3,6400;8;0,4251;0,0000
3,6400;10;0,4147;0,3677
3,6400;14;0,3596;0,4103
3,6400;15;0,3577;0,1215
3,9000;21;0,3443;0,0732
3,9000;25;0,3684;0,0696
3,9000;20;0,3309;0,2735
3,9000;30;0,3500;0,0563
3,9000;19;0,3604;0,0732
3,9000;22;0,3705;0,0563
3,9000;17;0,3647;0,0563
3,9000;7;0,3979;0,2735
3,9000;8;0,4281;0,0000
3,9000;10;0,3622;0,0732
3,9000;14;0,3443;0,0696
3,9000;15;0,3309;0,0563
4,1600;21;0,3428;0,0364
4,1600;25;0,3669;0,0281
