time;density;specific_flow
0,120;2,5465;0,4639
0,240;2,5465;1,2258
0,360;2,5465;1,9434
0,480;2,5465;2,6166
0,600;3,8197;4,7451
0,720;3,8197;5,1953
0,840;1,2732;1,6987
0,960;3,8197;4,7857
1,080;3,8197;3,6225
1,180;3,8197;2,9305
1,300;6,3662;5,9667
1,420;5,0930;3,5899
1,520;6,3662;4,3038
1,640;7,6394;3,8105
1,740;7,6394;3,8061
1,860;7,6394;3,0089
1,960;6,3662;2,6807
2,080;6,3662;2,5733
2,200;6,3662;2,0724
2,320;7,6394;2,6143
2,440;6,3662;1,3333
2,560;6,3662;2,4240
2,660;6,3662;2,9146
2,780;5,0930;0,9367
2,900;5,0930;1,2067
3,000;5,0930;2,1190
3,120;3,8197;1,9052
3,240;3,8197;2,4154
3,360;2,5465;0,9259
3,460;2,5465;1,1907
3,580;6,3662;2,9711
3,700;5,0930;3,0604
3,800;6,3662;4,1495
3,920;6,3662;3,9254
4,040;6,3662;1,6808
4,160;6,3662;2,2318
4,280;6,3662;2,9047
4,380;6,3662;3,1678
4,500;5,0930;1,5885
4,620;5,0930;1,9704
4,740;5,0930;2,7780
4,860;5,0930;2,8675
4,980;5,0930;2,5160
5,100;5,0930;1,9408
5,200;5,0930;2,3756
5,320;5,0930;0,9452
5,440;5,0930;1,6598
5,560;6,3662;3,3239
5,680;6,3662;3,5219
5,800;6,3662;1,3521
5,920;6,3662;1,4594
6,020;6,3662;2,0272
6,140;5,0930;1,2686
6,260;5,0930;1,9621
6,380;6,3662;3,1367
6,500;5,0930;2,9594
6,620;6,3662;2,8440
6,740;3,8197;1,5189
6,840;3,8197;2,0395
6,960;6,3662;3,0462
7,080;6,3662;3,5914
7,200;6,3662;2,7037
7,320;6,3662;2,8075
7,440;5,0930;2,4380
7,560;5,0930;3,3235
7,680;5,0930;3,0615
7,800;5,0930;1,3755
7,920;5,0930;2,0732
8,020;3,8197;1,7121
8,140;3,8197;1,8883
8,260;3,8197;1,0997
8,380;5,0930;2,3061
8,500;5,0930;3,4714
8,620;5,0930;4,3629
8,740;6,3662;4,5845
8,840;6,3662;3,8786
8,960;6,3662;2,8671
9,080;5,0930;0,9727
9,200;5,0930;1,5990
9,320;6,3662;2,6285
9,440;5,0930;2,4178
9,560;5,0930;2,1827
9,660;6,3662;3,0869
9,780;6,3662;2,4972
9,900;5,0930;0,9211
10,020;6,3662;1,9637
10,140;6,3662;2,5429
10,260;6,3662;2,9243
10,360;5,0930;1,9144
10,480;5,0930;2,4380
10,600;6,3662;3,8690
10,720;5,0930;1,9614
10,840;5,0930;2,1174
10,960;3,8197;1,2952
11,080;5,0930;2,1910
11,180;5,0930;2,7950
11,300;5,0930;1,4559
11,420;5,0930;2,4811
11,540;5,0930;3,5528
11,660;5,0930;2,4906
11,780;6,3662;2,8801
11,900;7,6394;3,0550
12,000;6,3662;2,1910
12,120;5,0930;2,2256
12,240;5,0930;3,2136
12,360;5,0930;2,2033
12,480;5,0930;2,0930
12,600;5,0930;2,6210
12,720;5,0930;2,0911
12,820;5,0930;2,1684
12,940;5,0930;1,4861
13,060;7,6394;3,1356
13,180;7,6394;2,5103
13,300;6,3662;1,8349
13,420;6,3662;1,1137
13,540;6,3662;1,9248
13,640;6,3662;2,9737
13,760;6,3662;3,6006
13,880;5,0930;1,7431
