metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL
total_agents;93
rset_100s;40,560
rset_95s;37,060
rset_90s;34,900
rset_50s;19,640
mean_speed_ms;0,4575
std_speed_ms;0,3187
max_speed_ms;1,6355
mean_exit_density_pm2;3,6373
peak_exit_density_pm2;6,3662
mean_global_density_pm2;0,2669
specific_flow_mean_pms;1,9062
specific_flow_peak_pms;4,0882
throughput_ps;2,2929
throughput_ExitZone_ps;2,2929
collisions_agent_agent;3077
collisions_agent_wall;1689
mean_headway_m;0,4314
min_headway_m;0,3212
std_headway_m;0,1063
