time;agentId;exitId
0,9400;36;ExitZone
1,4000;33;ExitZone
1,8200;34;ExitZone
1,9600;31;ExitZone
2,4000;29;ExitZone
4,0400;32;ExitZone
4,5400;25;ExitZone
4,8400;26;ExitZone
5,2000;22;ExitZone
5,5800;28;ExitZone
5,9800;21;ExitZone
6,2000;20;ExitZone
6,6000;14;ExitZone
7,0600;15;ExitZone
7,5600;7;ExitZone
7,8200;17;ExitZone
8,1800;10;ExitZone
8,7200;41;ExitZone
9,0000;42;ExitZone
9,5600;50;ExitZone
9,6400;60;ExitZone
10,2800;35;ExitZone
10,5800;16;ExitZone
10,7800;8;ExitZone
11,2600;48;ExitZone
11,6000;23;ExitZone
12,0200;53;ExitZone
12,5000;66;ExitZone
12,8400;5;ExitZone
13,0800;27;ExitZone
13,5200;61;ExitZone
13,8600;76;ExitZone
14,2000;45;ExitZone
14,6400;11;ExitZone
14,9400;69;ExitZone
15,2200;65;ExitZone
15,7400;44;ExitZone
15,7600;59;ExitZone
16,5400;83;ExitZone
17,2200;68;ExitZone
17,3200;40;ExitZone
17,8000;79;ExitZone
18,2000;24;ExitZone
18,6600;13;ExitZone
19,2600;87;ExitZone
19,6400;62;ExitZone
20,0000;84;ExitZone
20,4400;43;ExitZone
20,5600;18;ExitZone
21,0400;85;ExitZone
21,4200;88;ExitZone
21,9200;57;ExitZone
22,0600;73;ExitZone
22,6000;91;ExitZone
22,9400;75;ExitZone
23,2600;12;ExitZone
23,7400;47;ExitZone
23,9200;4;ExitZone
24,4200;92;ExitZone
24,5600;54;ExitZone
25,2200;81;ExitZone
25,6200;19;ExitZone
25,9000;64;ExitZone
26,2600;89;ExitZone
26,9400;86;ExitZone
27,4400;77;ExitZone
27,9600;2;ExitZone
28,3200;6;ExitZone
28,7400;30;ExitZone
28,9400;56;ExitZone
29,4800;58;ExitZone
29,9600;70;ExitZone
30,2200;78;ExitZone
30,7000;51;ExitZone
31,2000;55;ExitZone
31,5600;0;ExitZone
31,9400;39;ExitZone
32,3600;1;ExitZone
32,8200;90;ExitZone
33,3200;37;ExitZone
33,8400;52;ExitZone
34,1600;82;ExitZone
34,9000;71;ExitZone
35,2000;63;ExitZone
35,6600;72;ExitZone
36,1800;38;ExitZone
36,5600;3;ExitZone
37,0600;9;ExitZone
37,9200;74;ExitZone
38,4600;80;ExitZone
39,3800;67;ExitZone
40,0200;49;ExitZone
40,5600;46;ExitZone
