metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run_1
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;40,580
rset_95s;37,940
rset_90s;35,540
rset_50s;19,420
mean_speed_ms;0,2989
std_speed_ms;0,2694
max_speed_ms;1,8319
mean_exit_density_pm2;4,2617
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5618
specific_flow_mean_pms;1,8633
specific_flow_peak_pms;4,9636
throughput_ps;2,2918
throughput_ExitZone_ps;2,2918
collisions_agent_agent;14491
collisions_agent_wall;1399
mean_headway_m;0,3935
min_headway_m;0,3204
std_headway_m;0,0570
