agentId;time;posX;posZ;speed
26;0,1200;-0,1044;0,3377;0,3615
29;0,1200;0,3192;0,1373;0,8636
31;0,1200;-0,4007;0,0954;0,3718
33;0,1200;0,0665;-0,1330;0,0790
34;0,1200;0,5176;-0,1704;0,3071
36;0,1200;-0,3405;-0,4165;0,0789
26;0,2400;-0,1033;0,3347;0,0269
29;0,2400;0,3169;0,1331;0,0398
31;0,2400;-0,4005;0,0654;0,2500
33;0,2400;0,0659;-0,1709;0,3161
34;0,2400;0,5176;-0,1900;0,1640
36;0,2400;-0,3276;-0,4543;0,3330
26;0,3600;-0,1033;0,3272;0,0623
29;0,3600;0,3182;0,1247;0,0708
31;0,3600;-0,4004;0,0210;0,3700
33;0,3600;0,0648;-0,2321;0,5094
34;0,3600;0,5093;-0,2344;0,3761
36;0,3600;-0,3010;-0,5242;0,6234
26;0,4800;-0,1035;0,3177;0,0798
29;0,4800;0,3223;0,1066;0,1547
31;0,4800;-0,4012;-0,0256;0,3884
33;0,4800;0,0656;-0,3106;0,6541
34;0,4800;0,4979;-0,2977;0,5357
36;0,4800;-0,2573;-0,6175;0,8583
26;0,6000;-0,1032;0,3026;0,1258
29;0,6000;0,3265;0,0833;0,1973
31;0,6000;-0,4009;-0,0806;0,4587
33;0,6000;0,0621;-0,3981;0,7300
34;0,6000;0,4801;-0,3592;0,5341
36;0,6000;-0,2023;-0,7273;1,0238
26;0,7200;-0,1031;0,2734;0,2429
29;0,7200;0,3362;0,0369;0,3950
31;0,7200;-0,3930;-0,1477;0,5623
33;0,7200;0,0609;-0,5069;0,9066
34;0,7200;0,4616;-0,4233;0,5559
36;0,7200;-0,1385;-0,8636;1,2538
26;0,8400;-0,1058;0,2299;0,3639
29;0,8400;0,3474;-0,0129;0,4252
31;0,8400;-0,3799;-0,2117;0,5449
33;0,8400;0,0671;-0,6234;0,9723
34;0,8400;0,4457;-0,4892;0,5643
36;0,8400;-0,0804;-1,0312;1,4785
26;0,9600;-0,1121;0,1798;0,4206
20;0,9600;-0,5227;0,3908;0,1750
29;0,9600;0,3575;-0,0594;0,3970
31;0,9600;-0,3570;-0,2777;0,5820
33;0,9600;0,0741;-0,7644;1,1763
34;0,9600;0,4273;-0,5606;0,6151
26;1,0800;-0,1235;0,1228;0,4843
20;1,0800;-0,5220;0,3427;0,4004
29;1,0800;0,3716;-0,1131;0,4625
31;1,0800;-0,3115;-0,3598;0,7824
32;1,0800;-0,7135;-0,4395;0,4922
33;1,0800;0,0876;-0,9335;1,4144
34;1,0800;0,4108;-0,6222;0,5316
26;1,1800;-0,1359;0,0790;0,4547
20;1,1800;-0,5212;0,2963;0,4645
29;1,1800;0,3869;-0,1724;0,6121
31;1,1800;-0,2649;-0,4467;0,9855
32;1,1800;-0,6587;-0,5005;0,8203
33;1,1800;0,0786;-1,0923;1,5903
34;1,1800;0,3888;-0,6848;0,6631
22;1,1800;0,2430;0,3648;0,0670
26;1,3000;-0,1512;0,0285;0,4401
20;1,3000;-0,5166;0,2407;0,4647
29;1,3000;0,4066;-0,2620;0,7643
31;1,3000;-0,1982;-0,5671;1,1470
32;1,3000;-0,5955;-0,5740;0,8074
34;1,3000;0,3514;-0,7829;0,8749
22;1,3000;0,2449;0,3068;0,4843
26;1,4200;-0,1570;-0,0172;0,3843
20;1,4200;-0,5089;0,1927;0,4050
29;1,4200;0,4191;-0,3533;0,7682
31;1,4200;-0,1311;-0,7118;1,3294
32;1,4200;-0,5355;-0,6418;0,7542
34;1,4200;0,2945;-0,9039;1,1142
22;1,4200;0,2408;0,2317;0,6260
26;1,5200;-0,1604;-0,0687;0,5152
20;1,5200;-0,5031;0,1583;0,3490
29;1,5200;0,4249;-0,4142;0,6120
31;1,5200;-0,0910;-0,8306;1,2545
32;1,5200;-0,4823;-0,6911;0,7256
34;1,5200;0,2357;-0,9838;0,9917
22;1,5200;0,2370;0,1630;0,6881
21;1,6400;0,7422;-0,0795;0,3532
