time;agentId;exitId
0,8600;36;ExitZone
1,3000;33;ExitZone
1,5800;32;ExitZone
2,0200;31;ExitZone
2,2600;28;ExitZone
2,6000;34;ExitZone
2,8400;35;ExitZone
3,2200;29;ExitZone
3,5800;26;ExitZone
3,6600;25;ExitZone
4,0800;23;ExitZone
4,4200;22;ExitZone
4,8000;20;ExitZone
5,1600;27;ExitZone
5,3800;37;ExitZone
5,8000;15;ExitZone
6,1400;17;ExitZone
6,5000;21;ExitZone
7,1000;24;ExitZone
7,9400;8;ExitZone
8,4600;12;ExitZone
8,6400;30;ExitZone
9,0200;14;ExitZone
9,2200;0;ExitZone
9,6600;16;ExitZone
10,2800;7;ExitZone
10,8800;11;ExitZone
11,2600;13;ExitZone
11,7000;4;ExitZone
11,7200;42;ExitZone
12,2000;2;ExitZone
12,3000;19;ExitZone
12,7000;61;ExitZone
13,1800;1;ExitZone
13,7400;6;ExitZone
14,1400;40;ExitZone
14,8000;69;ExitZone
15,3800;48;ExitZone
15,6400;56;ExitZone
16,0200;50;ExitZone
16,4400;5;ExitZone
16,6400;10;ExitZone
17,2000;59;ExitZone
17,6800;45;ExitZone
18,2000;41;ExitZone
18,4200;18;ExitZone
18,7800;79;ExitZone
19,1000;57;ExitZone
19,6200;75;ExitZone
20,0400;65;ExitZone
20,2200;38;ExitZone
20,8800;58;ExitZone
21,5400;47;ExitZone
21,9400;84;ExitZone
22,2000;39;ExitZone
22,4000;51;ExitZone
23,3000;81;ExitZone
23,8400;63;ExitZone
23,9600;60;ExitZone
24,3200;74;ExitZone
24,6800;88;ExitZone
25,1200;64;ExitZone
25,3400;43;ExitZone
25,6400;73;ExitZone
26,1600;83;ExitZone
26,5600;90;ExitZone
26,7000;76;ExitZone
27,1000;9;ExitZone
27,5200;78;ExitZone
28,0200;87;ExitZone
28,3600;71;ExitZone
28,6800;44;ExitZone
29,1600;80;ExitZone
29,7400;46;ExitZone
29,9600;54;ExitZone
30,9000;62;ExitZone
31,4800;52;ExitZone
31,9600;89;ExitZone
32,4600;91;ExitZone
33,0000;72;ExitZone
33,3200;55;ExitZone
33,8600;82;ExitZone
34,3200;70;ExitZone
34,7800;77;ExitZone
35,2400;49;ExitZone
35,7200;68;ExitZone
36,2400;3;ExitZone
36,7400;85;ExitZone
37,3600;66;ExitZone
37,8600;92;ExitZone
38,2200;67;ExitZone
38,7200;53;ExitZone
39,0600;86;ExitZone
