time;evacuated_count
0,840;1
1,140;2
1,580;3
1,860;4
2,300;5
2,640;6
3,020;7
3,220;8
3,740;9
4,200;10
4,480;11
4,880;12
5,120;13
5,480;14
5,800;15
6,060;16
6,680;17
7,000;18
7,520;19
7,940;20
8,180;21
8,860;22
9,440;23
9,840;24
10,220;25
10,620;26
10,980;27
11,340;28
11,720;29
12,120;30
12,580;31
12,840;32
13,200;33
13,560;34
13,600;35
14,140;36
14,560;37
14,780;38
15,180;39
15,640;40
15,780;41
16,200;42
16,600;43
17,220;44
17,580;45
18,080;46
18,280;47
18,720;48
19,400;49
19,900;50
20,080;51
20,940;52
21,440;53
21,840;54
22,360;55
22,460;56
22,980;57
23,520;58
23,660;59
24,080;60
24,360;61
24,640;62
24,940;63
25,320;64
25,640;65
25,820;66
26,100;67
26,340;68
26,680;69
26,960;70
27,240;71
27,500;72
28,000;73
28,520;74
28,860;75
29,220;76
29,520;77
30,000;78
30,500;79
30,980;80
31,380;81
32,000;82
32,560;83
33,120;84
33,600;85
34,720;86
35,420;87
35,900;88
36,200;89
36,820;90
37,300;91
37,700;92
38,440;93
