time;density;specific_flow
0,120;1,2732;0,1005
0,240;1,2732;0,4242
0,360;2,5465;1,4955
0,480;2,5465;2,1731
0,600;2,5465;2,7827
0,720;3,8197;4,0899
0,840;3,8197;4,0843
0,960;3,8197;3,0114
1,080;3,8197;3,3113
1,180;3,8197;3,2986
1,300;3,8197;3,6931
1,420;3,8197;3,3432
1,520;3,8197;2,5688
1,640;3,8197;1,2568
1,740;3,8197;1,2944
1,860;6,3662;3,8956
1,960;5,0930;3,4928
2,080;5,0930;3,5590
2,200;5,0930;2,8743
2,320;3,8197;1,1867
2,440;5,0930;1,8966
2,560;5,0930;2,5587
2,660;3,8197;2,3603
2,780;3,8197;2,3924
2,900;5,0930;2,5398
3,000;5,0930;2,8133
3,120;3,8197;1,8424
3,240;3,8197;1,7829
3,360;3,8197;1,9618
3,460;5,0930;2,3477
3,580;6,3662;3,2108
3,700;6,3662;3,2683
3,800;5,0930;1,2125
3,920;5,0930;1,6686
4,040;5,0930;1,9181
4,160;5,0930;2,1245
4,280;3,8197;0,8113
4,380;3,8197;1,4717
4,500;2,5465;1,1292
4,620;5,0930;2,1871
4,740;5,0930;3,0374
4,860;5,0930;3,7035
4,980;6,3662;2,7397
5,100;6,3662;3,0935
5,200;6,3662;2,4971
5,320;6,3662;2,7536
5,440;6,3662;3,2576
5,560;6,3662;3,1518
5,680;6,3662;2,7660
5,800;6,3662;2,6838
5,920;5,0930;1,3137
6,020;5,0930;1,7673
6,140;3,8197;0,5864
6,260;3,8197;0,8518
6,380;5,0930;1,7603
6,500;5,0930;2,4132
6,620;5,0930;3,0726
6,740;3,8197;1,5475
6,840;5,0930;1,3632
6,960;5,0930;1,7108
7,080;3,8197;0,9162
7,200;3,8197;1,3008
7,320;5,0930;2,3348
7,440;6,3662;3,7879
7,560;5,0930;1,5656
7,680;5,0930;2,0722
7,800;5,0930;2,1044
7,920;5,0930;2,1340
8,020;3,8197;1,4440
8,140;5,0930;2,3956
8,260;5,0930;2,2869
8,380;5,0930;1,9293
8,500;5,0930;1,6952
8,620;5,0930;1,7736
8,740;6,3662;1,5134
8,840;6,3662;1,5991
8,960;5,0930;0,7918
9,080;5,0930;1,0589
9,200;5,0930;1,2583
9,320;5,0930;1,6365
9,440;5,0930;2,0852
9,560;3,8197;1,0595
9,660;5,0930;2,0768
9,780;6,3662;2,8799
9,900;6,3662;2,8009
10,020;6,3662;2,7372
10,140;6,3662;3,2147
10,260;5,0930;1,6342
10,360;5,0930;1,6024
10,480;5,0930;1,7263
10,600;6,3662;2,0861
10,720;6,3662;1,3554
10,840;6,3662;1,8375
10,960;6,3662;2,1709
11,080;6,3662;2,4217
11,180;6,3662;2,5556
11,300;6,3662;2,6999
11,420;5,0930;1,9237
11,540;5,0930;2,3056
11,660;5,0930;2,4299
11,780;3,8197;0,5582
11,900;3,8197;0,9313
12,000;5,0930;2,2806
12,120;5,0930;2,7350
12,240;5,0930;2,1043
12,360;5,0930;1,8243
12,480;6,3662;2,4104
12,600;5,0930;1,6033
12,720;5,0930;1,4002
12,820;5,0930;1,9195
12,940;6,3662;2,5392
13,060;6,3662;3,6940
13,180;6,3662;4,3441
13,300;5,0930;2,2784
13,420;5,0930;2,9050
13,540;5,0930;3,1188
13,640;3,8197;1,7952
13,760;3,8197;1,7824
13,880;3,8197;2,0643
14,000;3,8197;2,5128
14,120;3,8197;2,4214
14,240;3,8197;0,9397
14,340;3,8197;1,5261
14,460;5,0930;2,2383
14,580;6,3662;3,1073
14,700;6,3662;2,9276
14,820;6,3662;2,7864
14,940;6,3662;3,1528
15,060;6,3662;3,0547
15,160;6,3662;2,9992
15,280;5,0930;1,6406
15,400;5,0930;1,8479
15,520;6,3662;2,7223
15,640;6,3662;2,6570
15,760;5,0930;1,8057
15,880;5,0930;1,5102
15,980;5,0930;1,9373
16,100;5,0930;1,9659
16,200;5,0930;2,2326
16,320;6,3662;2,6766
16,420;6,3662;2,4290
16,520;6,3662;3,0260
16,640;5,0930;1,5136
16,740;5,0930;1,1597
16,840;5,0930;1,5528
16,940;6,3662;2,2815
17,060;6,3662;2,7619
17,160;6,3662;1,8331
17,260;5,0930;0,7777
17,380;5,0930;1,2642
17,480;5,0930;1,4303
17,580;5,0930;1,7078
17,680;3,8197;0,8461
17,800;3,8197;1,4095
17,900;5,0930;2,8367
18,000;5,0930;3,5574
18,120;3,8197;2,8470
18,220;3,8197;3,4512
18,320;2,5465;1,9314
18,420;5,0930;2,1334
18,540;5,0930;2,1761
18,640;5,0930;1,8798
18,740;3,8197;1,1140
18,860;5,0930;0,9638
18,960;6,3662;1,6380
19,060;6,3662;1,8801
19,160;6,3662;1,9279
