time;agentIdA;agentIdB;type
0,0600;26;31;Agent
0,0600;19;21;Agent
0,0600;19;25;Agent
0,0600;22;29;Agent
0,0600;22;26;Agent
0,0600;1;7;Agent
0,0600;10;14;Agent
0,0600;11;19;Agent
0,0600;13;17;Agent
0,0600;13;23;Agent
0,0800;26;31;Agent
0,0800;19;21;Agent
0,0800;19;25;Agent
0,0800;22;29;Agent
0,0800;22;26;Agent
0,0800;1;7;Agent
0,0800;6;11;Agent
0,0800;10;14;Agent
0,0800;11;19;Agent
0,0800;13;17;Agent
0,0800;13;23;Agent
0,1000;26;31;Agent
0,1000;19;21;Agent
0,1000;19;25;Agent
0,1000;22;29;Agent
0,1000;22;26;Agent
0,1000;1;7;Agent
0,1000;6;11;Agent
0,1000;10;14;Agent
0,1000;11;19;Agent
0,1000;13;17;Agent
0,1000;13;23;Agent
0,1200;26;31;Agent
0,1200;19;21;Agent
0,1200;19;25;Agent
0,1200;22;29;Agent
0,1200;22;26;Agent
0,1200;6;11;Agent
0,1200;11;19;Agent
0,1200;13;17;Agent
0,1400;26;31;Agent
0,1400;19;21;Agent
0,1400;19;25;Agent
0,1400;22;26;Agent
0,1400;6;11;Agent
0,1400;11;19;Agent
0,1400;13;17;Agent
0,1600;19;21;Agent
0,1600;19;25;Agent
0,1600;22;26;Agent
0,1600;6;11;Agent
0,1600;11;19;Agent
0,1600;13;17;Agent
0,1800;19;21;Agent
0,1800;22;26;Agent
0,1800;6;11;Agent
0,1800;11;19;Agent
0,2000;19;21;Agent
0,2000;22;26;Agent
0,2000;6;11;Agent
0,2000;11;19;Agent
0,2200;19;21;Agent
0,2200;22;26;Agent
0,2200;6;11;Agent
0,2200;11;19;Agent
0,2400;22;26;Agent
0,2400;6;11;Agent
0,2400;11;19;Agent
0,2600;22;26;Agent
0,2600;6;11;Agent
0,2600;11;19;Agent
0,2800;22;26;Agent
0,2800;3;11;Agent
0,2800;6;11;Agent
0,2800;11;19;Agent
0,3000;22;26;Agent
0,3000;3;11;Agent
0,3000;6;11;Agent
0,3000;11;19;Agent
0,3200;6;11;Agent
0,3200;11;19;Agent
