time;agentId;headwayDistance;headwayVelocity
0,2600;26;0,3998;0,3020
0,2600;29;0,3706;0,3103
0,2600;31;0,3998;0,1424
0,2600;33;0,3950;0,0893
0,2600;34;0,3706;0,0893
0,2600;36;0,4779;0,3127
0,5200;26;0,4172;0,0000
0,5200;29;0,4538;0,0000
0,5200;31;0,5003;0,1437
0,5200;33;0,4155;0,7516
0,5200;34;0,4155;0,6532
0,5200;36;0,4384;0,6532
0,7800;26;0,4258;0,0000
0,7800;29;0,5080;0,0000
0,7800;31;0,3893;0,0000
0,7800;33;0,3720;0,8232
0,7800;34;0,3720;0,9739
0,7800;36;0,4381;0,9739
1,0400;21;0,4401;0,0000
1,0400;26;0,4592;0,0000
1,0400;29;0,4834;0,0000
1,0400;31;0,3747;0,8030
1,0400;32;0,3747;0,8300
1,0400;33;0,3809;0,7125
1,0400;34;0,3809;1,3249
1,0400;22;0,4427;0,0000
1,3000;21;0,4132;0,6130
1,3000;26;0,4838;0,6130
1,3000;20;0,4318;0,0000
1,3000;29;0,4423;0,6344
1,3000;31;0,3787;1,0457
1,3000;32;0,3787;1,3256
1,3000;34;0,4571;1,3256
1,3000;22;0,4132;0,6344
1,5600;21;0,4090;0,6128
1,5600;26;0,4307;0,6128
1,5600;28;0,4490;0,4836
1,5600;20;0,4490;0,5996
1,5600;29;0,4228;0,7167
1,5600;31;0,3441;0,6563
1,5600;32;0,3647;0,7282
1,5600;34;0,3441;0,7282
1,5600;22;0,4090;0,7167
1,8200;21;0,3991;0,0000
1,8200;26;0,4226;0,2768
1,8200;28;0,4164;0,0000
1,8200;20;0,4307;0,6810
1,8200;29;0,4350;0,8064
1,8200;32;0,5615;0,0000
1,8200;22;0,4109;0,8064
1,8200;14;0,4685;0,0000
2,0800;21;0,3983;0,0000
2,0800;26;0,3991;0,4369
2,0800;28;0,3725;0,0000
2,0800;20;0,4758;0,4369
2,0800;29;0,5704;0,7471
2,0800;32;0,4563;0,4369
2,0800;22;0,4197;0,7471
2,0800;14;0,4357;0,0000
2,0800;15;0,4359;0,2268
2,3400;21;0,3835;0,5675
2,3400;25;0,4020;0,0000
2,3400;26;0,3794;0,5218
2,3400;28;0,3746;0,0000
2,3400;20;0,4622;0,1230
2,3400;32;0,3794;0,5675
2,3400;22;0,4082;0,2113
2,3400;14;0,3775;0,0000
2,3400;15;0,4082;0,1772
2,6000;21;0,4165;0,2043
2,6000;25;0,3914;0,0000
2,6000;26;0,4033;0,1505
2,6000;28;0,3777;0,0000
2,6000;20;0,4228;0,0000
2,6000;32;0,4274;1,0707
2,6000;22;0,4117;0,1892
2,6000;14;0,3784;0,0000
2,6000;15;0,4117;0,1849
2,8600;25;0,3869;0,0000
2,8600;26;0,4158;0,2511
2,8600;28;0,3755;0,0000
2,8600;20;0,3826;0,0000
2,8600;35;0,3514;0,0000
2,8600;22;0,4218;0,2208
2,8600;4;0,4405;0,0000
2,8600;8;0,4157;0,2208
2,8600;14;0,3788;0,0000
2,8600;15;0,4108;0,0000
3,1200;25;0,4251;0,0000
3,1200;26;0,4586;0,5474
3,1200;28;0,3770;0,3076
3,1200;20;0,3717;0,0000
3,1200;35;0,3670;0,0000
3,1200;22;0,4257;0,3221
3,1200;4;0,4424;0,0000
3,1200;8;0,3964;0,2447
3,1200;14;0,3778;0,0000
3,1200;15;0,3964;0,2419
3,3800;25;0,4361;0,3509
3,3800;28;0,3790;0,3549
3,3800;20;0,3997;0,0000
3,3800;35;0,3695;0,0000
3,3800;22;0,4361;0,6267
3,3800;4;0,4340;0,0000
3,3800;7;0,4069;0,0000
3,3800;8;0,3825;0,3214
3,3800;14;0,3819;0,0000
3,3800;15;0,3825;0,2418
3,6400;25;0,3947;0,9775
3,6400;27;0,3385;0,0000
3,6400;28;0,3947;0,6355
3,6400;20;0,4285;0,0000
3,6400;35;0,3391;0,0000
3,6400;22;0,4384;0,6355
3,6400;4;0,3890;0,0042
3,6400;7;0,3807;0,0000
3,6400;8;0,3847;0,2671
3,6400;14;0,3788;0,0000
3,6400;15;0,3847;0,2328
3,9000;25;0,4375;0,0868
3,9000;27;0,3562;0,0000
3,9000;20;0,3767;0,1061
3,9000;35;0,3596;0,0000
3,9000;22;0,4035;0,4473
3,9000;4;0,3646;0,0000
3,9000;7;0,3694;0,0000
3,9000;8;0,3765;0,4473
3,9000;14;0,3813;0,0000
3,9000;15;0,3765;0,3347
4,1600;23;0,3832;0,0000
4,1600;27;0,3740;0,0000
4,1600;20;0,3597;0,4152
4,1600;35;0,3597;0,1616
4,1600;22;0,4052;0,3977
4,1600;4;0,3570;0,0000
4,1600;7;0,3810;0,0000
4,1600;8;0,3925;0,3977
4,1600;14;0,3905;0,0000
4,1600;15;0,3925;0,1413
4,4200;23;0,3846;0,0000
4,4200;27;0,3848;0,0000
4,4200;20;0,3596;0,4328
4,4200;35;0,3596;0,0986
4,4200;37;0,4102;0,0000
4,4200;22;0,3971;0,4728
4,4200;4;0,3677;0,0000
4,4200;7;0,4101;0,0667
4,4200;8;0,3800;0,1207
4,4200;14;0,3646;0,0000
4,4200;15;0,3679;0,0986
4,4200;42;0,3830;0,2720
4,6800;23;0,3802;0,0000
4,6800;27;0,3322;0,3699
4,6800;20;0,3687;0,0917
4,6800;35;0,3824;0,1773
4,6800;37;0,3801;0,1773
4,6800;19;0,3322;0,3461
4,6800;22;0,3844;0,2371
4,6800;4;0,3838;0,0000
4,6800;7;0,4012;0,1026
4,6800;8;0,3720;0,2923
4,6800;14;0,3646;0,3699
4,6800;15;0,3687;0,1773
4,6800;41;0,3529;0,0000
4,6800;42;0,3720;0,1591
4,9400;0;0,3447;0,0000
4,9400;23;0,3921;0,1783
4,9400;27;0,3352;0,0208
4,9400;20;0,3499;0,2278
4,9400;37;0,3499;0,2645
4,9400;19;0,3075;0,0000
4,9400;22;0,3956;0,0170
4,9400;4;0,3830;0,0331
4,9400;7;0,3986;0,0209
4,9400;8;0,3796;0,1017
4,9400;14;0,3647;0,0208
4,9400;15;0,3717;0,2645
4,9400;41;0,3554;0,0000
4,9400;42;0,3725;0,0000
5,2000;0;0,3433;0,0000
5,2000;23;0,3776;0,0687
5,2000;27;0,3352;0,0255
5,2000;20;0,3506;0,0687
5,2000;37;0,3506;0,1276
5,2000;19;0,3076;0,0000
5,2000;22;0,3989;0,0373
5,2000;4;0,3776;0,0661
5,2000;7;0,4021;0,0036
5,2000;8;0,3834;0,1792
5,2000;14;0,3647;0,0255
5,2000;15;0,3684;0,1276
5,2000;41;0,3576;0,0000
5,2000;42;0,3735;0,0000
5,4600;0;0,3500;0,0000
5,4600;23;0,3630;0,0848
5,4600;27;0,3376;0,1288
5,4600;20;0,3522;0,0848
5,4600;37;0,3522;0,1479
5,4600;19;0,3104;0,0000
5,4600;4;0,3580;0,1154
5,4600;7;0,3876;0,1925
5,4600;8;0,3782;0,0911
5,4600;14;0,3655;0,1288
5,4600;15;0,3684;0,1479
5,4600;41;0,3566;0,0000
5,4600;42;0,3770;0,0000
5,7200;0;0,3613;0,0000
5,7200;23;0,3550;0,2092
5,7200;27;0,3542;0,2841
5,7200;20;0,3549;0,2092
5,7200;37;0,3549;0,5883
5,7200;19;0,3115;0,0000
5,7200;1;0,3723;0,0603
5,7200;4;0,3642;0,0359
5,7200;7;0,3718;0,0603
5,7200;8;0,3792;0,1242
5,7200;14;0,3649;0,2841
5,7200;15;0,3775;0,5883
5,7200;41;0,3492;0,0000
5,7200;42;0,3718;0,0133
5,9800;0;0,3621;0,0000
5,9800;23;0,3572;0,2369
5,9800;27;0,3570;1,0161
5,9800;20;0,3570;0,6511
5,9800;37;0,3572;0,1303
5,9800;19;0,3201;0,0000
5,9800;1;0,3748;0,0828
5,9800;4;0,3888;0,1072
5,9800;7;0,3704;0,0828
5,9800;8;0,3782;0,1303
5,9800;14;0,3656;0,3307
5,9800;15;0,4229;0,6511
5,9800;41;0,3686;0,0000
5,9800;42;0,3636;0,2934
5,9800;56;0,3636;0,0828
