time;density;speed
0,520;4,1380;0,1629
0,520;5,0930;0,2163
0,520;3,8197;0,2884
0,520;3,8197;0,2721
0,520;2,8648;0,3845
0,520;2,5465;0,4325
0,520;2,2282;0,4664
1,040;3,1831;0,1902
1,040;4,4563;0,3302
1,040;4,1380;0,2656
1,040;3,1831;0,5490
1,040;2,8648;0,6255
1,040;3,1831;0,3832
1,040;1,5915;0,8405
1,040;1,9099;0,7852
1,040;4,1380;0,3172
1,560;3,8197;0,2664
1,560;4,1380;0,2212
1,560;2,5465;0,3996
1,560;2,2282;0,4109
1,560;3,5014;0,2907
2,080;2,8648;0,4279
2,080;3,1831;0,5549
2,080;3,8197;0,4694
2,080;3,8197;0,4352
2,080;2,2282;0,5975
2,080;2,8648;0,4205
2,080;4,1380;0,4325
2,080;4,1380;0,2176
2,080;3,8197;0,2734
2,080;3,8197;0,3808
2,600;3,1831;0,3907
2,600;3,1831;0,3193
2,600;3,5014;0,3743
2,600;4,1380;0,2892
2,600;2,8648;0,2837
2,600;4,4563;0,2791
2,600;4,4563;0,2144
2,600;5,0930;0,2657
2,600;5,0930;0,2774
3,120;4,7746;0,1836
3,120;3,5014;0,2624
3,120;3,1831;0,3470
3,120;4,4563;0,3373
3,120;3,5014;0,2963
3,120;4,1380;0,2629
3,120;4,7746;0,2949
3,120;4,4563;0,2089
3,120;4,4563;0,1521
3,120;5,0930;0,2305
3,120;5,0930;0,2509
3,120;5,7296;0,2635
3,120;5,4113;0,3023
3,640;6,0479;0,1000
3,640;3,8197;0,1079
3,640;4,1380;0,1392
3,640;3,1831;0,1214
3,640;4,1380;0,0934
3,640;4,7746;0,1217
3,640;4,7746;0,1141
3,640;6,3662;0,0532
3,640;5,7296;0,1149
3,640;5,0930;0,1207
3,640;5,4113;0,0937
3,640;5,7296;0,1259
3,640;4,7746;0,0821
4,160;6,0479;0,0649
4,160;4,7746;0,1201
4,160;3,8197;0,1935
4,160;3,5014;0,2144
4,160;3,5014;0,1797
4,160;4,4563;0,1470
4,160;4,7746;0,1752
4,160;5,7296;0,1099
4,160;6,0479;0,0242
4,160;5,7296;0,0527
4,160;5,0930;0,1326
4,160;5,7296;0,1357
4,160;6,0479;0,1453
4,160;3,5014;0,1535
4,160;5,7296;0,0468
4,660;6,3662;0,1104
4,660;4,4563;0,1308
4,660;3,1831;0,2512
4,660;4,1380;0,1560
4,660;4,1380;0,2036
4,660;5,4113;0,1187
4,660;5,7296;0,0295
4,660;5,7296;0,0234
4,660;6,0479;0,1164
4,660;4,7746;0,1841
4,660;5,4113;0,1496
4,660;6,0479;0,1481
4,660;3,1831;0,2303
4,660;5,7296;0,0516
5,180;6,3662;0,1098
5,180;4,1380;0,1361
5,180;3,8197;0,1369
5,180;4,7746;0,0998
5,180;5,7296;0,0578
5,180;5,7296;0,0637
5,180;5,7296;0,1193
5,180;3,5014;0,1821
5,180;4,7746;0,1535
5,180;5,4113;0,1366
5,180;3,1831;0,1828
5,180;5,7296;0,0768
5,700;6,0479;0,1243
5,700;3,1831;0,1552
5,700;3,5014;0,1578
5,700;4,4563;0,1601
5,700;5,0930;0,1202
5,700;5,7296;0,1005
5,700;5,7296;0,1571
5,700;5,0930;0,1095
5,700;3,1831;0,2253
5,700;4,1380;0,1940
5,700;5,4113;0,1171
5,700;5,0930;0,0721
6,200;6,3662;0,1434
6,200;4,1380;0,2047
6,200;2,5465;0,2998
6,200;4,4563;0,1770
6,200;5,4113;0,0910
6,200;5,0930;0,0793
6,200;5,4113;0,1695
6,200;5,7296;0,1083
6,200;2,8648;0,2745
6,200;4,1380;0,2216
6,200;5,0930;0,0678
6,200;5,4113;0,0344
6,720;5,7296;0,1116
6,720;3,8197;0,1405
6,720;4,1380;0,1434
6,720;5,0930;0,1335
6,720;6,0479;0,0864
6,720;5,4113;0,0661
6,720;4,7746;0,1358
6,720;4,4563;0,0594
6,720;2,8648;0,1962
6,720;5,4113;0,0588
6,720;5,7296;0,0993
6,720;5,4113;0,0524
7,220;5,4113;0,1932
7,220;2,2282;0,3670
7,220;3,1831;0,1959
7,220;3,1831;0,2675
7,220;4,7746;0,2320
7,220;5,7296;0,1054
7,220;4,7746;0,0932
7,220;4,1380;0,2539
7,220;5,0930;0,1490
7,220;5,4113;0,0813
