agentId;time;posX;posZ;speed
92;0,1100;-1,9576;0,7188;0,9921
90;0,1100;0,5441;-0,3425;1,1022
87;0,1100;0,6774;1,3268;1,0256
81;0,1100;-0,0226;0,3921;0,4439
78;0,1100;2,3131;0,8086;0,0819
76;0,1100;1,5140;1,4266;0,5184
74;0,1100;1,2850;0,1808;0,2797
71;0,1100;1,6008;-0,3640;0,4009
68;0,1100;0,7970;0,6296;0,2148
64;0,1100;2,0973;-0,1508;0,1275
62;0,1100;-1,8319;0,1209;0,2791
59;0,1100;-1,4118;0,6835;0,4854
58;0,1100;1,2957;0,9381;0,7111
53;0,1100;-1,7343;1,3207;0,2514
46;0,1100;-2,4544;0,4737;0,8938
44;0,1100;-2,2289;-0,2216;0,4145
42;0,1100;-2,1872;1,2166;0,4621
41;0,1100;1,8070;0,6760;0,2553
36;0,1100;0,2157;1,0019;0,2912
34;0,1100;-0,2692;0,7660;0,4450
32;0,1100;1,0776;1,6936;0,3638
30;0,1100;1,0674;-0,3130;0,6381
27;0,1100;-2,6724;1,2574;0,6479
19;0,1100;-0,7018;1,0553;0,1395
18;0,1100;-1,2482;1,1952;0,7877
16;0,1100;2,3755;1,4793;0,2758
13;0,1100;-1,0954;0,2603;0,3868
8;0,1100;0,1451;-0,0360;0,5269
3;0,1100;-1,0723;-0,2357;0,9083
92;0,2200;-1,8755;0,6418;1,0235
90;0,2200;0,6159;-0,5010;1,5819
87;0,2200;0,6734;1,1682;1,4419
81;0,2200;-0,0318;0,3973;0,0963
78;0,2200;2,3197;0,8156;0,0874
76;0,2200;1,6159;1,4021;0,9529
74;0,2200;1,2906;0,2053;0,2284
71;0,2200;1,6054;-0,4604;0,8774
68;0,2200;0,7649;0,5660;0,6474
66;0,2200;0,1258;1,6647;1,3866
64;0,2200;2,1091;-0,1825;0,3080
62;0,2200;-1,7726;0,0916;0,6006
59;0,2200;-1,4303;0,7148;0,3303
58;0,2200;1,2485;0,8320;1,0556
53;0,2200;-1,6767;1,3641;0,6553
46;0,2200;-2,4734;0,3132;1,4690
44;0,2200;-2,2514;-0,3116;0,8437
42;0,2200;-2,2025;1,2381;0,2401
41;0,2200;1,7806;0,6197;0,5648
36;0,2200;0,2459;0,9863;0,3088
