time;agentIdA;agentIdB;type
0,0000;14;23;Agent
0,0000;21;66;Agent
1,0300;64;-1;Wall
1,0400;64;-1;Wall
1,0500;3;-1;Wall
1,0500;64;-1;Wall
1,0600;3;-1;Wall
1,0600;64;-1;Wall
1,0700;3;-1;Wall
1,0700;64;-1;Wall
1,0800;3;-1;Wall
1,0900;3;-1;Wall
1,1000;3;-1;Wall
1,2700;18;59;Agent
1,2800;18;59;Agent
1,2900;18;59;Agent
1,4000;13;-1;Wall
1,4100;13;-1;Wall
1,4200;13;-1;Wall
1,4300;13;-1;Wall
1,4400;13;-1;Wall
1,4600;44;-1;Wall
1,4700;44;-1;Wall
1,4800;44;-1;Wall
1,9700;13;-1;Wall
1,9800;13;-1;Wall
1,9900;13;-1;Wall
2,0000;13;-1;Wall
2,0100;13;-1;Wall
2,0200;13;-1;Wall
2,0300;13;-1;Wall
2,0400;13;-1;Wall
2,0500;13;-1;Wall
2,1300;13;-1;Wall
2,1400;13;-1;Wall
2,1800;40;-1;Wall
2,2100;44;-1;Wall
2,2200;44;-1;Wall
2,2300;44;-1;Wall
2,2400;44;-1;Wall
2,3100;30;-1;Wall
2,3100;71;-1;Wall
2,3200;30;-1;Wall
2,3200;71;-1;Wall
2,3300;30;-1;Wall
2,3300;71;-1;Wall
2,3400;30;-1;Wall
2,3400;71;-1;Wall
2,3500;30;-1;Wall
2,3500;71;-1;Wall
2,3600;30;-1;Wall
2,3600;71;-1;Wall
2,3700;13;-1;Wall
2,3800;13;-1;Wall
2,3900;13;-1;Wall
2,4000;13;-1;Wall
2,4100;13;-1;Wall
2,4200;13;-1;Wall
2,4300;13;-1;Wall
2,6200;30;-1;Wall
2,6300;30;-1;Wall
2,6400;30;-1;Wall
2,6500;30;-1;Wall
2,8600;13;-1;Wall
2,8700;13;-1;Wall
2,8800;13;-1;Wall
2,8900;13;-1;Wall
2,9000;13;-1;Wall
2,9100;13;-1;Wall
2,9200;13;-1;Wall
2,9300;13;-1;Wall
2,9700;13;-1;Wall
2,9800;13;-1;Wall
2,9900;13;-1;Wall
3,0000;13;-1;Wall
3,0100;13;-1;Wall
3,0200;13;-1;Wall
3,1300;30;-1;Wall
3,1400;30;-1;Wall
3,1500;30;-1;Wall
3,1600;30;-1;Wall
3,1700;30;-1;Wall
3,3200;30;-1;Wall
3,3300;30;-1;Wall
3,3400;30;-1;Wall
3,3500;30;-1;Wall
3,3600;30;-1;Wall
3,3700;30;-1;Wall
3,6000;34;-1;Wall
3,6100;34;-1;Wall
3,6200;34;-1;Wall
3,6300;34;-1;Wall
3,6400;34;-1;Wall
3,6500;34;-1;Wall
3,7000;18;34;Agent
3,7100;18;34;Agent
3,7200;18;34;Agent
3,7300;18;34;Agent
4,1100;74;-1;Wall
4,1200;74;-1;Wall
4,1300;74;-1;Wall
4,1400;74;-1;Wall
4,1500;30;34;Agent
4,1500;74;-1;Wall
4,1600;30;34;Agent
4,1700;30;34;Agent
4,2100;74;87;Agent
4,2200;30;-1;Wall
4,2200;74;87;Agent
4,2300;30;-1;Wall
4,2300;74;87;Agent
4,2400;30;-1;Wall
4,2500;30;-1;Wall
4,2600;30;-1;Wall
5,1000;74;-1;Wall
5,1100;74;-1;Wall
5,1200;74;-1;Wall
5,1300;74;-1;Wall
5,1400;74;-1;Wall
5,1500;74;-1;Wall
5,9900;74;-1;Wall
6,0000;74;-1;Wall
6,0100;74;-1;Wall
6,5600;74;-1;Wall
6,5700;74;-1;Wall
6,5800;74;-1;Wall
6,5900;74;-1;Wall
6,6000;74;-1;Wall
6,6100;74;-1;Wall
6,8500;62;-1;Wall
6,8600;62;-1;Wall
6,8700;62;-1;Wall
6,8800;62;-1;Wall
6,8900;62;-1;Wall
6,9000;62;-1;Wall
6,9100;62;-1;Wall
7,6200;62;-1;Wall
7,6300;62;-1;Wall
7,6400;62;-1;Wall
7,6500;62;-1;Wall
7,6900;71;-1;Wall
7,7000;71;-1;Wall
7,7100;71;-1;Wall
7,7200;71;-1;Wall
7,7300;71;-1;Wall
7,7400;71;-1;Wall
7,7500;71;-1;Wall
8,0900;87;-1;Wall
8,1000;87;-1;Wall
8,1100;87;-1;Wall
8,1200;87;-1;Wall
8,3600;62;77;Agent
8,3700;62;77;Agent
8,3800;62;77;Agent
8,3900;62;77;Agent
8,4900;62;-1;Wall
8,5000;62;-1;Wall
8,5100;62;-1;Wall
8,5200;62;-1;Wall
8,5300;62;-1;Wall
9,1400;62;-1;Wall
9,1500;62;-1;Wall
9,1600;62;-1;Wall
9,1700;62;-1;Wall
9,1800;62;-1;Wall
11,1800;62;-1;Wall
11,1900;62;-1;Wall
11,2000;62;-1;Wall
11,2100;62;-1;Wall
12,0400;71;-1;Wall
12,0500;71;-1;Wall
12,0600;71;-1;Wall
12,0700;71;-1;Wall
12,0800;71;-1;Wall
13,1600;53;-1;Wall
13,1700;53;-1;Wall
13,1800;53;-1;Wall
15,1200;44;91;Agent
15,1300;44;91;Agent
15,1400;44;91;Agent
15,1700;44;-1;Wall
15,1800;44;-1;Wall
15,1900;44;-1;Wall
15,2000;44;-1;Wall
15,2100;44;-1;Wall
15,8900;58;-1;Wall
15,9000;58;-1;Wall
15,9100;58;-1;Wall
15,9200;58;-1;Wall
15,9300;58;-1;Wall
15,9400;58;-1;Wall
18,3800;44;69;Agent
18,3900;44;69;Agent
18,4000;44;69;Agent
18,5000;44;-1;Wall
18,5100;44;-1;Wall
18,5200;44;-1;Wall
