time;evacuated_count
1,120;1
1,520;2
1,720;3
1,980;4
2,360;5
2,400;6
2,700;7
2,860;8
3,220;9
3,400;10
3,600;11
4,200;12
4,560;13
4,960;14
5,200;15
5,260;16
5,500;17
5,900;18
6,240;19
6,440;20
6,780;21
7,020;22
7,300;23
7,820;24
8,160;25
8,520;26
8,820;27
9,320;28
9,760;29
10,100;30
10,360;31
10,780;32
11,220;33
11,560;34
12,040;35
12,520;36
12,940;37
13,480;38
13,640;39
14,100;40
14,840;41
15,180;42
15,620;43
16,040;44
16,340;45
16,980;46
17,360;47
17,760;48
18,140;49
18,480;50
19,000;51
19,300;52
19,660;53
20,020;54
20,460;55
20,780;56
21,460;57
21,960;58
22,820;59
23,640;60
24,200;61
24,700;62
25,600;63
25,960;64
26,520;65
27,860;66
29,220;67
30,080;68
31,020;69
31,640;70
32,480;71
32,980;72
34,000;73
35,120;74
36,940;75
37,800;76
38,640;77
40,700;78
41,380;79
42,260;80
43,880;81
45,460;82
47,740;83
49,420;84
50,820;85
53,380;86
56,420;87
58,820;88
62,220;89
65,160;90
68,200;91
71,840;92
76,920;93
