time;density;speed
0,520;2,1486;0,7441
0,520;1,9099;0,5572
0,520;1,3528;0,8646
0,520;2,6261;0,4321
0,520;1,5915;0,7482
0,520;1,3528;0,5900
0,520;2,3873;0,7025
0,520;2,2282;0,2575
0,520;2,1486;0,3638
0,520;2,4669;0,3646
0,520;2,7056;0,4404
0,520;1,8303;0,8528
0,520;2,4669;0,5467
0,520;2,6261;0,6410
0,520;1,9894;0,8488
0,520;2,0690;0,5451
0,520;2,5465;0,5459
0,520;2,4669;0,6923
0,520;1,7507;0,7512
0,520;2,6261;0,4265
0,520;1,7507;0,5842
0,520;1,6711;0,8406
0,520;1,6711;0,6329
0,520;2,6261;0,5964
0,520;2,5465;0,7027
0,520;2,5465;0,6469
0,520;1,6711;0,8860
0,520;2,2282;0,8042
0,520;2,6261;0,4556
0,520;2,0690;0,4317
0,520;2,0690;0,4782
0,520;2,7056;0,3873
0,520;1,9894;0,8721
0,520;2,0690;0,6711
0,520;2,7056;0,5117
0,520;2,3077;0,7663
0,520;1,2732;0,6234
1,040;2,2282;0,9516
1,040;1,9099;0,6922
1,040;2,8648;0,6291
1,040;2,4669;0,4058
1,040;1,8303;0,8453
1,040;2,1486;0,4722
1,040;2,7056;0,6640
1,040;1,6711;0,6874
1,040;2,6261;1,0032
1,040;2,5465;0,5614
1,040;2,3077;0,5214
1,040;2,5465;0,6781
1,040;3,0239;0,8275
1,040;2,0690;0,9828
1,040;2,7852;0,7896
1,040;2,6261;0,8274
1,040;2,7852;0,8756
1,040;1,9099;0,9925
1,040;2,0690;0,8093
1,040;2,9444;0,7358
1,040;2,3077;0,5580
1,040;2,4669;0,9116
1,040;1,9099;0,8566
1,040;2,7852;0,6869
1,040;2,8648;0,7216
1,040;1,8303;0,7234
1,040;1,9894;0,9800
1,040;1,8303;0,8231
1,040;2,9444;0,9097
1,040;2,7056;0,9565
1,040;2,7056;0,9418
1,040;2,0690;0,9783
1,040;2,7852;0,5324
1,040;2,4669;1,0095
1,040;3,1831;0,7656
1,040;2,3077;0,6235
1,040;2,3873;0,7132
1,040;2,8648;0,6741
1,040;2,1486;0,8799
1,040;2,7056;0,7680
1,040;2,3077;0,8373
1,040;2,7852;0,6227
1,040;2,9444;0,8680
1,040;2,5465;1,0082
1,040;1,5915;0,7277
1,560;2,7852;0,7879
1,560;2,2282;0,6544
1,560;2,3077;0,5527
1,560;3,0239;0,6624
1,560;2,8648;0,4987
1,560;3,1035;0,6815
1,560;2,4669;0,7306
1,560;2,7852;0,5563
1,560;2,3873;0,5770
1,560;3,5014;0,6704
1,560;1,7507;0,4971
1,560;2,8648;0,7942
1,560;2,7056;0,5998
1,560;2,4669;0,5171
1,560;2,3873;0,4642
1,560;2,8648;0,6996
1,560;3,5014;0,7826
1,560;2,6261;0,7733
1,560;3,6606;0,7860
1,560;3,0239;0,8030
1,560;1,6711;0,4943
1,560;2,5465;0,6400
1,560;3,1035;0,7913
1,560;2,7056;0,7369
1,560;3,2627;0,7137
1,560;2,9444;0,5799
1,560;2,7056;0,7418
1,560;2,4669;0,6480
1,560;3,0239;0,7398
1,560;3,4218;0,7586
1,560;3,2627;0,7363
1,560;2,1486;0,6324
1,560;2,7852;0,6198
1,560;2,5465;0,7196
1,560;2,3873;0,6428
1,560;3,1035;0,7926
1,560;3,0239;0,8296
1,560;2,4669;0,5431
1,560;3,2627;0,8283
1,560;2,4669;0,7599
1,560;3,3423;0,5430
1,560;2,9444;0,7865
1,560;3,3423;0,7732
1,560;2,4669;0,6579
1,560;2,6261;0,6512
1,560;3,0239;0,6269
1,560;3,2627;0,6415
1,560;2,5465;0,7300
1,560;3,3423;0,7602
1,560;2,7056;0,7203
1,560;2,4669;0,4537
1,560;3,3423;0,6438
1,560;3,2627;0,8042
1,560;2,8648;0,8248
1,560;2,3077;0,6460
2,080;3,4218;0,5569
2,080;2,3077;0,3973
2,080;2,3873;0,4221
2,080;3,5014;0,5429
2,080;1,8303;0,4555
2,080;3,5014;0,4623
2,080;3,8197;0,5721
2,080;3,0239;0,5205
2,080;2,9444;0,4888
2,080;3,3423;0,5088
2,080;3,8993;0,5678
2,080;3,0239;0,4702
2,080;3,0239;0,4912
2,080;2,6261;0,4436
2,080;3,1831;0,4652
2,080;3,4218;0,5563
2,080;3,5810;0,5808
2,080;3,1035;0,5373
2,080;3,9789;0,5998
2,080;3,5014;0,5496
2,080;2,0690;0,4056
2,080;3,3423;0,5743
2,080;2,3077;0,4948
2,080;3,3423;0,5501
2,080;2,4669;0,4287
2,080;2,9444;0,5843
2,080;3,1831;0,5267
2,080;3,5014;0,5729
2,080;3,1831;0,4792
2,080;3,1831;0,5101
2,080;2,3077;0,4922
2,080;2,7852;0,4784
2,080;3,9789;0,5761
2,080;4,0585;0,6061
2,080;2,7056;0,5853
2,080;3,7401;0,6019
2,080;2,5465;0,4313
2,080;3,8197;0,5539
2,080;2,4669;0,4724
2,080;3,4218;0,5471
2,080;3,8197;0,5876
2,080;3,1035;0,4992
2,080;3,8197;0,5693
2,080;3,1035;0,4990
2,080;3,5014;0,4818
2,080;2,5465;0,4722
2,080;2,8648;0,4893
2,080;3,5810;0,5799
2,080;2,2282;0,5890
2,080;2,7852;0,4802
2,080;3,1035;0,5076
2,080;3,8197;0,5359
2,080;1,9099;0,5347
2,080;3,6606;0,5546
2,080;3,1035;0,5206
2,080;3,9789;0,5661
2,080;3,1035;0,4994
2,080;2,8648;0,4192
