time;agentId;headwayDistance;headwayVelocity
0,2600;92;0,4721;0,3303
0,2600;90;0,4341;0,9722
0,2600;87;0,4672;0,3088
0,2600;81;0,5187;0,7999
0,2600;78;0,5589;0,6894
0,2600;76;0,5318;0,0000
0,2600;74;0,5977;1,0556
0,2600;71;0,5775;0,9722
0,2600;68;0,5554;1,0556
0,2600;66;0,5169;0,4780
0,2600;64;0,5927;0,8774
0,2600;62;0,5595;1,0235
0,2600;59;0,4721;1,0235
0,2600;58;0,5554;0,6474
0,2600;53;0,4732;0,0000
0,2600;46;0,6214;0,0000
0,2600;44;0,6404;1,4690
0,2600;42;0,5229;0,7721
0,2600;41;0,5776;1,0556
0,2600;36;0,4672;1,4419
0,2600;35;0,5752;1,1937
0,2600;34;0,4192;0,2809
0,2600;32;0,5142;0,0000
0,2600;30;0,4341;1,5819
0,2600;29;0,5117;0,0000
0,2600;27;0,4476;0,0000
0,2600;19;0,4008;1,1937
0,2600;18;0,4008;0,2809
0,2600;16;0,5546;0,0000
0,2600;13;0,6672;0,3303
0,2600;8;0,5915;0,0963
0,2600;3;0,6690;0,7888
0,5200;92;0,5557;1,2256
0,5200;90;0,6033;1,3956
0,5200;87;0,5131;0,6645
0,5200;85;0,6062;0,0000
0,5200;81;0,5278;1,2575
0,5200;78;0,5108;0,9221
0,5200;76;0,5594;0,9221
0,5200;74;0,6067;0,6645
0,5200;71;0,5433;0,8606
0,5200;70;0,4985;0,9311
0,5200;68;0,5292;1,0750
0,5200;66;0,5443;0,9205
0,5200;64;0,5336;0,0000
0,5200;62;0,7217;0,8536
0,5200;59;0,5484;0,2931
0,5200;58;0,5131;1,0109
0,5200;53;0,4417;0,2931
0,5200;49;0,5778;1,2666
0,5200;46;0,5877;1,2666
0,5200;44;0,5778;0,0000
0,5200;42;0,5557;0,8536
0,5200;41;0,5697;0,6508
0,5200;40;0,5336;0,7000
0,5200;39;0,4840;0,0000
0,5200;36;0,5429;1,2575
0,5200;35;0,4600;0,0000
0,5200;34;0,5278;1,0750
0,5200;32;0,5505;1,0109
0,5200;30;0,5433;1,2936
0,5200;29;0,4722;0,5156
0,5200;27;0,5824;0,4891
0,5200;19;0,4722;1,3882
0,5200;18;0,4417;1,1184
0,5200;16;0,5073;0,0000
0,5200;13;0,6742;1,2575
0,5200;10;0,4985;0,4891
0,5200;8;0,6033;1,6921
0,5200;3;0,8358;1,0746
0,7800;92;0,5790;1,3559
0,7800;90;0,4677;1,9245
0,7800;87;0,5461;1,3132
0,7800;85;0,5790;1,2861
0,7800;81;0,4677;0,9443
0,7800;78;0,5204;1,3180
0,7800;76;0,5449;1,1436
0,7800;74;0,5640;0,7858
0,7800;71;0,4356;0,9639
0,7800;70;0,5473;0,0000
0,7800;68;0,5224;0,9443
0,7800;66;0,6391;1,2105
0,7800;64;0,4356;0,7214
0,7800;62;0,5923;0,6703
0,7800;59;0,6639;1,2648
0,7800;58;0,5449;1,3930
0,7800;53;0,5349;1,0532
0,7800;49;0,5154;0,0000
0,7800;46;0,5191;0,6491
0,7800;44;0,5312;1,4042
0,7800;42;0,5349;0,9916
0,7800;41;0,5350;1,2995
0,7800;40;0,4744;0,9639
0,7800;39;0,5248;0,6434
0,7800;36;0,5288;1,4986
0,7800;35;0,5360;0,7959
0,7800;34;0,5222;1,4958
0,7800;32;0,5701;0,6434
0,7800;30;0,5615;0,7214
0,7800;29;0,5292;0,0000
0,7800;27;0,5501;1,3232
0,7800;21;0,5116;0,0000
0,7800;19;0,5288;1,3132
0,7800;18;0,5493;1,4986
0,7800;16;0,5601;1,0914
0,7800;13;0,5124;0,6703
0,7800;10;0,5480;0,9916
0,7800;8;0,5719;1,9245
0,7800;7;0,5248;1,0914
0,7800;3;0,5124;1,4958
1,0400;92;0,4748;0,9779
1,0400;90;0,4245;0,5783
1,0400;87;0,5205;1,5383
1,0400;85;0,6019;0,9779
1,0400;81;0,4329;0,7995
1,0400;78;0,4997;0,9248
1,0400;77;0,5052;0,9312
1,0400;76;0,6015;1,5061
1,0400;75;0,5778;0,0000
1,0400;74;0,4617;0,4152
1,0400;71;0,5147;0,4954
1,0400;70;0,5770;0,7864
1,0400;68;0,4617;0,4954
1,0400;66;0,5477;1,4831
1,0400;64;0,4659;0,9248
1,0400;62;0,3880;1,3794
1,0400;59;0,5742;0,8419
1,0400;58;0,4707;0,4954
1,0400;53;0,5848;1,0829
1,0400;49;0,5231;0,9779
1,0400;46;0,4575;1,3794
1,0400;44;0,3880;0,8419
1,0400;42;0,5897;1,1770
1,0400;41;0,5477;0,9248
1,0400;40;0,4659;1,4007
1,0400;39;0,5653;1,1500
1,0400;36;0,5093;0,9481
1,0400;35;0,5848;1,2645
1,0400;34;0,4645;1,0047
1,0400;32;0,5788;1,4854
1,0400;30;0,4245;0,9697
1,0400;29;0,6529;1,0446
1,0400;27;0,5947;1,4985
1,0400;21;0,5129;1,4831
1,0400;19;0,5353;1,4476
1,0400;18;0,5353;1,0446
1,0400;17;0,5852;1,4985
1,0400;16;0,5653;1,1813
1,0400;13;0,4980;1,0961
1,0400;10;0,5770;1,4985
