time;density;specific_flow
0,110;0,0000;0,0000
0,220;0,0000;0,0000
0,330;1,2732;1,7034
0,440;1,2732;1,7769
0,550;2,5465;2,5371
0,660;2,5465;3,1814
0,770;3,8197;5,5060
0,880;3,8197;3,6850
0,990;3,8197;3,5320
1,100;2,5465;1,6839
1,210;2,5465;0,8625
1,310;3,8197;2,9626
1,420;5,0930;2,8186
1,530;5,0930;2,4888
1,640;3,8197;2,7229
1,740;3,8197;3,1420
1,850;2,5465;1,5196
1,960;3,8197;3,4797
2,070;5,0930;2,7087
2,180;5,0930;3,0610
2,290;3,8197;1,5745
2,400;5,0930;2,4564
2,500;5,0930;3,3013
2,610;5,0930;3,1241
2,720;5,0930;4,0041
2,830;3,8197;2,4290
2,940;3,8197;2,4420
3,050;3,8197;2,6682
3,160;5,0930;3,0917
3,270;5,0930;4,2563
3,380;5,0930;3,7576
3,480;6,3662;5,0342
3,590;5,0930;4,0789
3,700;5,0930;3,0329
3,810;5,0930;3,1053
3,920;5,0930;2,7281
4,030;5,0930;3,3676
4,140;5,0930;3,9565
4,250;5,0930;3,6680
4,360;3,8197;2,6315
4,470;3,8197;2,4998
4,580;5,0930;3,8638
4,690;5,0930;3,5579
4,800;5,0930;3,5487
4,900;5,0930;3,4691
5,010;3,8197;1,6590
5,120;3,8197;1,5134
5,230;5,0930;1,6589
5,340;5,0930;1,6762
5,450;5,0930;1,9234
5,560;6,3662;2,5868
5,670;6,3662;4,2535
5,780;5,0930;3,5429
5,890;3,8197;1,1395
6,000;3,8197;1,4521
6,110;5,0930;2,1820
6,220;5,0930;3,0317
6,330;5,0930;2,8783
6,440;3,8197;1,2275
6,550;3,8197;1,0349
6,660;3,8197;0,8483
6,770;3,8197;0,7715
6,880;2,5465;0,8622
6,990;2,5465;1,1658
7,100;2,5465;1,8970
7,210;2,5465;2,1728
7,320;3,8197;3,1233
7,430;3,8197;3,6380
7,540;3,8197;2,9018
7,650;3,8197;2,5011
7,760;2,5465;0,3551
7,870;3,8197;1,9716
7,980;3,8197;3,2479
8,090;3,8197;3,3387
8,200;5,0930;4,0764
8,300;3,8197;3,2449
8,410;3,8197;2,5510
8,520;3,8197;2,1705
8,620;3,8197;2,3475
8,730;3,8197;1,8513
8,830;5,0930;2,8366
8,940;5,0930;2,8613
9,050;3,8197;1,1407
