metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM
total_agents;93
rset_100s;76,92
rset_95s;58,82
rset_90s;47,74
rset_50s;16,98
mean_speed_ms;0,243
std_speed_ms;0,2493
max_speed_ms;1,9483
mean_exit_density_pm2;3,6153
peak_exit_density_pm2;7,6394
mean_global_density_pm2;2,0277
specific_flow_mean_pms;1,415
specific_flow_peak_pms;6,2554
throughput_ps;1,209
throughput_ExitZone_ps;1,209
collisions_agent_agent;9
collisions_agent_wall;17
mean_headway_m;0,4718
min_headway_m;0,2901
std_headway_m;0,0724
