time;agentId;exitId
0,5800;90;ExitZone
1,1400;58;ExitZone
1,6200;38;ExitZone
2,1200;24;ExitZone
2,1600;77;ExitZone
2,4000;35;ExitZone
2,8400;4;ExitZone
3,1000;31;ExitZone
3,3000;30;ExitZone
3,5200;72;ExitZone
3,7000;34;ExitZone
4,0400;5;ExitZone
4,3000;70;ExitZone
4,9400;84;ExitZone
5,2000;15;ExitZone
5,4000;45;ExitZone
5,9000;16;ExitZone
6,0600;71;ExitZone
6,3400;41;ExitZone
6,5800;93;ExitZone
6,9200;80;ExitZone
7,4000;50;ExitZone
7,7000;44;ExitZone
8,0400;83;ExitZone
8,5600;9;ExitZone
9,0600;68;ExitZone
9,3200;19;ExitZone
9,6600;73;ExitZone
10,1000;76;ExitZone
10,4400;17;ExitZone
10,7200;3;ExitZone
11,2600;1;ExitZone
11,5400;53;ExitZone
11,9600;81;ExitZone
12,4000;52;ExitZone
12,6000;55;ExitZone
12,8800;61;ExitZone
13,3400;60;ExitZone
13,6800;63;ExitZone
14,0800;40;ExitZone
14,6600;89;ExitZone
14,9400;27;ExitZone
16,1800;82;ExitZone
16,4400;86;ExitZone
16,9600;23;ExitZone
17,4400;28;ExitZone
17,8800;48;ExitZone
18,3000;74;ExitZone
18,7000;32;ExitZone
19,2800;88;ExitZone
19,6800;21;ExitZone
20,4800;51;ExitZone
21,3000;79;ExitZone
21,7400;43;ExitZone
22,2800;18;ExitZone
22,6400;13;ExitZone
23,0800;64;ExitZone
23,4400;49;ExitZone
24,4400;7;ExitZone
25,1800;67;ExitZone
25,5600;12;ExitZone
26,1400;20;ExitZone
27,1000;29;ExitZone
28,0200;57;ExitZone
29,2000;69;ExitZone
30,2000;10;ExitZone
30,7400;36;ExitZone
31,3600;75;ExitZone
32,6200;91;ExitZone
33,7400;66;ExitZone
34,3000;46;ExitZone
35,2200;62;ExitZone
35,9600;22;ExitZone
36,8200;25;ExitZone
37,6000;33;ExitZone
38,3600;47;ExitZone
39,9800;56;ExitZone
40,8600;92;ExitZone
42,4000;39;ExitZone
43,1600;42;ExitZone
44,6200;14;ExitZone
46,1800;2;ExitZone
48,7200;78;ExitZone
51,0800;26;ExitZone
52,3000;37;ExitZone
55,2400;6;ExitZone
57,2200;59;ExitZone
60,7400;8;ExitZone
62,5800;65;ExitZone
68,3600;11;ExitZone
70,9400;85;ExitZone
75,2600;54;ExitZone
81,0400;87;ExitZone
