time;agentIdA;agentIdB;type
0,0600;19;21;Agent
0,0600;22;26;Agent
0,0600;22;29;Agent
0,0600;10;14;Agent
0,0600;11;19;Agent
0,0800;26;31;Agent
0,0800;19;21;Agent
0,0800;22;26;Agent
0,0800;22;29;Agent
0,0800;10;14;Agent
0,0800;11;19;Agent
0,1000;26;31;Agent
0,1000;19;21;Agent
0,1000;22;26;Agent
0,1000;22;29;Agent
0,1000;10;14;Agent
0,1000;11;19;Agent
0,1200;26;31;Agent
0,1200;19;21;Agent
0,1200;22;26;Agent
0,1200;22;29;Agent
0,1200;10;14;Agent
0,1200;11;19;Agent
0,1400;26;31;Agent
0,1400;10;14;Agent
0,1400;11;19;Agent
0,1600;26;31;Agent
0,1600;29;34;Agent
0,1800;29;34;Agent
0,2000;29;34;Agent
0,2200;14;22;Agent
0,2400;14;22;Agent
0,2600;14;22;Agent
0,5200;36;-1;Wall
0,5400;36;-1;Wall
0,5600;36;-1;Wall
0,5800;31;36;Agent
0,5800;36;-1;Wall
0,6000;31;36;Agent
0,6000;36;-1;Wall
0,6200;31;36;Agent
0,6200;36;-1;Wall
0,6400;36;-1;Wall
0,6600;36;-1;Wall
0,6600;38;40;Agent
0,6800;38;40;Agent
0,7000;28;31;Agent
0,7000;31;36;Agent
0,7000;38;40;Agent
0,7200;28;31;Agent
0,7200;31;36;Agent
0,7200;34;-1;Wall
0,7200;38;40;Agent
0,7400;31;36;Agent
0,7400;38;40;Agent
0,7600;38;40;Agent
0,8000;32;-1;Wall
0,8200;32;-1;Wall
0,8200;18;38;Agent
0,8600;36;-1;Wall
0,8800;36;-1;Wall
0,9000;36;-1;Wall
0,9200;36;-1;Wall
0,9600;29;-1;Wall
0,9800;29;-1;Wall
0,9800;35;-1;Wall
0,9800;36;-1;Wall
1,0000;27;-1;Wall
1,0000;29;-1;Wall
1,0000;35;-1;Wall
1,0000;36;-1;Wall
1,0200;27;-1;Wall
1,0200;35;-1;Wall
1,0200;36;-1;Wall
1,0200;22;29;Agent
1,0400;23;35;Agent
1,0400;25;-1;Wall
1,0400;35;-1;Wall
1,0400;36;-1;Wall
1,0400;22;29;Agent
1,0600;23;35;Agent
1,0600;25;-1;Wall
1,0600;36;-1;Wall
1,0800;23;35;Agent
1,0800;29;-1;Wall
1,1000;29;-1;Wall
1,1000;32;-1;Wall
1,1000;18;23;Agent
1,1200;29;-1;Wall
1,1200;32;-1;Wall
1,1200;34;-1;Wall
1,1200;18;23;Agent
1,1400;29;-1;Wall
1,1400;32;-1;Wall
1,1400;34;-1;Wall
1,1600;32;-1;Wall
1,1600;22;29;Agent
1,1800;22;29;Agent
1,2000;28;32;Agent
1,2000;22;29;Agent
1,2200;36;-1;Wall
1,2400;32;-1;Wall
1,2400;36;-1;Wall
1,2600;32;-1;Wall
1,2600;36;-1;Wall
1,2800;32;-1;Wall
1,2800;36;-1;Wall
1,3000;27;-1;Wall
1,3000;32;-1;Wall
1,3000;36;-1;Wall
1,3200;27;-1;Wall
1,3200;29;-1;Wall
1,3200;36;-1;Wall
1,3200;37;-1;Wall
1,3400;27;-1;Wall
1,3400;29;-1;Wall
1,3400;36;-1;Wall
1,3400;37;-1;Wall
1,3600;29;-1;Wall
1,3600;36;-1;Wall
1,3600;37;-1;Wall
1,3800;35;-1;Wall
1,3800;36;-1;Wall
1,4000;35;-1;Wall
1,4200;35;-1;Wall
1,4600;29;-1;Wall
1,4800;29;-1;Wall
1,4800;34;-1;Wall
1,5000;29;-1;Wall
1,5000;34;-1;Wall
1,5200;29;-1;Wall
1,5200;34;-1;Wall
1,5400;29;-1;Wall
1,5400;34;-1;Wall
1,5600;31;-1;Wall
1,5800;31;-1;Wall
1,6000;31;-1;Wall
1,6600;34;-1;Wall
1,6600;46;49;Agent
1,6800;25;-1;Wall
1,6800;34;-1;Wall
1,6800;46;49;Agent
1,7000;25;-1;Wall
1,7000;27;-1;Wall
1,7000;34;-1;Wall
1,7000;46;49;Agent
1,7200;25;-1;Wall
1,7200;27;-1;Wall
1,7200;34;-1;Wall
1,7400;27;-1;Wall
1,7600;31;-1;Wall
1,7800;31;-1;Wall
1,8000;31;-1;Wall
1,8200;31;-1;Wall
1,8200;52;54;Agent
1,8400;52;54;Agent
1,8600;35;-1;Wall
1,8600;52;54;Agent
1,8800;35;-1;Wall
1,8800;52;54;Agent
1,8800;52;55;Agent
1,8800;53;55;Agent
1,9000;35;-1;Wall
1,9000;52;54;Agent
1,9000;52;55;Agent
1,9000;53;55;Agent
1,9200;35;-1;Wall
1,9200;52;55;Agent
1,9200;53;55;Agent
1,9400;52;55;Agent
1,9400;53;55;Agent
1,9600;31;-1;Wall
1,9600;52;55;Agent
1,9600;53;55;Agent
1,9800;31;-1;Wall
1,9800;52;55;Agent
1,9800;53;55;Agent
2,0000;31;-1;Wall
2,0000;52;55;Agent
2,0000;53;55;Agent
2,0200;53;55;Agent
2,0400;12;57;Agent
2,0600;12;57;Agent
2,0800;32;-1;Wall
2,0800;22;-1;Wall
2,0800;12;57;Agent
2,1000;32;-1;Wall
2,1000;22;-1;Wall
2,1000;12;57;Agent
2,1200;32;-1;Wall
2,1200;12;57;Agent
2,1400;32;-1;Wall
2,1400;12;57;Agent
2,1600;31;-1;Wall
2,1600;12;57;Agent
2,1600;51;57;Agent
2,1800;31;-1;Wall
2,1800;12;57;Agent
2,1800;14;22;Agent
2,1800;51;57;Agent
2,2000;31;-1;Wall
2,2000;14;22;Agent
2,2200;31;-1;Wall
2,2200;35;-1;Wall
2,2400;27;-1;Wall
2,2400;35;-1;Wall
2,2600;27;-1;Wall
2,2600;35;-1;Wall
2,2800;25;-1;Wall
2,2800;27;-1;Wall
2,2800;32;-1;Wall
2,2800;35;-1;Wall
2,2800;22;-1;Wall
2,3000;24;-1;Wall
2,3000;25;-1;Wall
2,3000;32;-1;Wall
2,3000;22;-1;Wall
2,3200;24;-1;Wall
2,3200;32;-1;Wall
2,3200;22;-1;Wall
2,3400;24;-1;Wall
2,3400;12;24;Agent
2,3600;24;-1;Wall
2,3600;12;24;Agent
2,3800;12;24;Agent
2,3800;14;22;Agent
2,4600;28;-1;Wall
2,4800;28;-1;Wall
2,4800;22;-1;Wall
2,5000;23;-1;Wall
2,5000;28;-1;Wall
2,5000;22;-1;Wall
2,5200;23;-1;Wall
2,5200;22;-1;Wall
2,5400;22;-1;Wall
2,5600;15;31;Agent
2,5800;32;-1;Wall
2,5800;15;31;Agent
2,6000;25;-1;Wall
2,6000;32;-1;Wall
2,6200;25;-1;Wall
2,6200;31;-1;Wall
2,6200;32;-1;Wall
2,6400;25;-1;Wall
2,6400;31;-1;Wall
2,6400;32;-1;Wall
2,6600;25;-1;Wall
2,6600;31;-1;Wall
2,6600;22;-1;Wall
2,6800;25;-1;Wall
2,6800;31;-1;Wall
2,6800;22;-1;Wall
2,6800;15;31;Agent
2,7000;25;-1;Wall
2,7000;22;-1;Wall
2,7000;15;31;Agent
2,7200;25;-1;Wall
2,7200;28;-1;Wall
2,7200;22;-1;Wall
2,7400;25;-1;Wall
2,7400;32;-1;Wall
2,7400;22;-1;Wall
2,7600;25;-1;Wall
2,7600;32;-1;Wall
2,7800;25;-1;Wall
2,7800;32;-1;Wall
2,7800;22;-1;Wall
2,8000;25;-1;Wall
2,8000;32;-1;Wall
2,8000;22;-1;Wall
2,8200;25;-1;Wall
2,8200;32;-1;Wall
2,8200;22;-1;Wall
2,8400;25;-1;Wall
2,8400;32;-1;Wall
2,8400;22;-1;Wall
2,8400;14;22;Agent
2,8600;25;-1;Wall
2,8600;32;-1;Wall
2,8600;35;-1;Wall
2,8600;22;-1;Wall
2,8600;14;22;Agent
2,8600;61;66;Agent
2,8800;25;-1;Wall
2,8800;32;-1;Wall
2,8800;35;-1;Wall
2,8800;22;-1;Wall
2,9000;25;-1;Wall
2,9000;32;-1;Wall
2,9000;35;-1;Wall
2,9000;22;-1;Wall
2,9200;21;25;Agent
2,9200;25;-1;Wall
2,9200;32;-1;Wall
2,9200;35;-1;Wall
2,9200;22;-1;Wall
2,9400;21;25;Agent
2,9400;25;-1;Wall
2,9400;32;-1;Wall
2,9400;35;-1;Wall
2,9400;22;-1;Wall
2,9600;21;25;Agent
2,9600;25;-1;Wall
2,9600;27;-1;Wall
2,9600;22;-1;Wall
2,9800;21;25;Agent
2,9800;25;-1;Wall
2,9800;27;-1;Wall
2,9800;34;-1;Wall
2,9800;35;-1;Wall
2,9800;19;-1;Wall
2,9800;22;-1;Wall
2,9800;17;-1;Wall
3,0000;21;25;Agent
3,0000;25;-1;Wall
3,0000;27;-1;Wall
3,0000;28;-1;Wall
3,0000;35;-1;Wall
3,0000;19;-1;Wall
3,0000;22;-1;Wall
3,0000;17;-1;Wall
3,0000;8;13;Agent
3,0200;21;25;Agent
3,0200;25;-1;Wall
3,0200;28;-1;Wall
3,0200;35;-1;Wall
3,0200;19;-1;Wall
3,0200;22;-1;Wall
3,0200;17;-1;Wall
3,0200;8;13;Agent
3,0400;28;-1;Wall
3,0400;35;-1;Wall
3,0400;22;-1;Wall
3,0400;17;-1;Wall
3,0400;8;17;Agent
3,0600;35;-1;Wall
3,0600;22;-1;Wall
3,0600;8;17;Agent
3,0600;66;69;Agent
3,0800;35;-1;Wall
3,0800;22;-1;Wall
3,0800;66;69;Agent
3,1000;35;-1;Wall
3,1000;22;-1;Wall
3,1000;52;70;Agent
3,1000;66;69;Agent
3,1200;25;-1;Wall
3,1200;28;-1;Wall
3,1200;35;-1;Wall
3,1200;46;71;Agent
3,1200;52;70;Agent
3,1200;66;69;Agent
3,1400;25;-1;Wall
3,1400;28;-1;Wall
3,1400;35;-1;Wall
3,1400;1;8;Agent
3,1400;46;71;Agent
3,1400;52;70;Agent
3,1400;66;69;Agent
3,1600;25;-1;Wall
3,1600;28;-1;Wall
3,1600;17;-1;Wall
3,1600;1;8;Agent
3,1600;46;71;Agent
3,1600;52;70;Agent
3,1600;66;69;Agent
3,1800;25;-1;Wall
3,1800;28;-1;Wall
3,1800;17;-1;Wall
3,1800;18;28;Agent
3,1800;46;71;Agent
3,1800;52;70;Agent
3,2000;21;25;Agent
3,2000;25;-1;Wall
3,2000;28;-1;Wall
3,2000;17;-1;Wall
3,2000;18;28;Agent
3,2000;46;71;Agent
3,2000;52;70;Agent
3,2200;21;25;Agent
3,2200;25;-1;Wall
3,2200;28;-1;Wall
3,2200;18;28;Agent
3,2200;46;71;Agent
3,2400;21;25;Agent
3,2400;25;-1;Wall
3,2600;21;25;Agent
3,2600;25;-1;Wall
3,2600;19;-1;Wall
3,2800;21;25;Agent
3,2800;25;-1;Wall
3,2800;28;-1;Wall
3,2800;19;-1;Wall
3,2800;3;21;Agent
3,3000;21;25;Agent
3,3000;25;-1;Wall
3,3000;28;-1;Wall
3,3000;3;21;Agent
3,3200;21;25;Agent
3,3200;25;-1;Wall
3,3200;28;-1;Wall
3,3200;3;21;Agent
3,3400;21;25;Agent
3,3400;25;-1;Wall
3,3400;28;-1;Wall
3,3400;17;-1;Wall
3,3400;3;21;Agent
3,3400;18;28;Agent
3,3600;25;-1;Wall
3,3600;28;-1;Wall
3,3600;17;-1;Wall
3,3600;18;28;Agent
3,3600;14;-1;Wall
3,3800;28;-1;Wall
3,3800;17;-1;Wall
3,3800;14;-1;Wall
3,4000;28;-1;Wall
3,4000;17;-1;Wall
3,4000;14;15;Agent
3,4000;14;-1;Wall
3,4200;28;-1;Wall
3,4200;17;-1;Wall
3,4200;14;15;Agent
3,4400;28;-1;Wall
3,4400;35;-1;Wall
3,4600;28;-1;Wall
3,4600;35;-1;Wall
3,4800;28;-1;Wall
3,4800;35;-1;Wall
3,4800;19;-1;Wall
3,4800;17;-1;Wall
3,5000;28;-1;Wall
3,5000;34;-1;Wall
3,5000;35;38;Agent
3,5000;35;-1;Wall
3,5000;19;-1;Wall
3,5000;17;-1;Wall
3,5200;25;-1;Wall
3,5200;28;-1;Wall
3,5200;32;-1;Wall
3,5200;34;-1;Wall
3,5200;35;38;Agent
3,5200;35;-1;Wall
3,5200;19;-1;Wall
3,5200;17;-1;Wall
3,5400;25;-1;Wall
3,5400;28;-1;Wall
3,5400;32;-1;Wall
3,5400;34;-1;Wall
3,5400;35;38;Agent
3,5400;35;-1;Wall
3,5400;19;-1;Wall
3,5400;18;32;Agent
3,5600;25;-1;Wall
3,5600;28;-1;Wall
3,5600;32;-1;Wall
3,5600;35;-1;Wall
3,5600;19;-1;Wall
3,5600;18;32;Agent
3,5800;25;-1;Wall
3,5800;28;-1;Wall
3,5800;32;-1;Wall
3,5800;35;-1;Wall
3,5800;19;-1;Wall
3,5800;1;7;Agent
3,5800;18;32;Agent
3,5800;14;-1;Wall
3,6000;25;-1;Wall
3,6000;28;-1;Wall
3,6000;32;-1;Wall
3,6000;19;-1;Wall
3,6000;18;32;Agent
3,6000;14;-1;Wall
3,6200;28;-1;Wall
3,6200;32;-1;Wall
3,6200;19;-1;Wall
3,6200;18;32;Agent
3,6200;14;-1;Wall
3,6400;28;-1;Wall
3,6400;32;-1;Wall
3,6400;19;-1;Wall
3,6400;18;32;Agent
3,6400;14;-1;Wall
3,6600;25;-1;Wall
3,6600;28;-1;Wall
3,6600;32;-1;Wall
3,6600;19;-1;Wall
3,6600;7;14;Agent
3,6600;14;-1;Wall
3,6600;9;-1;Wall
3,6800;25;-1;Wall
3,6800;28;-1;Wall
3,6800;32;-1;Wall
3,6800;19;-1;Wall
3,6800;7;14;Agent
3,6800;14;-1;Wall
3,6800;9;-1;Wall
3,7000;25;-1;Wall
3,7000;28;-1;Wall
3,7000;19;-1;Wall
3,7000;7;14;Agent
3,7000;14;-1;Wall
3,7200;28;-1;Wall
3,7200;19;-1;Wall
3,7200;7;14;Agent
3,7200;14;-1;Wall
3,7400;28;-1;Wall
3,7400;19;-1;Wall
3,7400;17;-1;Wall
3,7400;7;14;Agent
3,7600;28;-1;Wall
3,7600;19;-1;Wall
3,7600;17;-1;Wall
3,7600;7;41;Agent
3,7800;28;-1;Wall
3,7800;32;-1;Wall
3,7800;19;-1;Wall
3,7800;17;-1;Wall
3,7800;7;41;Agent
3,8000;28;-1;Wall
3,8000;32;-1;Wall
3,8000;34;-1;Wall
3,8000;7;14;Agent
3,8200;28;-1;Wall
3,8200;32;-1;Wall
3,8200;34;-1;Wall
3,8200;35;-1;Wall
3,8200;8;32;Agent
3,8400;28;-1;Wall
3,8400;32;-1;Wall
3,8400;34;-1;Wall
3,8400;35;-1;Wall
3,8400;8;32;Agent
3,8600;28;-1;Wall
3,8600;32;-1;Wall
3,8600;34;-1;Wall
3,8600;35;-1;Wall
3,8600;7;17;Agent
3,8600;8;32;Agent
3,8800;28;-1;Wall
3,8800;32;-1;Wall
3,9000;28;-1;Wall
3,9200;28;-1;Wall
3,9400;25;-1;Wall
3,9400;28;-1;Wall
3,9400;34;-1;Wall
3,9400;16;-1;Wall
3,9600;25;-1;Wall
3,9600;28;-1;Wall
3,9600;32;-1;Wall
3,9600;34;-1;Wall
3,9600;14;-1;Wall
3,9600;16;-1;Wall
3,9800;25;-1;Wall
3,9800;28;-1;Wall
3,9800;32;-1;Wall
3,9800;34;-1;Wall
3,9800;14;-1;Wall
3,9800;16;-1;Wall
4,0000;25;-1;Wall
4,0000;28;-1;Wall
4,0000;32;-1;Wall
4,0000;34;-1;Wall
4,0000;16;-1;Wall
4,0200;28;-1;Wall
4,0200;32;-1;Wall
4,0200;34;-1;Wall
4,0200;35;-1;Wall
4,0200;16;-1;Wall
4,0400;21;34;Agent
4,0400;28;-1;Wall
4,0400;32;-1;Wall
4,0400;34;-1;Wall
4,0400;35;-1;Wall
4,0600;28;-1;Wall
4,0600;32;-1;Wall
4,0600;34;-1;Wall
4,0600;35;-1;Wall
4,0800;25;-1;Wall
4,0800;28;-1;Wall
4,0800;32;-1;Wall
4,0800;34;-1;Wall
4,0800;35;-1;Wall
4,0800;16;-1;Wall
4,1000;25;-1;Wall
4,1000;28;-1;Wall
4,1000;32;-1;Wall
4,1000;34;-1;Wall
4,1000;1;41;Agent
4,1000;16;-1;Wall
4,1200;25;-1;Wall
4,1200;28;-1;Wall
4,1200;32;-1;Wall
4,1200;34;-1;Wall
4,1200;1;41;Agent
4,1200;16;-1;Wall
4,1400;25;-1;Wall
4,1400;28;-1;Wall
4,1400;32;-1;Wall
4,1400;34;-1;Wall
4,1400;1;41;Agent
4,1400;16;-1;Wall
4,1600;28;-1;Wall
4,1600;32;-1;Wall
4,1600;34;-1;Wall
4,1600;1;32;Agent
4,1800;28;-1;Wall
4,1800;32;-1;Wall
4,1800;34;-1;Wall
4,1800;1;32;Agent
4,2000;28;-1;Wall
4,2000;32;-1;Wall
4,2000;34;-1;Wall
4,2000;1;32;Agent
4,2200;28;-1;Wall
4,2200;32;-1;Wall
4,2200;34;-1;Wall
4,2200;19;-1;Wall
4,2200;1;32;Agent
4,2200;8;32;Agent
4,2200;14;-1;Wall
4,2400;28;-1;Wall
4,2400;32;-1;Wall
4,2400;34;-1;Wall
4,2400;19;-1;Wall
4,2400;1;32;Agent
4,2400;1;41;Agent
4,2400;8;32;Agent
4,2600;28;-1;Wall
4,2600;34;-1;Wall
4,2600;19;-1;Wall
4,2600;8;32;Agent
4,2600;10;41;Agent
4,2800;28;-1;Wall
4,2800;34;-1;Wall
4,2800;10;41;Agent
4,3000;28;-1;Wall
4,3000;34;-1;Wall
4,3000;8;13;Agent
4,3000;10;41;Agent
4,3200;25;-1;Wall
4,3200;28;-1;Wall
4,3200;34;-1;Wall
4,3200;10;34;Agent
4,3200;10;41;Agent
4,3400;25;-1;Wall
4,3400;28;-1;Wall
4,3400;34;-1;Wall
4,3400;10;34;Agent
4,3600;25;-1;Wall
4,3600;28;-1;Wall
4,3600;34;-1;Wall
4,3600;3;10;Agent
4,3600;10;34;Agent
4,3800;25;-1;Wall
4,3800;28;-1;Wall
4,3800;34;-1;Wall
4,3800;3;10;Agent
4,3800;10;34;Agent
4,4000;25;-1;Wall
4,4000;28;-1;Wall
4,4000;34;-1;Wall
4,4000;10;34;Agent
4,4200;28;-1;Wall
4,4200;34;-1;Wall
4,4200;3;53;Agent
4,4200;10;34;Agent
4,4400;21;34;Agent
4,4400;25;-1;Wall
4,4400;28;-1;Wall
4,4400;34;-1;Wall
4,4400;19;-1;Wall
4,4400;3;53;Agent
4,4400;4;10;Agent
4,4400;10;34;Agent
4,4400;16;-1;Wall
4,4600;21;34;Agent
4,4600;25;-1;Wall
4,4600;28;-1;Wall
4,4600;34;-1;Wall
4,4600;19;-1;Wall
4,4600;4;10;Agent
4,4600;10;34;Agent
4,4600;16;-1;Wall
4,4800;21;34;Agent
4,4800;25;-1;Wall
4,4800;28;-1;Wall
4,4800;32;-1;Wall
4,4800;34;-1;Wall
4,4800;19;-1;Wall
4,4800;4;10;Agent
4,5000;25;-1;Wall
4,5000;28;-1;Wall
4,5000;32;-1;Wall
4,5000;34;-1;Wall
4,5000;19;-1;Wall
4,5200;25;-1;Wall
4,5200;28;-1;Wall
4,5200;32;-1;Wall
4,5200;34;-1;Wall
4,5400;21;25;Agent
4,5400;25;-1;Wall
4,5400;28;-1;Wall
4,5400;32;-1;Wall
4,5400;34;-1;Wall
4,5600;21;25;Agent
4,5600;25;-1;Wall
4,5600;28;-1;Wall
4,5600;34;-1;Wall
4,5600;18;-1;Wall
4,5800;25;-1;Wall
4,5800;28;-1;Wall
4,5800;34;-1;Wall
4,5800;18;-1;Wall
4,6000;25;-1;Wall
4,6000;28;-1;Wall
4,6000;34;-1;Wall
4,6000;18;-1;Wall
4,6000;10;34;Agent
4,6000;10;50;Agent
4,6200;25;-1;Wall
4,6200;28;-1;Wall
4,6200;34;-1;Wall
4,6200;18;-1;Wall
4,6200;10;34;Agent
4,6400;28;-1;Wall
4,6400;32;-1;Wall
4,6400;34;-1;Wall
4,6400;10;34;Agent
4,6600;28;-1;Wall
4,6600;32;-1;Wall
4,6600;34;-1;Wall
4,6600;19;-1;Wall
4,6600;10;34;Agent
4,6800;28;-1;Wall
4,6800;32;-1;Wall
4,6800;34;-1;Wall
4,6800;19;-1;Wall
4,6800;10;34;Agent
4,7000;28;-1;Wall
4,7000;32;-1;Wall
4,7000;34;-1;Wall
4,7000;19;-1;Wall
4,7000;18;-1;Wall
4,7000;10;34;Agent
4,7000;50;56;Agent
4,7200;0;56;Agent
4,7200;28;-1;Wall
4,7200;32;-1;Wall
4,7200;18;-1;Wall
4,7400;0;56;Agent
4,7400;28;-1;Wall
4,7400;18;-1;Wall
4,7600;0;56;Agent
4,7600;28;-1;Wall
4,7600;18;-1;Wall
4,7800;28;-1;Wall
4,7800;18;-1;Wall
4,8000;0;13;Agent
4,8000;28;-1;Wall
4,8000;32;-1;Wall
4,8000;34;-1;Wall
4,8200;28;-1;Wall
4,8200;32;-1;Wall
4,8200;34;-1;Wall
4,8400;28;-1;Wall
4,8400;32;-1;Wall
4,8400;34;-1;Wall
4,8400;16;-1;Wall
4,8600;28;-1;Wall
4,8600;32;-1;Wall
4,8600;34;-1;Wall
4,8600;16;-1;Wall
4,8800;28;-1;Wall
4,8800;32;-1;Wall
4,8800;34;-1;Wall
4,8800;18;-1;Wall
4,8800;8;32;Agent
4,8800;16;-1;Wall
4,9000;28;-1;Wall
4,9000;32;-1;Wall
4,9000;18;-1;Wall
4,9000;16;-1;Wall
4,9200;28;-1;Wall
4,9200;32;-1;Wall
4,9200;18;-1;Wall
4,9400;28;-1;Wall
4,9400;32;-1;Wall
4,9400;18;-1;Wall
4,9600;21;-1;Wall
4,9600;28;-1;Wall
4,9600;32;-1;Wall
4,9600;18;-1;Wall
4,9800;21;-1;Wall
4,9800;28;-1;Wall
4,9800;32;-1;Wall
4,9800;18;-1;Wall
5,0000;21;-1;Wall
5,0000;28;-1;Wall
5,0000;18;-1;Wall
5,0200;21;-1;Wall
5,0200;28;-1;Wall
5,0200;34;-1;Wall
5,0200;18;-1;Wall
5,0400;28;-1;Wall
5,0400;32;-1;Wall
5,0400;34;-1;Wall
5,0400;18;-1;Wall
5,0400;8;18;Agent
5,0600;28;-1;Wall
5,0600;32;-1;Wall
5,0600;34;-1;Wall
5,0600;18;-1;Wall
5,0600;8;18;Agent
5,0800;28;-1;Wall
5,0800;32;-1;Wall
5,0800;34;-1;Wall
5,0800;18;-1;Wall
5,0800;8;18;Agent
5,1000;25;-1;Wall
5,1000;28;-1;Wall
5,1000;32;50;Agent
5,1000;32;-1;Wall
5,1000;34;-1;Wall
5,1000;18;-1;Wall
5,1000;8;18;Agent
5,1000;16;-1;Wall
5,1200;25;-1;Wall
5,1200;28;-1;Wall
5,1200;32;50;Agent
5,1200;32;-1;Wall
5,1200;34;-1;Wall
5,1200;18;-1;Wall
5,1200;10;34;Agent
5,1200;16;-1;Wall
5,1400;25;-1;Wall
5,1400;28;-1;Wall
5,1400;32;50;Agent
5,1400;32;-1;Wall
5,1400;34;-1;Wall
5,1400;18;-1;Wall
5,1400;10;34;Agent
5,1400;16;-1;Wall
5,1600;25;-1;Wall
5,1600;28;-1;Wall
5,1600;32;-1;Wall
5,1600;34;-1;Wall
5,1600;18;-1;Wall
5,1600;10;34;Agent
5,1600;16;-1;Wall
5,1800;25;-1;Wall
5,1800;28;-1;Wall
5,1800;32;-1;Wall
5,1800;34;-1;Wall
5,1800;18;-1;Wall
5,1800;10;34;Agent
5,2000;28;-1;Wall
5,2000;34;-1;Wall
5,2000;18;-1;Wall
5,2000;10;34;Agent
5,2200;25;-1;Wall
5,2200;28;-1;Wall
5,2200;34;-1;Wall
5,2200;18;-1;Wall
5,2200;10;34;Agent
5,2400;25;-1;Wall
5,2400;28;-1;Wall
5,2400;34;-1;Wall
5,2400;18;-1;Wall
5,2600;25;-1;Wall
5,2600;28;-1;Wall
5,2600;34;-1;Wall
5,2600;18;-1;Wall
