time;evacuated_count
1,240;1
2,210;2
2,610;3
3,520;4
3,690;5
4,000;6
4,360;7
4,640;8
4,930;9
5,170;10
5,420;11
5,670;12
6,030;13
6,260;14
6,560;15
6,810;16
6,970;17
7,190;18
7,620;19
7,770;20
8,360;21
8,590;22
9,510;23
10,920;24
11,140;25
11,530;26
11,820;27
12,370;28
12,520;29
13,150;30
15,000;31
15,320;32
15,950;33
16,090;34
16,430;35
16,610;36
16,920;37
17,080;38
17,470;39
17,760;40
18,110;41
18,440;42
19,040;43
19,310;44
19,800;45
20,350;46
20,760;47
21,150;48
21,350;49
21,640;50
21,860;51
22,260;52
22,420;53
23,280;54
23,660;55
24,110;56
24,500;57
24,910;58
25,290;59
25,400;60
25,750;61
26,320;62
26,720;63
27,400;64
27,760;65
28,570;66
28,800;67
29,480;68
30,420;69
30,870;70
31,350;71
31,650;72
32,110;73
33,480;74
34,250;75
34,800;76
35,390;77
36,140;78
36,640;79
37,040;80
37,630;81
39,140;82
40,500;83
41,220;84
41,800;85
43,220;86
44,400;87
45,150;88
46,340;89
48,530;90
50,250;91
53,890;92
56,970;93
