agentId;time;posX;posZ;speed;localDensity
91;0,1200;-0,9598;1,0766;0,1974;2,5465
90;0,1200;-0,1521;0,8469;0,2509;2,5465
89;0,1200;-1,5293;1,6201;0,1442;2,5465
88;0,1200;-0,3804;-0,3957;0,1760;2,5465
84;0,1200;1,6775;-0,5252;0,2501;2,5465
82;0,1200;-1,4267;0,4548;0,2667;2,5465
81;0,1200;-2,7239;-0,3499;0,2045;2,5465
80;0,1200;0,3048;0,9001;0,1730;2,5465
78;0,1200;0,9345;-0,4517;0,2613;2,5465
75;0,1200;0,2279;-0,2832;0,1710;2,5465
74;0,1200;-1,0090;1,6236;0,2504;2,5465
71;0,1200;-0,9564;0,5383;0,1752;2,5465
60;0,1200;0,8081;0,1215;0,1929;2,5465
54;0,1200;-1,8090;-0,0837;0,1915;2,5465
53;0,1200;1,8767;0,5964;0,0753;2,5465
52;0,1200;-2,4327;0,2207;0,3102;2,5465
48;0,1200;-2,6358;0,6783;0,1009;2,5465
47;0,1200;-1,3997;0,9581;0,1283;2,5465
41;0,1200;2,2196;1,3278;0,1427;2,5465
40;0,1200;1,9344;-0,0539;0,1517;2,5465
36;0,1200;2,3627;0,9042;0,2856;2,5465
34;0,1200;-1,2630;-0,0828;0,1659;2,5465
31;0,1200;1,3207;-0,2099;0,0138;2,5465
30;0,1200;1,4626;1,1553;0,1696;2,5465
28;0,1200;1,0664;0,6630;0,1723;2,5465
22;0,1200;-0,6228;0,1959;0,2383;2,5465
19;0,1200;-1,8965;0,8236;0,2100;2,5465
16;0,1200;0,0773;0,4262;0,3041;2,5465
14;0,1200;-0,3648;1,3080;0,2289;2,5465
9;0,1200;-2,5632;1,6234;0,2674;2,5465
8;0,1200;0,8128;1,3507;0,2073;2,5465
91;0,2400;-0,9256;1,0306;0,4777;2,5465
90;0,2400;-0,1805;0,7800;0,6061;2,5465
89;0,2400;-1,5337;1,5782;0,3511;2,5465
88;0,2400;-0,3788;-0,4475;0,4321;2,5465
84;0,2400;1,6720;-0,5963;0,5947;2,5465
82;0,2400;-1,4302;0,3794;0,6289;2,5465
81;0,2400;-2,6953;-0,4023;0,4978;2,5465
80;0,2400;0,3349;0,8646;0,3884;2,5465
78;0,2400;0,9016;-0,5144;0,5901;2,5465
75;0,2400;0,2274;-0,3335;0,4188;2,5465
74;0,2400;-0,9867;1,5538;0,6107;2,5465
71;0,2400;-0,9358;0,4912;0,4288;2,5465
60;0,2400;0,7938;0,0667;0,4715;2,5465
54;0,2400;-1,7980;-0,1391;0,4705;2,5465
53;0,2400;1,8657;0,5760;0,1935;2,5465
52;0,2400;-2,3815;0,1524;0,7109;2,5465
48;0,2400;-2,6068;0,6648;0,2670;2,5465
47;0,2400;-1,4060;0,9213;0,3112;2,5465
41;0,2400;2,1854;1,3025;0,3550;2,5465
40;0,2400;1,9085;-0,0905;0,3734;2,5465
36;0,2400;2,3373;0,8306;0,6489;2,5465
34;0,2400;-1,2445;-0,1281;0,4086;2,5465
31;0,2400;1,3213;-0,2146;0,0394;2,5465
30;0,2400;1,4518;1,1067;0,4144;2,5465
28;0,2400;1,0572;0,6132;0,4219;2,5465
22;0,2400;-0,6023;0,1303;0,5733;2,5465
19;0,2400;-1,8921;0,7620;0,5142;2,5465
17;0,2400;0,3600;1,6506;0,3029;2,5465
16;0,2400;0,0816;0,3425;0,6986;2,5465
14;0,2400;-0,3664;1,2433;0,5390;2,5465
10;0,2400;1,6732;1,6663;0,2595;2,5465
9;0,2400;-2,5504;1,5500;0,6212;2,5465
8;0,2400;0,8091;1,2905;0,5031;2,5465
91;0,3600;-0,8844;0,9566;0,7059;2,5465
90;0,3600;-0,2077;0,6758;0,8971;2,5465
89;0,3600;-1,5376;1,5166;0,5149;2,5465
88;0,3600;-0,3762;-0,5240;0,6378;2,5465
84;0,3600;1,6590;-0,6943;0,8239;2,5465
82;0,3600;-1,4303;0,2753;0,8679;2,5465
81;0,3600;-2,6538;-0,4785;0,7236;2,5465
80;0,3600;0,3645;0,8071;0,5388;2,5465
78;0,3600;0,8639;-0,6004;0,7826;2,5465
75;0,3600;0,2263;-0,4075;0,6166;2,5465
74;0,3600;-0,9569;1,4526;0,8790;2,5465
71;0,3600;-0,9092;0,4205;0,6293;2,5465
60;0,3600;0,7728;-0,0133;0,6894;2,5465
54;0,3600;-1,7806;-0,2210;0,6980;2,5465
53;0,3600;1,8465;0,5440;0,3109;2,5465
52;0,3600;-2,3158;0,0590;0,9520;2,5465
48;0,3600;-2,5631;0,6345;0,4436;2,5465
47;0,3600;-1,4074;0,8656;0,4643;2,5465
41;0,3600;2,1408;1,2546;0,5454;2,5465
40;0,3600;1,8705;-0,1440;0,5473;2,5465
36;0,3600;2,3023;0,7336;0,8588;2,5465
34;0,3600;-1,2172;-0,1959;0,6084;2,5465
31;0,3600;1,3171;-0,2308;0,1393;2,5465
30;0,3600;1,4359;1,0359;0,6048;2,5465
28;0,3600;1,0439;0,5400;0,6202;2,5465
26;0,3600;-0,3318;1,6474;0,4084;2,5465
23;0,3600;2,3712;-0,2079;0,5628;2,5465
22;0,3600;-0,5749;0,0362;0,8167;2,5465
19;0,3600;-1,8851;0,6716;0,7558;2,5465
17;0,3600;0,3569;1,5754;0,6265;2,5465
16;0,3600;0,0876;0,2293;0,9441;2,5465
14;0,3600;-0,3669;1,1534;0,7494;2,5465
10;0,3600;1,6577;1,6025;0,5465;2,5465
9;0,3600;-2,5296;1,4507;0,8452;2,5465
8;0,3600;0,8040;1,2034;0,7269;2,5465
91;0,4800;-0,8437;0,8545;0,9157;2,5465
90;0,4800;-0,2286;0,5409;1,1381;2,5465
89;0,4800;-1,5396;1,4384;0,6512;2,5465
88;0,4800;-0,3727;-0,6206;0,8056;2,5465
84;0,4800;1,6376;-0,8045;0,9351;2,5465
82;0,4800;-1,4248;0,1539;1,0130;2,5465
81;0,4800;-2,6023;-0,5727;0,8947;2,5465
80;0,4800;0,3866;0,7292;0,6749;2,5465
78;0,4800;0,8275;-0,7009;0,8908;2,5465
75;0,4800;0,2244;-0,5008;0,7780;2,5465
74;0,4800;-0,9239;1,3297;1,0601;2,5465
71;0,4800;-0,8804;0,3295;0,7957;2,5465
60;0,4800;0,7468;-0,1130;0,8587;2,5465
54;0,4800;-1,7562;-0,3252;0,8919;2,5465
53;0,4800;1,8160;0,5010;0,4392;2,5465
52;0,4800;-2,2448;-0,0505;1,0877;2,5465
48;0,4800;-2,5061;0,5834;0,6371;2,5465
47;0,4800;-1,4013;0,7935;0,6035;2,5465
41;0,4800;2,0913;1,1838;0,7199;2,5465
40;0,4800;1,8252;-0,2110;0,6736;2,5465
36;0,4800;2,2654;0,6240;0,9641;2,5465
34;0,4800;-1,1828;-0,2828;0,7792;2,5465
31;0,4800;1,3065;-0,2617;0,2720;2,5465
30;0,4800;1,4156;0,9482;0,7505;2,5465
28;0,4800;1,0275;0,4479;0,7793;2,5465
26;0,4800;-0,3308;1,5477;0,8317;2,5465
23;0,4800;2,3337;-0,3201;0,9860;2,5465
22;0,4800;-0,5444;-0,0779;0,9843;2,5465
19;0,4800;-1,8747;0,5584;0,9478;2,5465
17;0,4800;0,3524;1,4817;0,7817;2,5465
16;0,4800;0,0948;0,0983;1,0938;2,5465
14;0,4800;-0,3628;1,0459;0,8963;2,5465
10;0,4800;1,6365;1,5220;0,6946;2,5465
9;0,4800;-2,5012;1,3368;0,9780;2,5465
8;0,4800;0,7984;1,0968;0,8894;2,5465
93;0,6000;-2,7898;0,0618;0,4618;2,5465
91;0,6000;-0,8078;0,7254;1,1166;2,5465
90;0,6000;-0,2426;0,3833;1,3182;2,5465
89;0,6000;-1,5396;1,3459;0,7713;2,5465
88;0,6000;-0,3682;-0,7329;0,9363;2,5465
84;0,6000;1,6087;-0,9029;0,8551;2,5465
82;0,6000;-1,4132;0,0227;1,0973;2,5465
81;0,6000;-2,5432;-0,6797;1,0183;2,5465
80;0,6000;0,3982;0,6327;0,8101;2,5465
78;0,6000;0,7946;-0,8070;0,9250;2,5465
75;0,6000;0,2212;-0,6104;0,9134;2,5465
74;0,6000;-0,8910;1,1933;1,1698;2,5465
71;0,6000;-0,8519;0,2200;0,9425;2,5465
66;0,6000;1,0836;1,6741;0,5072;2,5465
60;0,6000;0,7173;-0,2279;0,9884;2,5465
54;0,6000;-1,7240;-0,4491;1,0668;2,5465
53;0,6000;1,7728;0,4485;0,5663;2,5465
52;0,6000;-2,1742;-0,1703;1,1590;2,5465
48;0,6000;-2,4365;0,5104;0,8407;2,5465
47;0,6000;-1,3883;0,7070;0,7283;2,5465
41;0,6000;2,0403;1,0921;0,8743;2,5465
40;0,6000;1,7789;-0,2888;0,7549;2,5465
36;0,6000;2,2329;0,5062;1,0179;2,5465
34;0,6000;-1,1419;-0,3862;0,9262;2,5465
31;0,6000;1,2882;-0,3069;0,4069;2,5465
30;0,6000;1,3914;0,8480;0,8587;2,5465
28;0,6000;1,0087;0,3407;0,9076;2,5465
26;0,6000;-0,3283;1,4294;0,9853;2,5465
23;0,6000;2,2932;-0,4456;1,0992;2,5465
22;0,6000;-0,5137;-0,2056;1,0939;2,5465
19;0,6000;-1,8589;0,4274;1,0992;2,5465
17;0,6000;0,3459;1,3728;0,9092;2,5465
16;0,6000;0,1027;-0,0437;1,1847;2,5465
14;0,6000;-0,3506;0,9247;1,0147;2,5465
10;0,6000;1,6091;1,4274;0,8201;2,5465
9;0,6000;-2,4658;1,2155;1,0529;2,5465
8;0,6000;0,7933;0,9770;0,9995;2,5465
7;0,6000;2,3632;1,6437;0,6213;2,5465
4;0,6000;-1,0957;1,6718;0,8067;2,5465
93;0,7200;-2,7418;-0,0289;0,8550;2,5465
91;0,7200;-0,7783;0,5736;1,2890;2,5465
90;0,7200;-0,2500;0,2112;1,4359;2,5465
89;0,7200;-1,5377;1,2399;0,8836;2,5465
88;0,7200;-0,3628;-0,8514;0,9891;2,5465
86;0,7200;0,5869;1,6975;0,9299;2,5465
84;0,7200;1,5733;-0,9420;0,4391;2,5465
82;0,7200;-1,3960;-0,1142;1,1495;2,5465
81;0,7200;-2,4784;-0,7926;1,0843;2,5465
80;0,7200;0,3981;0,5195;0,9426;2,5465
78;0,7200;0,7664;-0,8996;0,8068;2,5465
76;0,7200;-2,7654;0,6517;0,8431;2,5465
75;0,7200;0,2158;-0,7333;1,0249;2,5465
74;0,7200;-0,8602;1,0477;1,2397;2,5465
71;0,7200;-0,8255;0,0930;1,0806;2,5465
66;0,7200;1,0781;1,5663;0,9000;2,5465
60;0,7200;0,6863;-0,3541;1,0831;2,5465
54;0,7200;-1,6828;-0,5907;1,2285;2,5465
53;0,7200;1,7225;0,3895;0,6465;2,5465
52;0,7200;-2,1072;-0,2966;1,1912;2,5465
48;0,7200;-2,3559;0,4172;1,0267;2,5465
47;0,7200;-1,3704;0,6083;0,8358;2,5465
41;0,7200;1,9900;0,9823;1,0063;2,5465
40;0,7200;1,7368;-0,3754;0,8019;2,5465
36;0,7200;2,2049;0,3812;1,0673;2,5465
