time;density;specific_flow
0,120;1,2732;0,0824
0,240;1,2732;0,5008
0,360;2,5465;2,1711
0,480;2,5465;2,8861
0,600;3,8197;5,4993
0,720;5,0930;5,4776
0,840;6,3662;6,8514
0,960;6,3662;5,3942
1,080;6,3662;4,5683
1,180;6,3662;2,5887
1,300;6,3662;1,2062
1,420;6,3662;0,8968
1,520;6,3662;1,5376
1,640;7,6394;3,4098
1,740;6,3662;2,5660
1,860;6,3662;1,7054
1,960;6,3662;2,5221
2,080;5,0930;3,5108
2,200;6,3662;3,3646
2,320;6,3662;2,2159
2,440;6,3662;3,1844
2,560;7,6394;3,1379
2,660;7,6394;5,3496
2,780;6,3662;4,1044
2,900;5,0930;2,6687
3,000;5,0930;3,1194
3,120;6,3662;4,7922
3,240;5,0930;3,0114
3,360;5,0930;3,2046
3,460;5,0930;4,9508
3,580;3,8197;3,1409
3,700;5,0930;6,2017
3,800;6,3662;4,4945
3,920;6,3662;5,6438
4,040;7,6394;4,9468
4,160;6,3662;3,8677
4,280;6,3662;5,2779
4,380;7,6394;4,9255
4,500;6,3662;5,4680
4,620;5,0930;5,3592
4,740;5,0930;3,9003
4,860;3,8197;2,4894
4,980;5,0930;4,2571
5,100;3,8197;3,9614
5,200;5,0930;5,4451
5,320;5,0930;3,8739
5,440;5,0930;3,5411
5,560;5,0930;3,1287
5,680;5,0930;2,4057
5,800;6,3662;4,0092
5,920;5,0930;3,0837
6,020;6,3662;5,5238
6,140;6,3662;5,3012
6,260;6,3662;4,2348
6,380;5,0930;2,6742
6,500;6,3662;4,0979
6,620;6,3662;4,6885
6,740;5,0930;3,2160
6,840;6,3662;3,3725
6,960;6,3662;3,5312
7,080;6,3662;2,5139
7,200;6,3662;2,8377
7,320;6,3662;3,3661
7,440;6,3662;2,4363
7,560;6,3662;3,7315
7,680;6,3662;4,2583
7,800;6,3662;2,6650
7,920;5,0930;3,2842
8,020;5,0930;3,3335
8,140;7,6394;1,6892
8,260;6,3662;2,1297
8,380;6,3662;2,8234
8,500;6,3662;3,5568
8,620;5,0930;0,9555
8,740;7,6394;2,3008
8,840;7,6394;2,8110
8,960;8,9127;3,3054
9,080;7,6394;2,0407
9,200;7,6394;3,1867
9,320;7,6394;1,7013
9,440;7,6394;1,6822
9,560;7,6394;2,9582
9,660;7,6394;2,8582
9,780;7,6394;4,2177
9,900;7,6394;3,8175
10,020;7,6394;4,0253
10,140;7,6394;2,2697
10,260;6,3662;1,8161
10,360;6,3662;2,7206
10,480;6,3662;3,1044
10,600;5,0930;2,0880
10,720;5,0930;2,1087
10,840;6,3662;4,3944
10,960;5,0930;1,6432
11,080;5,0930;1,1490
11,180;5,0930;2,0075
11,300;3,8197;0,6434
11,420;3,8197;1,7998
11,540;5,0930;1,2533
11,660;5,0930;1,2730
11,780;5,0930;1,6385
11,900;6,3662;1,2450
12,000;6,3662;1,9131
12,120;6,3662;2,0684
12,240;6,3662;3,0339
12,360;6,3662;3,0442
12,480;5,0930;3,8508
12,600;3,8197;1,9119
12,720;5,0930;2,1420
12,820;6,3662;4,1832
12,940;6,3662;1,8472
13,060;6,3662;2,0341
13,180;7,6394;4,2598
13,300;6,3662;6,1600
13,420;5,0930;3,1182
13,540;5,0930;4,7913
13,640;5,0930;3,0846
13,760;5,0930;3,2660
13,880;5,0930;3,5604
14,000;6,3662;6,1515
14,120;5,0930;2,9348
14,240;6,3662;2,5322
14,340;7,6394;4,7387
14,460;6,3662;2,8442
14,580;6,3662;3,0627
14,700;6,3662;3,4725
14,820;5,0930;3,3489
14,940;6,3662;3,6115
15,060;6,3662;2,1348
15,160;7,6394;3,1162
15,280;7,6394;5,1748
15,400;6,3662;4,1181
15,520;6,3662;3,6354
15,640;5,0930;2,3132
15,760;5,0930;2,6305
15,880;5,0930;3,5852
15,980;3,8197;2,5548
16,100;5,0930;3,6605
16,200;5,0930;1,1383
16,320;5,0930;1,9482
16,420;6,3662;2,6966
16,520;6,3662;2,7420
16,640;6,3662;4,0293
16,740;5,0930;2,8891
16,840;5,0930;2,8777
16,940;6,3662;4,1019
17,060;6,3662;3,5501
17,160;6,3662;3,1835
17,260;7,6394;4,6625
17,380;6,3662;3,9517
17,480;7,6394;3,5919
17,580;7,6394;3,2166
17,680;6,3662;1,9000
17,800;6,3662;1,8740
17,900;6,3662;3,1609
18,000;5,0930;2,6602
18,120;6,3662;5,7010
18,220;6,3662;5,3030
18,320;7,6394;5,6740
18,420;6,3662;4,2779
18,540;5,0930;2,1896
18,640;6,3662;2,0649
18,740;6,3662;2,7339
18,860;6,3662;3,0920
18,960;7,6394;4,9935
19,060;7,6394;4,9358
19,160;6,3662;3,1240
19,280;6,3662;3,3420
19,380;5,0930;1,5108
19,480;5,0930;1,7628
19,600;6,3662;4,3175
19,700;5,0930;2,5954
19,800;6,3662;3,0513
19,900;6,3662;3,8510
20,020;6,3662;4,3133
20,120;5,0930;2,4564
20,220;5,0930;1,8176
20,340;6,3662;2,4484
20,440;6,3662;3,6593
20,540;6,3662;4,4009
20,660;6,3662;3,7481
20,760;6,3662;2,3635
20,860;6,3662;3,9225
20,960;6,3662;4,5671
21,080;5,0930;2,6718
21,180;5,0930;3,0803
21,280;5,0930;3,0854
21,400;6,3662;2,6336
21,500;5,0930;1,2449
21,600;5,0930;1,7082
21,700;5,0930;3,0342
21,820;5,0930;2,6212
21,920;5,0930;3,1390
22,020;6,3662;3,9460
22,140;6,3662;3,9267
22,240;5,0930;1,9353
22,340;5,0930;1,1077
22,440;6,3662;1,8536
22,560;5,0930;1,2666
22,660;5,0930;0,9281
22,760;6,3662;1,4009
22,880;6,3662;1,9125
22,980;6,3662;2,8033
23,080;6,3662;1,9634
23,180;6,3662;2,1025
23,300;6,3662;2,4202
23,400;5,0930;2,3521
23,500;5,0930;3,4578
23,620;3,8197;2,0286
23,720;3,8197;2,6410
23,820;3,8197;2,8255
23,920;3,8197;3,2257
24,040;2,5465;2,0948
24,140;3,8197;3,9336
24,240;2,5465;1,6653
24,360;5,0930;2,8637
24,460;5,0930;2,6847
24,560;7,6394;3,2360
24,680;6,3662;1,6290
24,780;6,3662;2,5857
24,880;6,3662;2,9382
24,980;6,3662;3,2324
25,100;5,0930;1,6762
25,200;5,0930;2,0810
25,300;5,0930;1,8564
25,420;6,3662;2,6951
25,520;5,0930;1,8835
25,620;5,0930;2,4968
25,720;5,0930;2,7342
25,840;6,3662;3,5012
25,940;5,0930;1,4939
26,040;5,0930;1,7305
26,160;5,0930;2,1852
26,260;5,0930;2,7890
26,360;3,8197;1,0590
26,460;3,8197;1,4337
26,580;5,0930;2,4761
26,680;6,3662;3,7227
26,780;5,0930;2,1044
26,900;6,3662;3,0730
27,000;6,3662;3,0261
27,100;5,0930;1,9921
27,200;5,0930;2,7483
27,320;5,0930;3,4290
27,420;3,8197;1,8710
27,520;3,8197;1,1469
27,640;3,8197;1,0102
27,740;5,0930;1,7710
27,840;5,0930;1,9794
27,940;5,0930;1,8285
28,060;5,0930;1,1307
28,160;6,3662;1,8159
28,260;6,3662;2,3169
28,380;6,3662;2,8546
28,480;5,0930;1,6645
28,580;5,0930;2,0582
28,680;6,3662;2,8592
28,800;6,3662;3,1180
28,900;6,3662;3,7084
29,000;5,0930;2,6188
29,120;3,8197;1,9980
29,220;3,8197;2,3204
29,320;3,8197;2,2611
29,440;3,8197;2,0220
29,540;5,0930;2,2591
29,640;5,0930;3,0165
29,740;3,8197;1,9324
29,860;3,8197;2,6227
29,960;3,8197;2,6285
30,060;2,5465;1,1247
30,180;2,5465;0,8819
30,280;2,5465;0,8278
30,380;2,5465;1,3398
30,480;3,8197;2,5229
30,600;2,5465;1,2124
30,700;5,0930;2,2686
30,800;5,0930;2,3535
30,920;5,0930;1,7751
31,020;5,0930;1,5487
31,120;6,3662;2,6220
31,220;6,3662;2,5315
31,340;5,0930;1,5172
31,440;5,0930;1,8855
31,540;5,0930;2,3349
31,660;5,0930;2,0558
31,760;5,0930;1,8336
31,860;3,8197;1,4268
31,960;3,8197;1,9720
32,060;2,5465;0,8004
32,180;2,5465;0,9522
32,300;2,5465;1,0844
32,400;2,5465;1,3026
32,520;2,5465;1,6840
32,640;3,8197;1,2293
32,740;3,8197;1,6216
32,860;3,8197;1,7086
32,980;3,8197;1,4227
33,100;3,8197;1,3884
33,200;3,8197;1,0953
33,320;3,8197;0,5905
33,440;3,8197;0,8564
33,540;3,8197;1,0126
33,660;3,8197;1,6092
33,780;2,5465;0,8472
33,880;2,5465;1,3208
34,000;2,5465;1,5902
34,120;1,2732;0,3447
34,220;2,5465;1,0837
34,340;2,5465;1,2124
34,460;2,5465;1,0896
34,580;3,8197;0,8658
34,680;3,8197;0,6349
34,800;3,8197;0,6028
34,920;2,5465;0,5255
35,020;2,5465;0,6632
35,140;2,5465;0,9145
35,260;1,2732;0,1886
35,360;2,5465;0,8447
35,480;2,5465;1,4245
35,600;3,8197;2,1299
35,720;5,0930;2,6778
35,820;3,8197;1,3767
35,940;3,8197;1,6769
36,060;3,8197;1,9806
36,160;3,8197;1,8842
36,280;3,8197;1,4048
36,400;3,8197;1,6492
36,500;2,5465;0,4363
36,620;2,5465;0,8018
36,740;2,5465;1,1661
36,840;3,8197;1,8912
36,960;3,8197;1,9131
37,080;2,5465;0,7186
37,200;2,5465;0,8813
37,300;2,5465;0,9275
37,420;2,5465;0,8340
37,540;3,8197;0,8334
37,640;3,8197;0,4509
37,760;3,8197;0,4068
37,880;2,5465;0,6093
37,980;2,5465;0,9633
38,100;2,5465;1,3491
38,220;3,8197;0,8667
38,320;3,8197;1,0485
38,440;3,8197;1,1238
38,560;3,8197;1,0320
38,680;3,8197;0,9107
38,780;3,8197;0,7551
38,900;3,8197;0,5864
39,020;3,8197;0,4856
39,120;3,8197;0,3702
39,240;3,8197;0,2813
39,360;3,8197;0,4133
39,460;3,8197;0,4504
39,580;3,8197;0,4596
39,700;3,8197;0,5336
39,800;3,8197;0,7391
39,920;3,8197;0,9675
40,040;3,8197;1,1526
40,160;3,8197;1,2457
40,260;2,5465;0,1508
40,380;2,5465;0,3182
40,500;2,5465;0,4175
40,600;2,5465;0,4568
40,720;2,5465;0,4531
40,840;2,5465;0,4361
40,940;2,5465;0,4254
41,060;2,5465;0,3499
41,180;2,5465;0,2434
41,300;2,5465;0,2115
41,400;2,5465;0,2370
41,520;2,5465;0,2718
41,640;2,5465;0,3205
41,740;2,5465;0,3830
41,860;2,5465;0,4618
41,980;2,5465;0,5622
42,080;2,5465;0,6631
42,200;2,5465;0,7816
42,320;2,5465;0,9529
42,420;1,2732;0,1720
42,540;1,2732;0,3244
42,660;1,2732;0,4743
42,780;2,5465;0,9469
42,880;2,5465;0,9811
43,000;2,5465;0,9395
43,120;2,5465;0,7639
43,220;2,5465;0,6360
43,340;2,5465;0,8888
43,460;1,2732;0,1775
43,560;1,2732;0,0583
43,680;1,2732;0,2274
43,800;2,5465;0,4490
43,900;2,5465;0,5035
44,020;3,8197;0,9317
44,140;3,8197;1,0728
44,260;3,8197;1,2615
44,360;3,8197;1,3514
44,480;3,8197;1,3043
44,600;2,5465;0,6298
44,700;2,5465;0,5930
44,820;2,5465;0,8192
44,940;2,5465;0,9633
45,040;2,5465;0,9989
45,160;2,5465;0,9510
45,280;2,5465;0,8152
45,380;2,5465;0,6280
45,500;2,5465;0,4974
45,620;2,5465;0,4688
45,740;2,5465;0,5759
45,840;2,5465;0,7801
45,960;1,2732;0,1503
46,080;1,2732;0,1532
46,180;1,2732;0,3800
46,300;1,2732;0,5731
46,420;1,2732;0,8051
46,520;1,2732;1,0276
46,640;1,2732;1,2225
46,760;1,2732;0,2157
46,880;1,2732;0,2258
46,980;1,2732;0,2312
47,100;1,2732;0,2330
47,220;1,2732;0,2317
47,320;1,2732;0,2283
47,440;1,2732;0,2235
47,560;1,2732;0,2179
47,660;1,2732;0,2221
47,780;1,2732;0,2420
47,900;1,2732;0,2748
48,000;1,2732;0,3117
48,120;1,2732;0,3530
48,240;1,2732;0,4002
48,360;1,2732;0,4450
48,460;1,2732;0,4792
48,580;1,2732;0,5036
48,700;1,2732;0,5306
48,800;1,2732;0,5764
48,920;1,2732;0,6541
49,040;0,0000;0,0000
49,140;0,0000;0,0000
49,260;0,0000;0,0000
49,380;0,0000;0,0000
49,480;0,0000;0,0000
49,600;0,0000;0,0000
49,720;1,2732;0,1484
49,840;1,2732;0,1542
49,940;1,2732;0,1556
