time;grid_x;grid_z;density
2,010;0;-1;9,0000
2,010;-2;-1;7,0000
2,010;2;-1;6,0000
2,010;-3;0;3,0000
2,010;1;1;4,0000
2,010;0;0;5,0000
2,010;-3;-1;5,0000
2,010;-1;2;1,0000
2,010;2;1;2,0000
2,010;1;-1;6,0000
2,010;-4;-1;3,0000
2,010;-4;1;1,0000
2,010;-1;0;5,0000
2,010;2;0;2,0000
2,010;-1;-1;6,0000
2,010;-1;1;3,0000
2,010;-2;0;5,0000
2,010;1;0;4,0000
2,010;-2;1;3,0000
2,010;-3;2;1,0000
2,010;3;-1;2,0000
2,010;-2;2;1,0000
2,010;-3;1;2,0000
2,010;2;2;1,0000
2,010;0;1;2,0000
2,010;-4;0;1,0000
4,020;0;-1;7,0000
4,020;-2;-1;7,0000
4,020;2;-1;5,0000
4,020;-3;0;3,0000
4,020;1;0;6,0000
4,020;-3;-1;6,0000
4,020;-1;1;1,0000
4,020;3;0;1,0000
4,020;-4;-1;5,0000
4,020;-4;0;1,0000
4,020;-1;-1;7,0000
4,020;2;0;3,0000
4,020;1;-1;6,0000
4,020;-1;0;4,0000
4,020;0;0;6,0000
4,020;-2;0;6,0000
4,020;3;-1;4,0000
4,020;-2;1;1,0000
4,020;4;-1;1,0000
4,020;0;1;1,0000
6,030;1;-1;6,0000
6,030;-2;-1;6,0000
6,030;2;-1;6,0000
6,030;-3;-1;7,0000
6,030;1;0;5,0000
6,030;-1;1;1,0000
6,030;3;0;1,0000
6,030;-4;-1;4,0000
6,030;-4;0;1,0000
6,030;-1;-1;7,0000
6,030;0;-1;7,0000
6,030;-1;0;5,0000
6,030;-5;-1;1,0000
6,030;2;0;2,0000
6,030;-2;0;5,0000
6,030;3;-1;4,0000
6,030;-3;0;2,0000
6,030;4;-1;1,0000
6,030;0;0;4,0000
8,040;0;-1;7,0000
8,040;-2;-1;7,0000
8,040;2;-1;6,0000
8,040;1;0;4,0000
8,040;-1;0;4,0000
8,040;3;0;1,0000
8,040;1;-1;6,0000
8,040;-4;-1;4,0000
8,040;-3;-1;6,0000
8,040;-1;-1;6,0000
8,040;0;0;5,0000
8,040;-2;0;4,0000
8,040;3;-1;3,0000
8,040;-3;0;2,0000
8,040;4;-1;1,0000
8,040;2;0;1,0000
10,050;0;-1;6,0000
10,050;-2;-1;7,0000
10,050;2;-1;7,0000
10,050;1;0;4,0000
10,050;-1;0;5,0000
10,050;3;0;1,0000
10,050;1;-1;6,0000
10,050;-3;-1;6,0000
10,050;-1;-1;7,0000
10,050;0;0;4,0000
10,050;-4;-1;3,0000
10,050;-2;0;4,0000
10,050;3;-1;3,0000
10,050;-3;0;1,0000
10,050;2;0;1,0000
12,060;0;-1;7,0000
12,060;-1;-1;6,0000
12,060;2;-1;6,0000
12,060;-2;-1;6,0000
12,060;-1;0;3,0000
12,060;2;0;2,0000
12,060;1;-1;7,0000
12,060;-3;-1;6,0000
12,060;0;0;3,0000
12,060;-4;-1;3,0000
12,060;1;0;3,0000
12,060;-2;0;3,0000
12,060;3;-1;3,0000
12,060;-3;0;1,0000
14,070;-1;-1;6,0000
14,070;2;-1;6,0000
14,070;-2;-1;6,0000
14,070;0;-1;8,0000
14,070;-1;0;3,0000
14,070;2;0;1,0000
14,070;1;-1;6,0000
14,070;-3;-1;5,0000
14,070;0;0;2,0000
14,070;-4;-1;2,0000
14,070;1;0;2,0000
14,070;-2;0;3,0000
14,070;3;-1;3,0000
14,070;-3;0;1,0000
16,080;-1;-1;6,0000
16,080;2;-1;4,0000
16,080;-2;-1;6,0000
16,080;-1;0;2,0000
16,080;2;0;1,0000
16,080;1;-1;6,0000
16,080;-3;-1;5,0000
16,080;0;0;2,0000
16,080;-4;-1;2,0000
16,080;1;0;2,0000
16,080;0;-1;6,0000
16,080;3;-1;3,0000
16,080;-2;0;2,0000
18,090;2;-1;5,0000
18,090;-2;-1;6,0000
18,090;-1;-1;6,0000
18,090;1;-1;5,0000
18,090;-3;-1;5,0000
18,090;0;0;2,0000
18,090;-4;-1;1,0000
18,090;0;-1;5,0000
18,090;-1;0;2,0000
18,090;3;-1;2,0000
18,090;-2;0;1,0000
18,090;1;0;1,0000
20,100;1;-1;6,0000
20,100;-1;-1;6,0000
20,100;0;-1;5,0000
20,100;-2;-1;6,0000
20,100;-3;-1;4,0000
20,100;0;0;2,0000
20,100;0;-2;1,0000
20,100;2;-1;4,0000
20,100;3;-1;1,0000
20,100;-2;0;1,0000
20,100;1;0;1,0000
20,100;-1;0;1,0000
22,100;1;-1;6,0000
22,100;-1;-1;6,0000
22,100;0;-1;4,0000
22,100;-2;-1;5,0000
22,100;-3;-1;3,0000
22,100;0;0;2,0000
22,100;2;-1;3,0000
22,100;3;-1;1,0000
22,100;-2;0;1,0000
24,110;1;-1;5,0000
24,110;-1;-1;6,0000
24,110;0;-1;4,0000
24,110;-2;-1;4,0000
24,110;-3;-1;3,0000
24,110;2;-1;3,0000
24,110;3;-1;1,0000
24,110;0;0;1,0000
26,120;0;-1;5,0000
26,120;1;-1;3,0000
26,120;-2;-1;4,0000
26,120;-3;-1;2,0000
26,120;-1;-1;6,0000
26,120;2;-1;3,0000
26,120;0;0;1,0000
28,130;0;-1;5,0000
28,130;1;-1;4,0000
28,130;-1;-1;4,0000
28,130;-2;-1;4,0000
28,130;-3;-1;1,0000
28,130;2;-1;2,0000
30,140;1;-1;4,0000
30,140;-1;-1;3,0000
30,140;-2;-1;3,0000
30,140;0;-1;4,0000
30,140;-3;-1;1,0000
30,140;2;-1;1,0000
32,150;0;-1;3,0000
32,150;-1;-1;4,0000
32,150;-2;-1;3,0000
32,150;1;-1;3,0000
32,150;2;-1;1,0000
34,160;0;-1;4,0000
34,160;-1;-1;2,0000
34,160;-2;-1;3,0000
34,160;1;-1;2,0000
34,160;2;-1;1,0000
36,170;-1;-1;3,0000
36,170;0;-1;3,0000
36,170;-2;-1;2,0000
36,170;1;-1;2,0000
38,180;-1;-1;4,0000
38,180;-2;-1;1,0000
38,180;1;-1;2,0000
38,180;0;-1;2,0000
40,190;-1;-1;3,0000
40,190;0;-1;2,0000
40,190;-2;-1;1,0000
40,190;1;-1;2,0000
42,190;-2;-1;1,0000
42,190;0;-1;2,0000
42,190;1;-1;1,0000
42,190;-1;-1;2,0000
44,200;-1;-1;2,0000
44,200;0;-1;1,0000
44,200;1;-1;1,0000
46,210;-1;-1;1,0000
46,210;0;-1;2,0000
48,220;-1;-1;1,0000
48,220;0;-1;1,0000
50,230;0;-1;1,0000
52,240;0;-1;1,0000
