time;agentId;exitId
0,9200;33;ExitZone
1,5000;29;ExitZone
1,8800;26;ExitZone
2,1600;36;ExitZone
2,3600;22;ExitZone
2,8800;20;ExitZone
3,1800;15;ExitZone
3,5400;21;ExitZone
3,6200;17;ExitZone
3,7800;7;ExitZone
4,3600;1;ExitZone
4,4800;14;ExitZone
4,7800;4;ExitZone
5,2600;8;ExitZone
5,4200;10;ExitZone
5,7200;42;ExitZone
6,0800;41;ExitZone
6,3400;31;ExitZone
6,7800;0;ExitZone
7,2200;28;ExitZone
8,4200;50;ExitZone
8,6000;59;ExitZone
9,0600;56;ExitZone
9,3400;48;ExitZone
9,6400;13;ExitZone
10,5600;65;ExitZone
10,8400;32;ExitZone
11,7200;62;ExitZone
11,9200;34;ExitZone
12,5400;79;ExitZone
12,8400;19;ExitZone
12,9800;23;ExitZone
13,2800;61;ExitZone
13,8200;77;ExitZone
14,2000;25;ExitZone
14,7000;66;ExitZone
14,9200;73;ExitZone
15,2000;69;ExitZone
15,3600;85;ExitZone
15,6400;75;ExitZone
16,0400;3;ExitZone
16,5600;45;ExitZone
17,0200;18;ExitZone
17,2000;83;ExitZone
17,5600;84;ExitZone
17,8800;5;ExitZone
18,2400;16;ExitZone
18,5200;89;ExitZone
18,8400;44;ExitZone
19,5400;35;ExitZone
20,3200;39;ExitZone
20,5200;6;ExitZone
21,1200;53;ExitZone
21,8600;88;ExitZone
22,7400;81;ExitZone
23,0200;87;ExitZone
23,3400;47;ExitZone
23,6600;91;ExitZone
24,1400;11;ExitZone
24,4200;76;ExitZone
24,9600;38;ExitZone
25,1200;55;ExitZone
25,6200;92;ExitZone
25,7600;46;ExitZone
26,1400;2;ExitZone
26,4400;58;ExitZone
27,4600;9;ExitZone
28,0600;60;ExitZone
28,6200;51;ExitZone
29,3200;68;ExitZone
29,6800;49;ExitZone
30,8000;74;ExitZone
31,1200;43;ExitZone
31,8600;90;ExitZone
32,4600;30;ExitZone
33,2200;82;ExitZone
34,2600;78;ExitZone
34,5000;72;ExitZone
35,8000;70;ExitZone
36,8800;86;ExitZone
37,6000;71;ExitZone
39,2200;52;ExitZone
40,0400;27;ExitZone
41,4400;63;ExitZone
42,4200;80;ExitZone
43,3800;24;ExitZone
46,1000;37;ExitZone
48,5400;54;ExitZone
49,9600;64;ExitZone
51,7200;12;ExitZone
53,3600;67;ExitZone
56,3000;57;ExitZone
59,3000;40;ExitZone
