metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_14
total_agents;93
rset_100s;68,670
rset_95s;60,440
rset_90s;58,000
rset_50s;34,790
mean_speed_ms;0,1356
std_speed_ms;0,2110
max_speed_ms;1,8005
mean_exit_density_pm2;5,3409
peak_exit_density_pm2;10,1859
mean_global_density_pm2;2,6916
specific_flow_mean_pms;1,3403
specific_flow_peak_pms;5,2330
throughput_ps;1,3543
throughput_ExitZone_ps;1,3543
collisions_agent_agent;221825
collisions_agent_wall;74840
mean_headway_m;0,3779
min_headway_m;0,3003
std_headway_m;0,0532
