agentId;time;posX;posZ;speed
26;0,1200;-0,1019;0,3267;0,3845
29;0,1200;0,3153;0,1562;0,6234
31;0,1200;-0,3818;0,1086;0,1082
33;0,1200;0,0615;-0,1377;0,1514
34;0,1200;0,5033;-0,1613;0,1551
36;0,1200;-0,3389;-0,4179;0,1014
21;0,2400;0,7135;0,3349;0,9279
26;0,2400;-0,1676;0,2731;0,7067
29;0,2400;0,3750;0,0170;1,2621
31;0,2400;-0,4524;0,0208;0,9384
33;0,2400;0,0287;-0,2188;0,7291
34;0,2400;0,5595;-0,3101;1,3254
36;0,2400;-0,3349;-0,4825;0,5397
21;0,3600;0,6645;0,1976;1,2143
26;0,3600;-0,1844;0,1485;1,0478
20;0,3600;-0,4868;0,3892;0,5018
29;0,3600;0,3861;-0,0901;0,8974
31;0,3600;-0,5351;-0,1080;1,2761
33;0,3600;-0,0104;-0,3435;1,0885
34;0,3600;0,6375;-0,5243;1,8997
36;0,3600;-0,3485;-0,6078;1,0502
22;0,3600;0,1292;0,3694;0,3154
21;0,4800;0,6602;0,0815;0,9680
26;0,4800;-0,2178;-0,0757;1,8890
20;0,4800;-0,4653;0,2787;0,9384
29;0,4800;0,3450;-0,2644;1,4926
31;0,4800;-0,5948;-0,2490;1,2761
33;0,4800;-0,0300;-0,4957;1,2790
34;0,4800;0,6876;-0,7335;1,7931
36;0,4800;-0,3919;-0,7871;1,5374
22;0,4800;0,1195;0,2493;1,0040
21;0,6000;0,6493;-0,0577;1,1635
26;0,6000;-0,2032;-0,2873;1,7681
20;0,6000;-0,4360;0,1270;1,2875
29;0,6000;0,3272;-0,4439;1,5030
31;0,6000;-0,6202;-0,3997;1,2736
33;0,6000;-0,0467;-0,7025;1,7292
34;0,6000;0,7135;-0,9163;1,5384
36;0,6000;-0,4465;-0,9570;1,4874
22;0,6000;0,0923;0,0946;1,3083
14;0,6000;0,4718;0,3616;0,7418
21;0,7200;0,6374;-0,2094;1,2678
26;0,7200;-0,1758;-0,4663;1,5089
20;0,7200;-0,4130;-0,0501;1,4881
29;0,7200;0,3371;-0,6132;1,4135
31;0,7200;-0,6187;-0,5500;1,2527
33;0,7200;-0,0331;-0,9113;1,7437
34;0,7200;0,7176;-0,8817;0,2902
36;0,7200;-0,4701;-0,8613;0,8215
22;0,7200;0,0584;-0,0689;1,3922
14;0,7200;0,4610;0,2117;1,2527
21;0,8400;0,6361;-0,3613;1,2660
26;0,8400;-0,1474;-0,6465;1,5204
20;0,8400;-0,4126;-0,2194;1,4112
29;0,8400;0,3289;-0,7684;1,2944
31;0,8400;-0,6528;-0,5850;0,4064
34;0,8400;0,7448;-0,8010;0,7103
36;0,8400;-0,4579;-0,9532;0,7726
22;0,8400;0,0592;-0,2180;1,2417
14;0,8400;0,4433;0,0718;1,1747
15;0,8400;-0,2625;0,2649;0,6477
21;0,9600;0,6254;-0,4774;0,9716
26;0,9600;-0,0992;-0,8200;1,4999
20;0,9600;-0,4007;-0,3536;1,1221
29;0,9600;0,2923;-0,9117;1,2333
31;0,9600;-0,6508;-0,6479;0,5248
36;0,9600;-0,4558;-0,9232;0,2508
22;0,9600;0,0755;-0,3656;1,2381
14;0,9600;0,4314;-0,0627;1,1250
15;0,9600;-0,2344;0,1039;1,3613
21;1,0800;0,6080;-0,5762;0,8361
26;1,0800;-0,0568;-0,9715;1,3114
20;1,0800;-0,3304;-0,4340;0,8906
29;1,0800;0,3226;-0,9045;0,2601
31;1,0800;-0,6780;-0,6064;0,4138
