time;agentId;headwayDistance;headwayVelocity
0,2600;93;0,4635;0,6113
0,2600;91;0,5238;0,7333
0,2600;89;0,5061;0,0000
0,2600;86;0,4678;0,7761
0,2600;84;0,4839;0,0000
0,2600;83;0,5837;0,9188
0,2600;81;0,5065;0,6535
0,2600;80;0,5048;0,0000
0,2600;76;0,4199;0,4416
0,2600;75;0,5788;0,4538
0,2600;74;0,5045;0,4699
0,2600;73;0,5557;0,4991
0,2600;65;0,5238;0,3810
0,2600;63;0,5535;0,6220
0,2600;56;0,4975;0,5368
0,2600;53;0,5569;0,5368
0,2600;45;0,4832;0,7824
0,2600;39;0,5496;0,5998
0,2600;33;0,5334;0,7264
0,2600;32;0,4677;0,0000
0,2600;28;0,5039;0,0000
0,2600;27;0,4884;0,0000
0,2600;24;0,4199;0,5654
0,2600;20;0,4780;0,5998
0,2600;19;0,4635;0,7761
0,2600;16;0,4780;0,7012
0,2600;15;0,4277;0,4416
0,2600;13;0,4928;0,5998
0,2600;10;0,5065;0,4038
0,2600;9;0,5535;0,8644
0,2600;8;0,6176;0,7012
0,2600;4;0,5045;0,7264
0,2600;3;0,4975;0,4679
0,5200;93;0,4759;1,2480
0,5200;91;0,4711;1,2093
0,5200;89;0,5658;0,8042
0,5200;86;0,4433;1,2480
0,5200;84;0,5475;0,0000
0,5200;83;0,5202;0,0000
0,5200;81;0,4976;1,2594
0,5200;80;0,4655;0,0000
0,5200;79;0,4924;0,0000
0,5200;78;0,4543;0,0000
0,5200;76;0,4630;1,2480
0,5200;75;0,5063;0,7782
0,5200;74;0,5264;0,7795
0,5200;73;0,5063;1,0607
0,5200;65;0,4711;0,8042
0,5200;63;0,5239;1,0532
0,5200;56;0,5168;0,8644
0,5200;53;0,5992;1,0674
0,5200;51;0,4646;0,9360
0,5200;45;0,4953;1,2480
0,5200;42;0,5265;1,0777
0,5200;39;0,4922;1,2093
0,5200;34;0,5727;1,2356
0,5200;33;0,5522;1,1843
0,5200;32;0,4976;0,6937
0,5200;28;0,5657;0,7782
0,5200;27;0,5338;0,0000
0,5200;24;0,4433;1,0552
0,5200;20;0,5030;0,9562
0,5200;19;0,4979;1,1193
0,5200;16;0,5030;1,1738
0,5200;15;0,5198;1,2480
0,5200;13;0,5114;0,9562
0,5200;10;0,5298;0,0000
0,5200;9;0,5239;1,0076
0,5200;8;0,5194;1,1738
0,5200;4;0,5264;1,1843
0,5200;3;0,5168;0,8315
0,7800;93;0,4953;1,1972
0,7800;91;0,4908;1,3757
0,7800;89;0,5325;1,2035
0,7800;86;0,4551;1,1972
0,7800;84;0,5340;1,2996
0,7800;83;0,4921;1,0695
0,7800;81;0,4187;1,3347
0,7800;80;0,4495;0,9460
0,7800;79;0,4921;1,1277
0,7800;78;0,4944;0,0000
0,7800;76;0,4466;1,1972
0,7800;75;0,4811;1,0368
0,7800;74;0,4171;0,3554
0,7800;73;0,4811;1,0907
0,7800;71;0,4495;0,8893
0,7800;65;0,4466;1,2104
0,7800;63;0,4920;1,2370
0,7800;56;0,5160;1,2597
0,7800;53;0,5600;0,4447
0,7800;51;0,4860;1,2603
0,7800;49;0,5683;0,0000
0,7800;45;0,5089;1,1972
0,7800;42;0,5621;1,3714
0,7800;39;0,4466;1,3757
0,7800;38;0,5044;1,0695
0,7800;34;0,5340;1,5243
0,7800;33;0,4171;0,4447
0,7800;32;0,4187;1,0535
0,7800;28;0,5315;1,0368
0,7800;27;0,5657;1,3898
0,7800;24;0,4466;1,2603
0,7800;20;0,4986;1,1502
0,7800;19;0,5004;1,3034
0,7800;18;0,4257;0,0000
0,7800;16;0,4986;1,1796
0,7800;15;0,5353;1,1972
0,7800;13;0,5119;1,1502
0,7800;10;0,4572;0,9460
0,7800;9;0,5453;1,1120
0,7800;8;0,4990;1,1796
0,7800;5;0,5082;1,3898
0,7800;4;0,5067;0,4447
0,7800;3;0,5227;1,0598
1,0400;93;0,4975;1,2658
1,0400;91;0,4929;1,4144
1,0400;89;0,5469;1,3105
1,0400;87;0,4536;1,4266
1,0400;86;0,4186;1,0484
1,0400;84;0,5121;1,3688
1,0400;83;0,5231;1,1098
1,0400;81;0,4809;1,2930
1,0400;80;0,3794;0,7031
1,0400;79;0,5068;1,0286
1,0400;78;0,4874;1,1626
1,0400;76;0,4408;1,2658
1,0400;75;0,4872;1,1164
1,0400;74;0,3670;0,6391
1,0400;73;0,4806;0,9798
1,0400;71;0,3737;0,0000
1,0400;65;0,4676;1,2929
1,0400;63;0,4062;0,5545
1,0400;62;0,5842;1,4512
1,0400;61;0,5298;0,0000
1,0400;56;0,4529;0,5108
1,0400;54;0,4601;0,0000
1,0400;53;0,4287;1,0451
1,0400;51;0,4907;1,2608
1,0400;49;0,4429;0,0000
1,0400;46;0,4874;1,3532
1,0400;45;0,4968;1,1982
1,0400;42;0,5304;1,2608
1,0400;40;0,4452;1,0243
1,0400;39;0,3718;0,2732
1,0400;38;0,5068;1,1098
1,0400;34;0,5121;1,5722
1,0400;33;0,3670;0,6545
1,0400;32;0,4809;1,2189
1,0400;28;0,4160;0,6917
1,0400;27;0,5640;1,4266
1,0400;26;0,4042;0,0000
1,0400;24;0,4408;1,2608
1,0400;21;0,5638;1,1098
1,0400;20;0,4744;0,2732
1,0400;19;0,4529;1,1209
1,0400;18;0,4536;1,3765
1,0400;16;0,3718;1,2929
1,0400;15;0,5084;1,2658
1,0400;14;0,4764;0,0000
1,0400;13;0,4160;0,9798
1,0400;10;0,4045;0,7031
1,0400;9;0,3994;0,5545
1,0400;8;0,3994;0,4033
1,0400;5;0,5011;1,4266
1,0400;4;0,5244;1,3379
1,0400;3;0,4287;0,6125
1,3000;93;0,3985;1,2971
1,3000;91;0,4240;1,3816
1,3000;89;0,4913;1,1800
1,3000;87;0,4363;1,3655
1,3000;86;0,3751;1,2971
1,3000;84;0,5096;1,3873
1,3000;83;0,5109;1,0018
1,3000;82;0,4668;0,0000
1,3000;81;0,4039;1,3779
1,3000;80;0,3779;0,5724
1,3000;79;0,5116;1,1147
1,3000;78;0,4748;1,1720
1,3000;76;0,4088;1,0018
1,3000;75;0,3671;0,7093
1,3000;74;0,3839;0,3674
1,3000;73;0,3671;1,0907
1,3000;72;0,3714;1,1572
1,3000;71;0,3779;0,7147
1,3000;65;0,3696;0,6376
1,3000;63;0,4160;0,4290
1,3000;62;0,6304;1,5697
1,3000;61;0,4919;0,0000
1,3000;59;0,4716;1,2770
1,3000;56;0,4003;0,2684
1,3000;54;0,4676;1,5085
1,3000;53;0,4024;0,2684
1,3000;51;0,4722;1,2630
1,3000;49;0,4051;0,4647
1,3000;46;0,4748;1,3980
1,3000;45;0,4339;0,8267
1,3000;42;0,4257;1,0018
1,3000;40;0,4235;1,1572
1,3000;39;0,4227;0,6614
1,3000;38;0,4800;0,0000
1,3000;34;0,5096;1,5944
1,3000;33;0,3839;0,3317
1,3000;32;0,4541;0,9962
1,3000;29;0,4800;1,1062
1,3000;28;0,4153;0,7093
1,3000;27;0,5466;1,0907
1,3000;26;0,3714;1,5085
1,3000;24;0,3751;0,8267
1,3000;21;0,5543;1,2076
1,3000;20;0,3696;1,3816
1,3000;19;0,3989;0,3674
1,3000;18;0,4363;1,4447
1,3000;16;0,4227;0,2392
1,3000;15;0,4088;1,2630
1,3000;14;0,4030;0,0000
1,3000;13;0,4195;0,3098
1,3000;11;0,4051;0,7676
1,3000;10;0,3797;0,2684
1,3000;9;0,3916;0,4135
1,3000;5;0,5091;1,3655
1,3000;4;0,3916;0,4290
1,3000;3;0,3797;1,1080
1,5600;93;0,3496;0,3778
1,5600;92;0,5029;0,0000
1,5600;91;0,3693;1,0299
1,5600;90;0,4229;1,2844
1,5600;89;0,3600;0,3833
1,5600;87;0,4292;1,4040
1,5600;86;0,3464;0,1721
1,5600;84;0,3674;0,1010
1,5600;83;0,4052;1,0618
1,5600;82;0,4705;0,0000
1,5600;81;0,3525;0,9325
1,5600;80;0,3647;0,5917
1,5600;79;0,4621;0,8784
1,5600;78;0,4677;0,4975
1,5600;76;0,3638;0,3778
1,5600;75;0,4565;0,8341
1,5600;74;0,3598;0,4666
1,5600;73;0,3817;0,3458
1,5600;72;0,4119;1,1613
1,5600;71;0,3766;0,4207
1,5600;67;0,4807;1,3501
1,5600;65;0,3600;0,8499
1,5600;64;0,4824;1,7684
1,5600;62;0,6047;0,5515
1,5600;61;0,5127;1,3146
1,5600;60;0,3699;1,0042
1,5600;59;0,4256;1,2732
1,5600;56;0,4003;0,4666
1,5600;54;0,4265;1,7684
1,5600;53;0,4032;0,1160
1,5600;51;0,4066;1,0339
1,5600;49;0,3914;0,0000
1,5600;46;0,4514;0,4975
1,5600;45;0,3858;1,0299
1,5600;42;0,4271;0,7197
1,5600;40;0,4226;1,1613
1,5600;39;0,3674;1,3200
1,5600;38;0,4684;1,2113
1,5600;37;0,3567;0,2635
1,5600;34;0,4281;0,8499
1,5600;33;0,3598;0,4265
1,5600;32;0,3525;0,4975
1,5600;29;0,4632;0,0000
1,5600;28;0,3817;0,8341
1,5600;27;0,4239;0,7645
1,5600;26;0,4119;1,7684
1,5600;24;0,3496;0,3845
