time;density;speed
0,510;1,7507;0,9437
0,510;2,1486;0,5080
0,510;2,6261;0,7340
0,510;2,4669;0,4217
0,510;1,6711;0,6797
0,510;2,7056;0,5305
0,510;1,5120;0,8472
0,510;2,0690;0,7600
0,510;2,7056;0,5465
0,510;2,7056;0,6707
0,510;2,3077;0,3973
0,510;2,3873;0,8524
0,510;2,6261;0,4546
0,510;2,2282;0,8571
0,510;2,1486;0,7364
0,510;2,3077;0,5885
0,510;1,1141;0,6436
0,510;1,5120;0,6251
0,510;2,3873;0,7475
0,510;2,7056;0,6868
0,510;1,3528;0,9323
0,510;1,8303;0,8628
0,510;1,5915;0,6929
0,510;2,0690;0,6438
0,510;1,9099;0,9505
0,510;2,3077;0,5420
0,510;2,5465;0,6751
0,510;2,7056;0,5847
0,510;2,7056;0,4337
0,510;2,2282;0,8542
0,510;1,8303;0,5542
0,510;2,4669;0,4840
0,510;2,0690;0,7231
0,510;2,7056;0,6586
0,510;1,5915;0,8227
0,510;2,5465;0,5856
0,510;2,5465;0,4843
0,510;2,5465;0,5454
1,020;2,3077;0,8039
1,020;2,8648;1,0067
1,020;2,7852;0,7712
1,020;1,9099;0,9338
1,020;3,2627;0,9206
1,020;2,0690;1,0024
1,020;3,0239;0,7220
1,020;2,8648;0,6104
1,020;2,1486;0,9619
1,020;3,0239;0,9460
1,020;2,8648;1,0541
1,020;2,7852;0,6878
1,020;2,6261;1,1271
1,020;3,1035;0,8767
1,020;2,4669;1,1452
1,020;2,3077;1,0840
1,020;2,3077;0,8846
1,020;1,5915;0,9129
1,020;2,4669;0,5337
1,020;2,0690;0,5747
1,020;1,8303;0,8919
1,020;2,6261;1,0443
1,020;3,1831;0,9650
1,020;2,2282;0,7717
1,020;2,1486;1,0374
1,020;1,6711;0,8040
1,020;2,5465;1,0222
1,020;1,7507;1,0141
1,020;3,2627;0,6756
1,020;2,3077;1,0221
1,020;1,9894;1,0854
1,020;2,3873;0,9732
1,020;3,0239;1,0408
1,020;3,1831;0,9192
1,020;3,1035;0,7361
1,020;2,2282;0,6033
1,020;3,1035;0,7479
1,020;2,3873;1,0958
1,020;2,9444;0,6571
1,020;2,1486;0,9539
1,020;1,5915;0,7790
1,020;2,5465;0,5821
1,020;3,1035;0,7924
1,020;2,2282;0,9206
1,020;3,1035;0,7533
1,020;2,4669;0,8288
1,020;2,8648;0,9883
1,020;1,9894;0,9389
1,020;2,8648;0,8206
1,020;2,7852;0,7687
1,020;2,7852;0,9119
1,530;3,3423;0,8354
1,530;2,5465;0,7554
1,530;3,5810;0,9305
1,530;2,8648;0,7718
1,530;2,3873;0,7301
1,530;3,8993;0,8783
1,530;2,7852;0,8019
1,530;3,8197;0,8442
1,530;3,8993;0,7220
1,530;3,1035;0,8114
1,530;3,7401;0,8277
1,530;3,1831;0,9126
1,530;2,9444;0,6928
1,530;3,1831;0,8937
1,530;3,8197;0,8405
1,530;3,1035;0,8643
1,530;2,7852;0,7396
1,530;3,1035;0,8349
1,530;2,8648;0,7846
1,530;2,2282;0,6944
1,530;2,8648;0,6762
1,530;2,7056;0,6716
1,530;2,1486;0,6859
1,530;2,4669;0,6288
1,530;3,4218;0,8846
1,530;3,5810;0,9284
1,530;2,5465;0,7021
1,530;2,1486;0,6540
1,530;2,4669;0,7735
1,530;2,7852;0,7754
1,530;2,2282;0,7277
1,530;3,1035;0,8493
1,530;2,3873;0,6831
1,530;3,7401;0,7716
1,530;2,6261;0,7439
1,530;2,7056;0,8141
1,530;2,8648;0,7811
1,530;3,4218;0,9104
1,530;1,8303;0,6481
1,530;3,8197;0,9074
1,530;3,7401;0,8467
1,530;2,7852;0,6598
1,530;2,5465;0,7262
1,530;3,5014;0,8196
1,530;3,5014;0,6899
1,530;2,4669;0,7041
1,530;2,1486;0,7359
1,530;3,2627;0,6687
1,530;3,6606;0,8349
1,530;2,5465;0,7729
1,530;3,5810;0,8421
1,530;3,3423;0,8513
1,530;4,0585;0,8562
1,530;2,6261;0,7743
1,530;3,6606;0,8880
1,530;2,8648;0,7873
1,530;2,6261;0,7477
1,530;3,3423;0,8318
1,530;2,7852;0,7804
1,530;2,1486;0,6748
1,530;2,1486;0,6990
1,530;3,4218;0,8196
1,530;3,3423;0,8776
2,040;3,8993;0,7881
2,040;2,4669;0,7848
2,040;4,2972;0,7500
2,040;2,9444;0,7199
2,040;4,0585;0,7143
2,040;1,9894;0,8942
2,040;3,6606;0,6570
2,040;2,9444;0,6813
2,040;4,2972;0,7757
2,040;3,5014;0,6957
2,040;4,2972;0,7600
2,040;3,5810;0,8608
2,040;2,6261;0,7081
2,040;4,2972;0,7575
2,040;3,7401;0,7497
2,040;1,8303;0,7539
2,040;2,6261;0,5740
2,040;4,2972;0,7696
2,040;4,1380;0,7695
2,040;3,4218;0,7573
2,040;3,7401;0,6856
2,040;4,2972;0,7337
2,040;2,4669;0,6646
2,040;3,6606;0,6867
2,040;4,2972;0,7924
2,040;2,5465;0,8751
2,040;3,8993;0,7173
2,040;2,4669;0,5487
2,040;3,5810;0,7571
2,040;2,4669;0,6123
2,040;3,4218;0,6483
2,040;3,3423;0,7449
2,040;2,3077;0,5903
2,040;2,8648;0,6055
2,040;3,9789;0,7477
2,040;4,3768;0,7565
2,040;2,8648;0,7547
2,040;3,5810;0,7343
2,040;3,1035;0,7257
2,040;2,8648;0,7240
2,040;3,4218;0,7031
2,040;2,5465;0,6776
2,040;2,9444;0,6434
2,040;4,2176;0,6843
2,040;3,0239;0,8053
2,040;3,3423;0,6642
2,040;3,4218;0,7153
2,040;3,9789;0,7539
2,040;2,2282;0,6208
2,040;4,3768;0,7681
2,040;4,3768;0,7590
2,040;3,1831;0,6005
2,040;3,7401;0,6634
2,040;3,9789;0,7100
2,040;3,8993;0,6732
2,040;2,3077;0,8458
2,040;1,9099;0,5491
2,040;2,9444;0,6488
2,040;2,5465;0,6493
2,040;3,7401;0,7571
2,040;4,6155;0,7495
2,040;3,1831;0,7182
2,040;4,6155;0,7456
2,040;4,5359;0,7405
2,040;2,4669;0,6565
2,040;4,4563;0,7413
2,040;2,8648;0,6522
2,040;3,2627;0,7949
2,040;4,2176;0,7914
2,040;4,1380;0,7816
2,040;3,6606;0,7340
2,040;3,9789;0,7638
2,040;3,6606;0,7517
2,040;3,0239;0,6498
2,040;4,5359;0,7723
2,040;3,9789;0,7375
2,550;4,3768;0,5623
2,550;3,7401;0,5931
2,550;4,5359;0,5428
2,550;2,3873;0,5496
2,550;3,1035;0,5386
2,550;3,6606;0,4002
2,550;2,7056;0,6721
2,550;3,7401;0,5025
2,550;3,1831;0,4742
2,550;4,5359;0,4675
2,550;3,5810;0,3988
2,550;4,6951;0,5122
2,550;3,3423;0,6524
2,550;2,5465;0,5403
2,550;4,2972;0,5636
2,550;4,2176;0,4929
2,550;2,5465;0,6193
2,550;2,7056;0,4904
2,550;4,3768;0,5072
2,550;4,1380;0,4556
2,550;3,1831;0,5808
2,550;4,5359;0,5495
2,550;3,6606;0,4045
2,550;4,1380;0,5800
2,550;3,7401;0,6135
2,550;4,0585;0,4563
2,550;3,8197;0,5283
2,550;2,7056;0,4117
2,550;2,2282;0,6088
2,550;3,2627;0,5002
2,550;3,1035;0,5880
2,550;2,3873;0,4337
2,550;2,7056;0,5232
2,550;4,2176;0,4655
2,550;2,6261;0,5970
2,550;4,6951;0,4873
2,550;3,6606;0,5829
2,550;3,8993;0,5780
2,550;3,2627;0,6248
2,550;2,8648;0,5422
2,550;3,5810;0,4257
2,550;3,5810;0,6281
2,550;2,5465;0,5077
2,550;2,5465;0,7352
2,550;3,1035;0,4141
2,550;4,1380;0,5533
2,550;3,5810;0,6232
2,550;3,5014;0,4394
2,550;2,7852;0,6726
2,550;3,8993;0,4944
2,550;4,2176;0,4591
2,550;2,0690;0,4449
2,550;2,3873;0,7045
2,550;4,6155;0,5256
2,550;4,6155;0,5049
2,550;2,8648;0,6172
2,550;3,2627;0,4955
2,550;3,7401;0,5422
2,550;4,1380;0,5519
2,550;3,8197;0,5309
2,550;2,3077;0,6907
2,550;3,4218;0,4804
2,550;2,5465;0,4585
2,550;3,6606;0,5833
2,550;4,6951;0,5598
2,550;3,5014;0,4665
2,550;4,5359;0,5374
2,550;4,4563;0,5338
2,550;4,6951;0,4905
2,550;3,0239;0,4899
2,550;4,2176;0,5609
2,550;4,4563;0,5427
2,550;4,3768;0,5824
2,550;3,5014;0,4500
2,550;2,9444;0,6664
2,550;4,0585;0,5641
2,550;3,5810;0,5618
2,550;3,0239;0,5382
2,550;4,5359;0,5262
2,550;4,2972;0,5280
3,060;4,2176;0,5238
3,060;4,0585;0,4759
3,060;4,3768;0,5057
3,060;2,3873;0,3831
3,060;3,4218;0,5648
3,060;2,8648;0,5959
3,060;3,6606;0,4398
