time;evacuated_count
0,800;1
1,720;2
2,140;3
2,340;4
2,600;5
2,840;6
3,060;7
3,220;8
3,600;9
3,820;10
4,360;11
4,640;12
4,800;13
5,080;14
5,420;15
5,900;16
6,200;17
6,380;18
6,660;19
6,940;20
7,140;21
7,920;22
8,200;23
8,740;24
9,480;25
9,740;26
10,020;27
10,320;28
10,620;29
11,080;30
11,760;31
12,100;32
12,560;33
12,880;34
13,500;35
13,620;36
13,860;37
14,080;38
14,460;39
14,680;40
15,000;41
15,680;42
16,040;43
16,380;44
16,900;45
17,160;46
17,520;47
17,800;48
18,000;49
18,400;50
19,060;51
19,260;52
19,800;53
20,140;54
20,560;55
21,080;56
21,360;57
21,700;58
22,160;59
23,000;60
23,300;61
23,980;62
24,360;63
24,560;64
24,840;65
25,240;66
25,960;67
26,480;68
27,140;69
27,440;70
28,040;71
28,520;72
29,420;73
29,640;74
30,200;75
30,700;76
31,780;77
32,940;78
33,440;79
34,240;80
34,920;81
35,380;82
35,880;83
36,800;84
37,340;85
38,820;86
39,720;87
40,960;88
43,860;89
46,040;90
46,960;91
49,640;92
52,400;93
