time;density;speed
0,520;4,1380;0,5832
0,520;4,4563;0,6854
0,520;4,1380;0,4361
0,520;4,1380;0,8613
0,520;3,5014;0,7697
0,520;2,5465;1,3383
0,520;1,9099;0,8651
0,520;2,2282;0,9929
0,520;5,0930;0,5060
1,040;3,5014;0,5612
1,040;4,4563;0,6083
1,040;4,4563;0,5285
1,040;3,1831;0,7160
1,040;4,4563;0,3837
1,040;2,8648;0,4879
1,040;2,8648;0,5446
1,040;4,4563;0,6035
1,040;3,8197;0,5280
1,040;4,4563;0,2644
1,040;4,1380;0,5829
1,040;4,4563;0,4143
1,560;4,1380;0,4311
1,560;5,0930;0,3422
1,560;4,1380;0,4634
1,560;4,1380;0,2689
1,560;3,5014;0,3275
1,560;4,7746;0,5171
1,560;5,7296;0,2066
1,560;3,8197;0,3643
1,560;4,4563;0,3818
1,560;4,7746;0,4176
1,560;4,1380;0,2659
1,560;5,0930;0,4046
1,560;5,0930;0,4046
2,080;4,1380;0,3360
2,080;5,0930;0,4658
2,080;3,8197;0,4717
2,080;3,8197;0,3941
2,080;3,8197;0,3347
2,080;3,8197;0,4952
2,080;4,7746;0,5464
2,080;3,8197;0,4006
2,080;4,7746;0,3283
2,080;5,0930;0,4455
2,080;5,7296;0,3268
2,080;4,4563;0,4276
2,080;5,4113;0,4549
2,600;4,7746;0,4211
2,600;4,4563;0,5442
2,600;3,8197;0,4038
2,600;4,1380;0,4208
2,600;3,5014;0,5202
2,600;5,7296;0,3713
2,600;4,4563;0,2777
2,600;5,0930;0,4551
2,600;5,0930;0,5118
2,600;4,7746;0,4422
2,600;3,5014;0,5401
2,600;5,7296;0,4895
2,600;4,4563;0,3647
3,120;5,4113;0,3400
3,120;4,1380;0,4071
3,120;3,5014;0,3267
3,120;4,7746;0,3244
3,120;5,4113;0,3719
3,120;5,0930;0,2685
3,120;5,4113;0,2694
3,120;4,7746;0,3932
3,120;3,8197;0,4743
3,120;5,4113;0,3340
3,120;4,7746;0,4215
3,120;5,0930;0,2710
3,640;6,0479;0,3335
3,640;4,7746;0,2730
3,640;3,5014;0,3152
3,640;4,1380;0,2683
3,640;4,7746;0,2652
3,640;5,4113;0,3727
3,640;5,7296;0,2608
3,640;5,4113;0,2587
3,640;4,1380;0,3416
3,640;4,7746;0,3691
3,640;5,7296;0,3328
3,640;5,0930;0,2406
3,640;5,0930;0,1740
3,640;5,0930;0,2927
4,160;5,7296;0,3334
4,160;4,7746;0,2097
4,160;3,5014;0,3534
4,160;3,8197;0,2896
4,160;4,7746;0,2792
4,160;5,4113;0,3031
4,160;5,4113;0,3126
4,160;5,7296;0,2455
4,160;4,4563;0,3371
4,160;6,0479;0,2016
4,160;5,7296;0,2622
4,160;6,0479;0,2676
4,160;5,4113;0,1629
4,160;5,4113;0,2319
4,660;5,0930;0,4197
4,660;3,8197;0,2717
4,660;3,1831;0,3695
4,660;4,7746;0,2751
4,660;3,8197;0,4665
4,660;5,7296;0,2777
4,660;4,4563;0,3733
4,660;5,0930;0,3409
4,660;5,7296;0,3475
4,660;5,4113;0,3074
4,660;5,0930;0,3460
4,660;5,0930;0,2285
4,660;5,4113;0,2176
5,180;4,7746;0,1119
5,180;3,5014;0,2104
5,180;3,1831;0,1881
5,180;5,0930;0,2336
5,180;5,4113;0,2362
5,180;4,7746;0,1897
5,180;5,4113;0,2154
5,180;5,7296;0,2156
5,180;6,0479;0,1818
5,180;6,0479;0,1299
5,180;5,7296;0,1640
5,180;4,7746;0,0740
5,180;5,4113;0,1621
5,700;4,7746;0,2832
5,700;3,8197;0,2699
5,700;3,5014;0,3011
5,700;4,7746;0,3371
5,700;5,4113;0,2992
5,700;4,1380;0,3774
5,700;6,3662;0,2908
5,700;4,7746;0,3688
5,700;5,7296;0,2847
5,700;5,0930;0,2520
5,700;5,7296;0,2410
6,200;4,7746;0,2310
6,200;4,7746;0,3364
6,200;3,8197;0,2983
6,200;3,5014;0,3636
6,200;3,1831;0,4419
6,200;3,8197;0,4082
6,200;5,4113;0,3385
6,200;5,7296;0,1169
6,200;5,4113;0,2862
6,200;5,0930;0,3768
6,200;5,4113;0,3290
6,200;5,7296;0,1684
6,200;4,7746;0,1852
6,200;5,4113;0,1652
6,720;5,4113;0,2492
6,720;3,8197;0,3029
6,720;3,5014;0,3121
6,720;5,7296;0,3322
6,720;5,4113;0,2805
6,720;5,0930;0,2247
6,720;5,7296;0,3357
6,720;4,4563;0,3922
6,720;4,7746;0,3627
6,720;5,4113;0,2587
6,720;5,4113;0,2928
6,720;6,0479;0,2633
6,720;4,4563;0,2102
7,220;4,7746;0,2745
7,220;3,8197;0,3156
7,220;3,5014;0,3144
7,220;5,0930;0,3588
7,220;4,4563;0,3639
7,220;4,7746;0,3055
7,220;5,4113;0,3673
7,220;5,0930;0,3228
7,220;6,3662;0,2375
7,220;5,0930;0,3502
7,220;5,0930;0,3296
7,220;4,7746;0,3482
7,220;4,4563;0,2229
7,220;4,4563;0,1855
7,720;4,7746;0,1271
7,720;3,8197;0,1460
7,720;3,5014;0,1291
7,720;4,7746;0,1503
7,720;4,4563;0,1510
7,720;4,7746;0,1410
7,720;5,7296;0,1482
7,720;5,4113;0,1305
7,720;4,7746;0,1433
7,720;5,4113;0,1449
7,720;5,0930;0,1379
7,720;5,0930;0,1102
7,720;4,4563;0,1032
8,220;4,7746;0,1869
8,220;3,5014;0,1346
8,220;3,1831;0,2056
8,220;4,1380;0,2131
8,220;5,0930;0,1881
8,220;5,0930;0,2365
8,220;6,0479;0,1476
8,220;5,4113;0,1875
8,220;4,7746;0,2329
8,220;5,4113;0,2166
8,220;5,4113;0,2189
8,220;4,7746;0,1767
8,220;4,7746;0,1697
8,220;4,4563;0,1585
8,740;5,0930;0,3492
8,740;3,8197;0,4001
8,740;3,5014;0,4341
8,740;3,5014;0,4721
8,740;5,0930;0,3922
8,740;5,0930;0,3674
8,740;5,7296;0,1726
8,740;5,7296;0,3232
8,740;5,0930;0,2675
8,740;5,7296;0,3393
8,740;5,7296;0,3574
8,740;5,0930;0,2548
8,740;5,0930;0,1818
9,240;4,7746;0,1468
9,240;3,8197;0,1645
9,240;3,5014;0,1564
9,240;5,0930;0,1560
9,240;3,8197;0,1084
9,240;4,7746;0,1577
9,240;6,0479;0,0949
9,240;5,4113;0,1269
9,240;5,4113;0,1466
9,240;5,7296;0,1354
9,240;5,4113;0,1662
9,240;5,0930;0,1352
9,240;5,4113;0,0998
9,740;5,0930;0,3289
9,740;4,4563;0,3574
9,740;3,5014;0,3835
9,740;3,8197;0,2558
9,740;4,7746;0,3739
9,740;6,0479;0,2165
9,740;5,4113;0,3219
9,740;5,0930;0,2517
9,740;6,0479;0,3160
9,740;5,7296;0,3358
9,740;5,0930;0,2582
9,740;4,7746;0,1442
9,740;5,7296;0,2217
10,260;3,5014;0,4175
10,260;4,7746;0,2547
10,260;4,1380;0,3819
10,260;3,8197;0,3052
10,260;5,7296;0,2390
10,260;4,1380;0,3941
10,260;4,7746;0,2500
10,260;4,7746;0,3247
10,260;5,0930;0,3469
10,260;4,7746;0,1727
10,260;5,7296;0,2972
10,260;4,4563;0,2132
10,260;5,4113;0,1859
10,260;3,8197;0,1649
10,760;4,7746;0,3413
10,760;3,5014;0,4095
10,760;4,4563;0,3031
10,760;3,5014;0,3939
10,760;5,0930;0,2929
10,760;5,4113;0,3756
10,760;4,7746;0,3462
10,760;4,7746;0,3967
10,760;4,4563;0,2604
10,760;5,7296;0,3224
10,760;4,7746;0,3018
10,760;4,7746;0,3183
11,260;5,0930;0,1985
11,260;4,4563;0,1298
11,260;3,5014;0,1385
11,260;5,4113;0,1612
11,260;5,7296;0,0829
11,260;5,4113;0,2151
11,260;4,7746;0,2003
11,260;4,7746;0,2387
11,260;4,7746;0,1698
11,260;5,4113;0,1984
11,260;5,0930;0,1456
11,260;4,7746;0,2010
11,780;3,8197;0,3356
11,780;4,7746;0,2230
11,780;4,1380;0,2791
11,780;4,4563;0,3119
11,780;5,7296;0,2027
11,780;5,0930;0,3213
11,780;4,4563;0,3407
11,780;5,4113;0,1929
11,780;5,4113;0,2683
11,780;5,4113;0,2380
11,780;4,7746;0,2357
12,280;3,8197;0,2998
12,280;3,5014;0,2473
12,280;5,0930;0,1899
12,280;3,8197;0,2438
12,280;4,1380;0,2708
12,280;5,4113;0,2161
12,280;5,7296;0,2806
12,280;4,4563;0,1609
12,280;5,7296;0,1973
12,280;4,4563;0,3133
12,280;5,0930;0,2494
12,280;4,1380;0,2223
12,280;4,4563;0,2570
12,280;6,0479;0,2399
12,780;4,1380;0,3413
