agentId;time;posX;posZ;speed
26;0,1200;-0,0914;0,3265;0,2863
29;0,1200;0,3087;0,1704;0,4287
31;0,1200;-0,3838;0,1053;0,1539
33;0,1200;0,0622;-0,1395;0,1696
34;0,1200;0,5037;-0,1593;0,1297
36;0,1200;-0,3392;-0,4166;0,0852
21;0,2400;0,7430;0,3581;0,7459
26;0,2400;-0,1367;0,2686;0,6126
29;0,2400;0,3619;0,0414;1,1639
31;0,2400;-0,4546;-0,0009;1,0639
33;0,2400;0,0414;-0,2260;0,7408
34;0,2400;0,5484;-0,2782;1,0590
36;0,2400;-0,3379;-0,4799;0,5277
21;0,3600;0,6655;0,2273;1,2667
26;0,3600;-0,1406;0,1439;1,0390
20;0,3600;-0,4931;0,3647;0,5777
29;0,3600;0,3772;-0,0343;0,6430
31;0,3600;-0,5330;-0,1594;1,4737
33;0,3600;0,0221;-0,3637;1,1593
34;0,3600;0,6182;-0,4467;1,5197
36;0,3600;-0,3515;-0,6211;1,1823
22;0,3600;0,1688;0,3688;0,2337
21;0,4800;0,6300;0,1118;1,0066
26;0,4800;-0,1561;-0,0831;1,8966
20;0,4800;-0,4843;0,2197;1,2107
29;0,4800;0,3575;-0,1753;1,1865
31;0,4800;-0,5686;-0,3326;1,4733
33;0,4800;0,0278;-0,5299;1,3855
34;0,4800;0,6724;-0,6201;1,5138
36;0,4800;-0,3790;-0,8274;1,7339
22;0,4800;0,1466;0,2448;1,0503
21;0,6000;0,6222;0,0152;0,8077
26;0,6000;-0,1539;-0,3346;2,0956
20;0,6000;-0,4751;0,0302;1,5810
29;0,6000;0,3356;-0,3472;1,4437
31;0,6000;-0,5837;-0,5092;1,4768
33;0,6000;0,0495;-0,7562;1,8947
34;0,6000;0,7107;-0,7889;1,4425
36;0,6000;-0,3945;-0,9132;0,7272
22;0,6000;0,1204;0,1068;1,1702
21;0,7200;0,6055;-0,0890;0,8794
26;0,7200;-0,1237;-0,5536;1,8424
20;0,7200;-0,4391;-0,1476;1,5114
29;0,7200;0,3441;-0,5199;1,4416
31;0,7200;-0,6236;-0,5557;0,5109
33;0,7200;0,1018;-1,0084;2,1464
34;0,7200;0,7355;-0,9146;1,0680
36;0,7200;-0,3880;-0,9216;0,0878
22;0,7200;0,0832;-0,0536;1,3725
14;0,7200;0,4369;0,3550;0,6335
15;0,7200;-0,2964;0,3575;0,6373
21;0,8400;0,5895;-0,2033;0,9616
26;0,8400;-0,0491;-0,7155;1,4855
20;0,8400;-0,3841;-0,2686;1,1078
29;0,8400;0,3791;-0,6822;1,3833
31;0,8400;-0,6662;-0,6176;0,6263
