time;agentIdA;agentIdB;type
0,0600;26;31;Agent
0,0600;19;21;Agent
0,0600;22;26;Agent
0,0600;22;29;Agent
0,0600;10;14;Agent
0,0600;11;19;Agent
0,0600;12;16;Agent
0,0800;26;31;Agent
0,0800;19;21;Agent
0,0800;22;26;Agent
0,0800;22;29;Agent
0,0800;10;14;Agent
0,0800;11;19;Agent
0,0800;12;16;Agent
0,1000;26;31;Agent
0,1000;19;21;Agent
0,1000;22;26;Agent
0,1000;22;29;Agent
0,1000;10;14;Agent
0,1000;11;19;Agent
0,1000;12;16;Agent
0,1200;26;31;Agent
0,1200;19;21;Agent
0,1200;22;26;Agent
0,1200;22;29;Agent
0,1200;10;14;Agent
0,1200;11;19;Agent
0,1400;26;31;Agent
0,1400;29;34;Agent
0,1400;19;21;Agent
0,1400;22;26;Agent
0,1400;22;29;Agent
0,1400;10;14;Agent
0,1400;11;19;Agent
0,1600;26;31;Agent
0,1600;29;34;Agent
0,1600;22;26;Agent
0,1600;22;29;Agent
0,1600;10;14;Agent
0,1600;11;19;Agent
0,1800;26;31;Agent
0,1800;29;34;Agent
0,1800;11;19;Agent
0,2000;26;31;Agent
0,2000;29;34;Agent
0,2000;11;19;Agent
0,2200;29;34;Agent
0,2600;9;38;Agent
0,2800;9;38;Agent
0,3000;9;38;Agent
0,3200;9;38;Agent
0,3400;9;38;Agent
0,3600;9;38;Agent
0,3800;9;38;Agent
0,5400;36;-1;Wall
0,5600;36;-1;Wall
0,5800;36;-1;Wall
0,6000;34;-1;Wall
0,6000;36;-1;Wall
0,6000;37;-1;Wall
0,6200;34;-1;Wall
0,6200;36;-1;Wall
0,6200;37;-1;Wall
0,6400;31;36;Agent
0,6400;34;-1;Wall
0,6400;36;-1;Wall
0,6400;37;-1;Wall
0,6600;31;36;Agent
0,6600;34;-1;Wall
0,6600;36;-1;Wall
0,6600;37;-1;Wall
0,6600;38;40;Agent
0,6800;31;36;Agent
0,6800;34;-1;Wall
0,6800;36;-1;Wall
0,6800;38;40;Agent
0,7000;36;-1;Wall
0,7000;38;40;Agent
0,7200;36;-1;Wall
