time;agentId;headwayDistance;headwayVelocity
0,2600;21;0,4269;0,0000
0,2600;26;0,4032;0,0000
0,2600;29;0,3785;0,8889
0,2600;31;0,4195;0,5534
0,2600;33;0,4135;1,0763
0,2600;34;0,3785;1,0763
0,2600;36;0,4451;0,5979
0,5200;21;0,4225;0,0000
0,5200;26;0,4256;1,3594
0,5200;20;0,4269;1,5890
0,5200;29;0,4165;1,3537
0,5200;31;0,4102;1,0992
0,5200;33;0,4100;1,0992
0,5200;34;0,5505;1,3594
0,5200;36;0,4100;1,3537
0,5200;22;0,4413;1,5890
0,7800;26;0,4625;1,3069
0,7800;20;0,4554;0,6938
0,7800;29;0,4480;1,5951
0,7800;31;0,3638;1,0343
0,7800;33;0,4612;1,1920
0,7800;34;0,4730;1,5951
0,7800;36;0,3638;1,1218
0,7800;22;0,5297;0,0000
0,7800;14;0,5079;0,0000
0,7800;15;0,4554;1,3069
1,0400;26;0,3705;1,2134
1,0400;20;0,4189;1,2232
1,0400;29;0,3701;0,0880
1,0400;31;0,3837;0,0000
1,0400;34;0,3655;1,5951
1,0400;36;0,4026;0,7742
1,0400;22;0,3705;0,7742
1,0400;7;0,4744;1,2134
1,0400;8;0,5064;0,0000
1,0400;14;0,4997;0,0000
1,0400;15;0,4189;1,0385
1,3000;26;0,3826;0,2265
1,3000;20;0,3791;0,2688
1,3000;29;0,3885;0,7336
1,3000;31;0,4072;0,0000
1,3000;36;0,3826;0,7336
1,3000;22;0,3961;0,7336
1,3000;4;0,4457;0,9021
1,3000;7;0,4173;0,2688
1,3000;8;0,4423;0,0000
1,3000;14;0,4372;1,5951
1,3000;15;0,3791;0,2267
1,5600;0;0,3876;0,3166
1,5600;20;0,4490;0,4932
1,5600;29;0,3729;0,9454
1,5600;31;0,3990;0,0000
1,5600;36;0,3732;0,9454
1,5600;22;0,3729;0,5264
1,5600;1;0,4452;0,4932
1,5600;4;0,4157;0,4819
1,5600;7;0,3921;0,9454
1,5600;8;0,3876;0,8399
1,5600;14;0,4059;1,5951
1,5600;15;0,4268;0,3166
1,8200;0;0,3776;0,0000
1,8200;20;0,3679;0,4987
1,8200;29;0,4116;0,0880
1,8200;31;0,3679;0,7978
1,8200;22;0,4166;0,3034
1,8200;1;0,4622;0,0000
1,8200;4;0,4083;0,0000
1,8200;7;0,3742;0,7978
1,8200;8;0,4295;0,4848
1,8200;14;0,3843;0,5018
1,8200;15;0,4207;0,5018
2,0800;0;0,4189;0,2153
2,0800;20;0,3730;1,0564
2,0800;29;0,3606;1,0564
2,0800;31;0,3845;0,8899
2,0800;17;0,4106;0,0529
2,0800;1;0,4453;0,5231
2,0800;4;0,3891;0,0000
2,0800;7;0,3606;0,5539
2,0800;8;0,3837;0,0000
2,0800;14;0,3941;1,5951
2,0800;15;0,4082;0,8899
2,0800;41;0,5305;0,3199
2,3400;0;0,3879;0,4226
2,3400;29;0,3666;0,2406
2,3400;31;0,3789;1,0268
2,3400;17;0,4208;0,4226
2,3400;1;0,4080;0,6834
2,3400;4;0,3962;0,2406
2,3400;7;0,3875;1,0268
2,3400;8;0,3879;0,6834
2,3400;14;0,3666;0,3076
2,3400;15;0,3789;0,4700
2,3400;41;0,4752;0,2968
2,3400;42;0,4212;0,6834
2,6000;0;0,3730;0,1384
2,6000;29;0,3755;0,2436
2,6000;31;0,3785;0,5287
2,6000;17;0,3786;0,0000
2,6000;1;0,4055;0,3739
2,6000;3;0,4547;0,0861
2,6000;4;0,3804;0,2436
2,6000;8;0,3730;0,3739
2,6000;14;0,3755;0,1386
2,6000;15;0,3785;0,2394
2,6000;41;0,4777;0,1438
2,6000;42;0,4144;0,3739
2,8600;0;0,3745;0,5542
2,8600;29;0,4123;0,5073
2,8600;31;0,4052;0,4935
2,8600;17;0,3732;0,0000
2,8600;1;0,3745;0,8042
2,8600;3;0,4139;0,0000
2,8600;4;0,3955;0,5073
2,8600;8;0,3918;0,8042
2,8600;14;0,3955;0,2979
2,8600;15;0,4214;0,2201
2,8600;41;0,4070;0,2979
2,8600;42;0,4023;0,5289
3,1200;0;0,3629;0,6333
