time;agentId;exitId
0,7800;33;ExitZone
1,3400;26;ExitZone
1,5400;36;ExitZone
1,7600;22;ExitZone
2,1000;7;ExitZone
2,3000;20;ExitZone
2,7600;14;ExitZone
3,0400;15;ExitZone
3,4400;4;ExitZone
3,7400;31;ExitZone
3,9800;1;ExitZone
4,2600;8;ExitZone
4,6000;28;ExitZone
5,0400;29;ExitZone
5,4400;21;ExitZone
5,5600;3;ExitZone
5,8200;42;ExitZone
6,2000;48;ExitZone
6,8600;17;ExitZone
6,9600;34;ExitZone
7,2000;41;ExitZone
8,0600;32;ExitZone
8,2400;50;ExitZone
8,6000;45;ExitZone
8,9200;61;ExitZone
9,2200;10;ExitZone
9,9200;0;ExitZone
10,1200;49;ExitZone
10,3600;2;ExitZone
10,7000;66;ExitZone
11,1400;35;ExitZone
11,3400;25;ExitZone
11,7600;69;ExitZone
12,0000;75;ExitZone
12,8800;5;ExitZone
13,1600;58;ExitZone
13,3600;74;ExitZone
13,5200;79;ExitZone
14,0200;84;ExitZone
14,2400;23;ExitZone
14,5800;83;ExitZone
14,8200;80;ExitZone
14,9200;53;ExitZone
15,5200;56;ExitZone
15,8600;81;ExitZone
16,1400;16;ExitZone
16,5400;85;ExitZone
16,8800;19;ExitZone
17,0000;67;ExitZone
17,4600;62;ExitZone
17,7400;87;ExitZone
17,8800;11;ExitZone
18,1200;76;ExitZone
18,4000;65;ExitZone
18,7800;73;ExitZone
19,1000;44;ExitZone
19,3600;92;ExitZone
19,9400;27;ExitZone
20,0600;18;ExitZone
20,2800;60;ExitZone
21,0200;59;ExitZone
21,4800;68;ExitZone
21,9600;77;ExitZone
22,3200;88;ExitZone
22,8200;30;ExitZone
23,3200;82;ExitZone
23,5200;13;ExitZone
23,9000;89;ExitZone
24,4000;78;ExitZone
24,9800;6;ExitZone
25,7200;86;ExitZone
26,3000;46;ExitZone
26,7400;90;ExitZone
27,2600;12;ExitZone
28,0200;64;ExitZone
28,4200;52;ExitZone
28,8400;39;ExitZone
29,3000;55;ExitZone
30,0400;47;ExitZone
30,5200;43;ExitZone
32,3000;91;ExitZone
33,0200;24;ExitZone
33,6400;38;ExitZone
34,2400;72;ExitZone
35,4800;71;ExitZone
36,3200;54;ExitZone
36,9400;9;ExitZone
38,4800;70;ExitZone
39,6800;63;ExitZone
40,9400;57;ExitZone
42,5200;37;ExitZone
44,9400;51;ExitZone
47,3000;40;ExitZone
