metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run_3
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;53,000
rset_95s;41,940
rset_90s;34,620
rset_50s;17,480
mean_speed_ms;0,3782
std_speed_ms;0,3054
max_speed_ms;2,1632
mean_exit_density_pm2;3,9222
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5178
specific_flow_mean_pms;1,9473
specific_flow_peak_pms;6,8781
throughput_ps;1,7547
throughput_ExitZone_ps;1,7547
collisions_agent_agent;2215
collisions_agent_wall;5651
mean_headway_m;0,4276
min_headway_m;0,2921
std_headway_m;0,0862
