time;density;specific_flow
0,120;1,2732;0,1013
0,240;2,5465;1,5223
0,360;2,5465;2,7574
0,480;2,5465;3,8702
0,600;2,5465;4,1781
0,720;3,8197;6,0984
0,840;3,8197;4,1849
0,960;5,0930;5,9546
1,080;5,0930;3,4529
1,180;3,8197;2,0846
1,300;3,8197;2,6659
1,420;5,0930;4,3974
1,520;5,0930;2,5627
1,640;5,0930;3,5810
1,740;5,0930;3,8031
1,860;3,8197;3,0457
1,960;3,8197;3,8860
2,080;5,0930;4,4369
2,200;6,3662;4,2618
2,320;6,3662;3,8074
2,440;5,0930;2,8437
2,560;6,3662;3,6160
2,660;7,6394;3,7725
2,780;7,6394;3,7370
2,900;6,3662;2,7477
3,000;5,0930;3,0772
3,120;5,0930;3,6782
3,240;6,3662;3,8476
3,360;6,3662;3,5243
3,460;6,3662;2,6712
3,580;7,6394;6,5768
3,700;7,6394;5,6864
3,800;6,3662;2,5452
3,920;7,6394;2,6333
4,040;7,6394;2,3245
4,160;7,6394;2,6271
4,280;6,3662;3,4547
4,380;6,3662;4,1144
4,500;6,3662;4,9918
4,620;7,6394;5,3030
4,740;7,6394;5,9546
4,860;6,3662;5,5606
4,980;6,3662;6,1868
5,100;6,3662;5,5645
5,200;6,3662;4,4117
5,320;6,3662;2,0089
5,440;3,8197;1,7329
5,560;3,8197;4,1101
5,680;7,6394;7,2586
5,800;7,6394;5,5999
5,920;6,3662;3,3156
6,020;6,3662;4,9565
6,140;5,0930;3,4499
6,260;5,0930;4,8619
6,380;6,3662;4,2122
6,500;5,0930;4,5037
6,620;3,8197;3,6819
6,740;5,0930;6,6075
6,840;3,8197;3,0884
6,960;3,8197;3,6168
7,080;6,3662;4,5487
7,200;5,0930;2,5817
7,320;6,3662;4,0870
7,440;6,3662;3,7356
7,560;6,3662;4,7555
7,680;6,3662;2,9096
7,800;6,3662;2,6517
7,920;7,6394;4,0350
8,020;6,3662;1,8015
8,140;7,6394;1,7402
8,260;7,6394;3,4366
8,380;6,3662;3,8191
8,500;6,3662;3,3485
8,620;6,3662;2,9499
8,740;6,3662;4,0344
8,840;7,6394;4,6559
8,960;6,3662;2,4836
9,080;5,0930;2,1701
9,200;6,3662;3,9971
9,320;5,0930;2,0744
9,440;6,3662;3,8393
9,560;6,3662;2,8937
9,660;6,3662;3,2266
9,780;6,3662;4,9642
9,900;5,0930;3,1200
10,020;5,0930;4,4133
10,140;5,0930;1,4318
10,260;5,0930;3,9948
10,360;3,8197;3,4964
10,480;5,0930;4,8808
10,600;5,0930;2,8812
10,720;5,0930;3,1230
10,840;5,0930;3,6624
10,960;5,0930;3,9900
11,080;3,8197;2,6847
11,180;3,8197;2,5897
11,300;3,8197;2,3618
11,420;3,8197;1,7803
11,540;5,0930;2,4637
11,660;5,0930;3,1104
11,780;3,8197;2,3592
11,900;6,3662;2,9664
12,000;6,3662;3,6272
12,120;5,0930;1,7788
12,240;5,0930;1,8442
12,360;5,0930;1,5724
12,480;5,0930;2,8203
12,600;3,8197;1,9080
12,720;6,3662;3,7389
12,820;6,3662;4,9766
12,940;5,0930;2,3222
13,060;5,0930;3,4657
13,180;5,0930;2,5693
13,300;5,0930;2,7701
13,420;5,0930;2,8918
13,540;3,8197;2,1969
13,640;3,8197;3,5690
13,760;5,0930;4,6638
13,880;3,8197;3,7614
14,000;6,3662;3,7637
14,120;6,3662;3,9032
14,240;6,3662;5,1323
14,340;5,0930;3,0845
14,460;5,0930;3,2226
14,580;5,0930;2,6394
14,700;6,3662;3,4054
14,820;7,6394;2,5141
14,940;7,6394;2,5125
15,060;7,6394;2,0750
15,160;7,6394;2,5938
15,280;6,3662;2,6742
15,400;6,3662;4,4036
15,520;6,3662;2,9690
15,640;6,3662;3,4658
15,760;5,0930;2,3911
15,880;5,0930;2,8058
15,980;5,0930;3,6355
16,100;3,8197;3,4125
16,200;5,0930;3,3468
