metric;SFM_mean;SFM_sd;RL_mean;RL_sd;Ghost;MW_p;cohen_d;SFM_err;RL_err;MW_p_holm;sig
rset_100s;74,221;38,2923;48,745;22,9608;;5,17E-06;0,8069;;;2,58E-05;True
rset_95s;41,548;2,3245;34,243;2,0221;;9,16E-08;3,3531;;;1,01E-06;True
rset_90s;37,846;2,118;31,974;2,3887;;2,75E-07;2,6012;;;2,48E-06;True
rset_50s;23,629;1,5623;19,619;1,553;;3,91E-07;2,5744;;;3,13E-06;True
throughput_ps;1,0621;0,3223;1,5195;0,3051;;5,17E-06;-1,4573;;;2,58E-05;True
mean_speed_ms;0,4342;0,0629;1,3319;0,0955;;6,80E-08;-11,1041;;;8,15E-07;True
mean_exit_density_pm2;0,1545;0,0456;0,1297;0,0567;;0,072;0,4821;;;0,072;False
peak_exit_density_pm2;0,9196;0,1338;0,6579;0,1398;;5,32E-06;1,9125;;;2,58E-05;True
specific_flow_mean_pms;0,051;0,003;0,1969;0,0883;;7,10E-06;-2,3369;;;2,58E-05;True
specific_flow_peak_pms;0,6884;0,0714;0,9767;0,0909;;9,17E-08;-3,5277;;;1,01E-06;True
mean_headway_m;3,187;0,391;1,2041;0,6574;;9,13E-07;3,6663;;;6,38E-06;True
min_headway_m;0,3779;0,0222;0,3327;0,0117;;9,12E-07;2,5453;;;6,38E-06;True
evacuation_rate;0,8345;0,032;0,9949;0,0099;;2,79E-08;-6,7774;;;3,62E-07;True
