metric;SFM_mean;SFM_sd;RL_mean;RL_sd;Ghost;MW_p;cohen_d;SFM_err;RL_err;MW_p_holm;sig
rset_100s;183,24;2,6022;181,198;2,0613;184;0,0038;0,8699;-0,0041;-0,0152;0,0152;True
rset_95s;165,261;1,0119;163,023;0,6638;166,4;0;2,6153;-0,0068;-0,0203;0;True
rset_90s;154,48;0,8341;152,231;0,373;154,06;0;3,4809;0,0027;-0,0119;0;True
rset_50s;90,691;0,9415;88,682;0,6442;91,34;0;2,4905;-0,0071;-0,0291;0;True
throughput_ps;3,3132;0,0462;3,3503;0,0374;3,3043;0,0038;-0,8832;0,0027;0,0139;0,0152;True
mean_speed_ms;1,1255;0,0158;1,1282;0,0223;1,0172;0,6651;-0,1368;0,1065;0,1091;1;False
mean_exit_density_pm2;0,1767;0,0037;0,1358;0,0017;0,1793;0;14,0722;-0,0144;-0,2426;0;True
peak_exit_density_pm2;0,4695;0,0305;0,376;0,0273;0,4775;0;3,2279;-0,0167;-0,2125;0;True
specific_flow_mean_pms;0,215;0,0037;0,1453;0,0039;0,2132;0;18,2571;0,0082;-0,3185;0;True
specific_flow_peak_pms;0,5831;0,0414;0,4344;0,0425;0,5519;0;3,5443;0,0565;-0,2129;0;True
mean_headway_m;0,571;0,0055;0,6095;0,0081;0,6058;0;-5,523;-0,0574;0,006;0;True
min_headway_m;0,3467;0,0093;0,3198;0,0075;0,2164;0;3,1724;0,602;0,4777;0;True
evacuation_rate;1;0;1;0;1;1;;0;0;1;False
