metric;SFM_mean;SFM_sd;RL_mean;RL_sd;Ghost;MW_p;cohen_d;SFM_err;RL_err;MW_p_holm;sig
rset_100s;50,0540;2,6940;39,3200;2,4323;36,2800;0,0000;4,1824;0,3797;0,0838;0,0000;True
rset_95s;39,7600;1,5958;36,6720;2,2010;33,4600;0,0001;1,6063;0,1883;0,0960;0,0007;True
rset_90s;34,0130;1,3947;34,2100;2,0884;30,8200;0,8287;-0,1109;0,1036;0,1100;1,0000;False
rset_50s;16,2680;1,0652;18,8930;1,5756;16,1600;0,0000;-1,9519;0,0067;0,1691;0,0000;True
throughput_ps;1,8630;0,0974;2,3739;0,1472;2,5634;0,0000;-4,0921;-0,2732;-0,0739;0,0000;True
mean_speed_ms;0,3916;0,0143;0,3102;0,0210;0,3114;0,0000;4,5392;0,2575;-0,0039;0,0000;True
mean_exit_density_pm2;4,0472;0,1411;4,1597;0,1820;5,7491;0,0565;-0,6905;-0,2960;-0,2765;0,2261;False
peak_exit_density_pm2;7,9577;0,5657;7,8304;0,4665;10,1859;0,4466;0,2456;-0,2188;-0,2313;1,0000;False
specific_flow_mean_pms;2,0298;0,0822;1,9145;0,1086;2,5827;0,0013;1,1965;-0,2141;-0,2587;0,0081;True
specific_flow_peak_pms;7,0340;0,6503;4,8670;0,4135;6,6824;0,0000;3,9766;0,0526;-0,2717;0,0000;True
mean_headway_m;0,4253;0,0041;0,3942;0,0044;0,3146;0,0000;7,3209;0,3520;0,2531;0,0000;True
min_headway_m;0,3076;0,0104;0,3170;0,0075;0,1289;0,0080;-1,0390;1,3864;1,4595;0,0401;True
evacuation_rate;1,0000;0,0000;1,0000;0,0000;1,0000;1,0000;;0,0000;0,0000;1,0000;False
