tag;step;value;wall_time
Environment/Cumulative Reward;30000;-0,157194;1776614612,182754
Environment/Cumulative Reward;60000;-8,052102;1776614647,573291
Environment/Cumulative Reward;90000;4,149469;1776614680,669314
Environment/Cumulative Reward;120000;6,641070;1776614705,041026
Environment/Cumulative Reward;150000;7,429039;1776614738,540761
Environment/Cumulative Reward;180000;5,515298;1776614768,579311
Environment/Cumulative Reward;210000;3,111553;1776614786,079846
Environment/Cumulative Reward;240000;5,654847;1776614799,328336
Environment/Cumulative Reward;270000;6,873979;1776614822,095962
Environment/Cumulative Reward;300000;7,121412;1776614850,458157
Environment/Cumulative Reward;330000;7,034373;1776614872,556584
Environment/Cumulative Reward;360000;5,903927;1776614880,190651
Environment/Cumulative Reward;390000;6,549879;1776614900,405990
Environment/Cumulative Reward;420000;7,269854;1776614947,493157
Environment/Cumulative Reward;450000;7,591197;1776614964,202474
Environment/Cumulative Reward;480000;7,680767;1776614989,396168
Environment/Cumulative Reward;510000;6,754238;1776615013,357255
Environment/Cumulative Reward;540000;6,685905;1776615032,589508
Environment/Cumulative Reward;570000;6,282979;1776615039,248694
Environment/Cumulative Reward;600000;6,226844;1776615055,315719
Environment/Cumulative Reward;630000;6,955595;1776615073,218483
Environment/Cumulative Reward;660000;5,768209;1776615077,355474
Environment/Cumulative Reward;690000;5,956470;1776615094,861438
Environment/Cumulative Reward;720000;5,330191;1776615117,134159
Environment/Cumulative Reward;750000;5,334780;1776615134,670778
Environment/Cumulative Reward;780000;5,911885;1776615159,729325
Environment/Cumulative Reward;810000;6,259027;1776615179,522821
Environment/Cumulative Reward;840000;5,314095;1776615195,946656
Environment/Cumulative Reward;870000;6,538258;1776615210,955888
Environment/Cumulative Reward;900000;6,484328;1776615233,924103
Environment/Cumulative Reward;930000;7,453958;1776615254,635551
Environment/Cumulative Reward;960000;6,624818;1776615258,657851
Environment/Cumulative Reward;990000;6,661298;1776615281,162500
Environment/Cumulative Reward;1020000;6,751159;1776615304,141666
Environment/Cumulative Reward;1050000;6,258872;1776615325,303483
Environment/Cumulative Reward;1080000;5,826782;1776615334,878127
Environment/Cumulative Reward;1110000;4,819927;1776615359,504876
Environment/Cumulative Reward;1140000;6,312045;1776615380,757028
Environment/Cumulative Reward;1170000;5,504540;1776615393,300189
Environment/Cumulative Reward;1200000;6,710428;1776615416,904765
Environment/Cumulative Reward;1230000;6,329973;1776615436,324805
Environment/Cumulative Reward;1260000;6,603934;1776615456,725224
Environment/Cumulative Reward;1290000;6,012957;1776615460,620529
Environment/Cumulative Reward;1320000;6,214630;1776615482,637965
Environment/Cumulative Reward;1350000;6,004632;1776615505,671163
Environment/Cumulative Reward;1380000;5,856956;1776615512,199139
Environment/Cumulative Reward;1410000;6,834683;1776615543,846446
